[1147.513] nineball_akira9: 後ろの写真の存在に今気づいた
[1152.474] ロータス: カテゴリー：ふ～ど＆ドリンク
[1154.180] (S)Gordstorm: 3分だけまつ
[1160.118] (S)la__divina__comedia: ただの鈴木さんにしてやれ！
[1177.833] ~MISSING_COMMENTER_INFO~: どっちが勝つか解らんけど、ときどさんは絶対遅い
[1198.986] Sorachan1144: ときどは体第一
[1204.658] sh1zuku716: 勝ったらMAX梅原で行こう
[1204.822] どらわん: MIN鈴木か
[1222.145] (S)isukekiyo: 自分も写真に今日気が付いた
[1223.487] suginaka56: ときども参加するのか…
[1238.721] tetsuryo: Bon appétit Daigo !
[1241.262] (S)girotin89: umeSnooze
[1243.256] kwsk3: そろそろく？
[1248.449] (S)65vr39: ときどは姫枠らしい
[1251.797] mutuizumi: umeSnooze
[1252.525] kwsk3: くる？
[1253.462] balthazar000: umeSnooze
[1255.868] hirohash1: 勝って第2弾期待
[1256.098] nagilay1: 今日の詳細なルールとか罰ゲーム書いた場所ってどっかにある？
[1261.844] mahousou: BibleThump
[1262.789] tac0037: ときどはダチョウ倶楽部枠
[1264.193] (S)manabubb: umeGuile
[1267.690] (S)Gordstorm: 13時までこ
[1268.857] (S)でかくん: でかくん subscribed with Twitch Prime. They've subscribed for 8 months! 
[1269.062] (M)Moobot: Thanks for subbing for 8 months, @DEKAKUN 
[1270.537] kobi3070: koinb subscribed with Twitch Prime. They've subscribed for 13 months! 
[1270.597] meganesandesuyo: 姫枠えいたじゃないのか
[1270.605] (M)Moobot: @KOINB with the 13 months re-sub! 
[1271.972] 超アンディー: 負けはミニマム引き分けはミディアム勝ちはマックス
[1274.043] duck131313: 鈴木、震えてるか？？
[1282.380] nagilay1: えいたは１分切れそうな勢い
[1282.540] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1289.968] nagilay1: ときどが謎、もしかしたら３分かかるかもしれないｗ
[1303.711] itoooo_o: こんにちは。ストファイコンボ出来るようになって楽しいです 
[1314.099] fdsfdddd: 口の火傷にロートの目薬は効きますか……？
[1332.311] kanipanman: ギブアップしてもええのよ
[1344.475] 電動マッサージ器: コンボおめでとうございます
[1344.794] samuraichampo: 熱々ラーメン早食い？
[1345.239] ginzibig: 楽しみ
[1348.357] dai920: ＠dekakunさん、LuvBrownRをありがとう。
[1362.713] mmiiacha: umeYay
[1365.458] zoumotu: LUL
[1367.920] mutuizumi: 順番決まってんのかな
[1368.094] (S)naka105: umeCat_HF
[1370.562] chohoino_choi: 配信カテゴリでなんか草
[1376.229] takeiteasy55: 楽しみである！
[1382.406] taroumaruh: 最終的に火傷の我慢との勝負な所はウケる
[1393.474] hirohash1: ふ〜ど
[1394.289] suwatei: ご安全に
[1396.193] suginaka56: スープはMAX鈴木さんでもめっちゃひよる
[1404.333] ~MISSING_COMMENTER_INFO~: アールさんMCか
[1424.500] rindy08: さすがにＭＡＸさん勝つやろ
[1427.585] mutuizumi: ギネスくるー？
[1440.170] OmaeWaMouuShindeiru: ResidentSleeper
[1441.230] ロータス: 大食いの大会だとスープは飲まなくていいケースが殆どだけど、今回は飲むのかな
[1445.036] (S)naka105: PowerUpL
[1447.489] (S)guile_head: Kappu
[1459.183] kanipanman: 根性焼き対決よね 正直寒い
[1460.356] simple_geek: 早食いだからね
[1469.509] miharasan: 何時から〜？
[1471.504] rrrslol: !uptime
[1472.155] bareboru114: まだ
[1472.263] 超アンディー: き の … 昔から気になって仕方ない
[1473.949] (S)tekiro800: 感想戦もまってる
[1477.922] tw_numa: 13じゃない
[1483.439] (S)gaugaugua: 冬はスープ冷めやすいから気を付けて
[1483.865] ebicyan0421: 根性対決に持ち込むためにスープ飲む
[1484.192] (S)feel2525: さて
[1485.956] simple_geek: スピードの勝負なのにやけど気にするって早食いじゃなくね？
[1491.358] めるかーと: アケコントラブルだけはやってくれるなよ？
[1505.894] beastbeast: あと５分で始まる
[1515.566] aka_bbtc: ジャイアント白田の寿司40貫記録が36秒
[1532.312] taroumaruh: 今後のCPTに支障きたさない程度にやってくれ本当にｗ
[1532.747] kanipanman: タバコの火何秒耐えれるかとあんま変わらん
[1535.589] (S)pem97476: マック鈴木と混同しないよう注意。あっちはメジャーリーガー
[1553.068] kahaku91: Food & Drink
[1556.113] sh1zuku716: CPTはまだ先だぞ
[1564.357] nagilay1: ハンデ戦だって言ってんのに、五分の勝負じゃないと寒い勢がおるな
[1564.827] (S)gaugaugua: あ、メジャーリーガーとは別人なんだ…知らなかった
[1567.925] 超アンディー: パパイヤ鈴木は？
[1574.421] balthazar000: え？
[1584.422] mutuizumi: まとうかでもないぞ
[1590.751] zoumotu: PowerUpR
[1598.745] nagilay1: メジャーリーガー、早食いでもチャンプだったらやばない？ｗ
[1600.309] EeJayAitch: Son Daigo
[1601.154] (S)hawawawawawa: 配信に間に合ったああああああああああああ
[1611.798] (S)girotin89: 開始前から3000人
[1614.268] EeJayAitch: Umehara
[1618.471] NagOutSide: umeYay
[1620.771] 何も知らないジョンスノウ: 対決は２種目だけなのかな？すぐ終わっちゃいそう
[1627.286] あずき3: スト５やろうと思ったら配信あったの思い出したわ
[1627.301] 2DQ_Kari2: マゴさんとときど出るならさすがに見るわ
[1627.517] kawa__3: ｐｖあるといいな
[1628.569] (S)gaugaugua: 早食いの人なんですね、ありがとうございます
[1628.636] Barusa007: 美しい魔闘家 の方だと思っってた
[1644.164] 将門ゴルゴロ: HeyGuys
[1645.815] (S)サメカツ1999: えいたさんあたりがラーメン吹き出しそう
[1645.858] (S)tekiro800: ときどさんにめっちゃ期待してる
[1646.532] aka_bbtc: MAX鈴木はどちらかというと大食い
[1646.981] nagilay1: ラーメン１０杯、食ってからお湯入れるから最低３０分はかかるんじゃね？ｗ
[1649.567] mutuizumi: びっくりしてじゃんがら食いにいくレベル
[1650.769] simple_geek: 早食いじゃなくてメインは大食いなんだぜ
[1651.619] fenomenoc: 普通にやったらどうやっても勝てないよそれはだれもが分かってる
[1654.985] taroumaruh: ときんすは 猫舌
[1659.729] takeiteasy55: そこで魔闘家の発想はなかったｗ
[1661.353] 斉川: umeCat2
