[754.568] _こぺ_: 普通に台に置いてやるだけでも安定しなさそうなのに膝起きは更にキツそう。操作的に
[756.104] 将門ゴルゴロ: 残念な事に乗る瞬間見て無いと後から来た人にはバランスボールが見えないというｗ
[760.924] lyo0822: バランスボールのスポンサー狙ってるな
[775.735] tabibitox: ときんす以外バランスボールでやろうと考える人はいない気がする。つまり勧められた？ｗ
[776.060] あくえり244: ゲーミングバランスボール
[780.331] (S)yamasa141414: 身体によさそう
[781.144] domontyan: ウメちゃん、カワノの予選優勝や立川の予選優勝等、最近若手の活躍が多いですね
[782.938] twtchid: 俺もバランスボール椅子にしてるよ
[784.161] dontkonishi: 終わったか？
[784.243] akiaki0612: 来週はたぶん空気椅子でゲームやってる
[787.901] junichitanaka: むしろ今までどんなイスだったっけ？
[789.181] Frasco006: スト5おじさんこんにちは！
[795.271] rice1977: こんちわー
[798.949] (S)tekiro800: たまにボヨンボヨン跳ねればわかる
[803.714] miduki88: 群馬に移動しながらみています！！！
[809.265] (S)user81023: ｗｗｗｗ
[810.299] domontyan: ｗｗ
[810.884] 将門ゴルゴロ: ｗｗ
[811.552] _こぺ_: wwww
[812.033] Papapadad: www
[813.503] junichitanaka: 跳ねるなｗ
[813.580] u_anna: ポインポインｗ
[815.144] domontyan: やめてｗ
[816.412] Frasco006: ｗｗｗ
[816.701] (S)afro888: コンボ中に転けそう
[817.311] danny_love_danny: ポーンポーン
[820.328] (S)user81023: umeYay
[820.668] lyo0822: ｗｗ
[822.354] (S)acdcfandesu: 優勝しちゃう 
[823.535] 将門ゴルゴロ: 跳ねハラ
[824.851] _こぺ_: 跳ねハラ
[825.104] thefrozensun_: ウメちゃんまじで痩せたね
[825.303] fl0kis: 自分の姿がって事？
[827.395] metoro3: この人何してるの？
[829.164] odaji2351: 草ァ！！！
[830.568] inform4231: 後から来た人不審に思うだろうな
[830.842] moscat0c7: 新機軸うちだしてきたなｗｗｗ
[833.108] たけちの: 半袖ぽよぽようめじゃーん
[833.761] balthazar000: 昨日のチャンピョンシップ予選見られました？
[834.917] Jaguar_kick: ウメさんこんにちわ
[836.580] (S)nisikigoi7: 新しいゲーミングチェアはずいぶん弾むね
[836.687] (S)user81023: umeYay
[847.404] たあぼ0126: 巧みにバランスボール使って行きましょう
