[481.212] (S)ンパールーパー: めちゃくちゃ投げるな。相手
[486.134] (S)hirunaruna: お
[489.199] (S)risusiru: ないす
[491.425] (S)nijivamp: ないすー！
[492.000] (S)hirunaruna: ないす！！
[492.168] (S)swimkinpop: いいねー！
[492.235] (S)y_htomo10: geroki1Hakusyu
[494.176] (S)ンパールーパー: 昇龍は出ます
[494.546] (S)ankoroll: 👏👏👏👏👏
[494.682] (S)romakkuq: よし！！！
[495.655] (S)sora_pantsu: geroki1GG
[495.895] (S)ren_noze: ナイス！！
[496.107] usagiraran: よし
[496.324] (S)ンパールーパー: geroki1GG
[496.441] (S)choco609: いえーい！
[497.745] (S)sarioru: geroki1P
[498.762] (S)tyakaboooom: やったー！ 
[499.019] nano_gr: ないす 
[504.368] (S)romakkuq: え
[514.370] pi_suke66: ないす！
[530.739] (S)ンパールーパー: 鳥かごタイム！
[532.778] (S)ンパールーパー: あ
[533.298] empirenow57: 1500維持や！
[541.420] (S)romakkuq: あ
[545.852] (S)y_htomo10: 頑張れー！
[551.099] (S)hirunaruna: ひい
[556.427] nano_gr: がんばれ！、！
[557.874] (S)zoba_57: いいね
[559.069] (S)okiyoo000: geroki1GG
[559.080] (S)risusiru: ないす
[559.381] ふりくせる: www
[560.554] (S)y_htomo10: geroki1GG
[560.732] (S)romakkuq: うええええええええい
[561.266] (S)choco609: おおおｗ
[562.241] (S)ンパールーパー: 進撃の巨人かよ。うなじ蹴るの
[562.285] (S)hirunaruna: ないすないす！！！
[562.597] (S)nijivamp: geroki1Hakusyu
[564.040] usagiraran: www
[564.789] (S)romakkuq: 波動なのよ
[566.286] nano_gr: いえーーい
[566.318] (S)ンパールーパー: geroki1GG
[566.819] ora_ozen: nice!!!!
[566.993] ぱか10: よーーーーーーし
[568.819] (S)saaaawa: ww
[569.880] (S)zoba_57: geroki1Dance
[571.906] nano_gr: geroki1Dance
[573.048] (S)ren_noze: 波動で優勝
[577.860] (S)ren_noze: geroki1GG
[577.987] (S)ンパールーパー: 覇道最強
[580.529] (S)ンパールーパー: あ
[581.395] (S)hirunaruna: えっど
[581.443] ぼっち王子: unkochanYaa
[581.472] mumindaniel: 1500維持してるのすごい
[581.561] (S)romakkuq: えど
[583.117] (S)ンパールーパー: 嫌いな奴やん
[585.109] (S)ンパールーパー: えど
[585.824] (S)okiyoo000: えっど来た
[586.295] ふりくせる: edo
[586.380] nano_gr: でた
[587.098] (S)saaaawa: えど
[587.668] (S)zoba_57: ED
[587.792] paula6464: ED
[588.923] (S)romakkuq: えでぃ！？
[590.752] rxrx2525: ed
[591.120] (S)zoba_57: えっど
[591.425] 柊木レン: エドがちで強い
[593.867] (S)risusiru: えでぃ
[594.349] (S)adaa_udn: えどきた
[600.898] kenta110298: ぶるーみお
[605.373] (S)zoba_57: そうなんだ
[608.572] (S)wanwan_5: へー
[609.010] (S)ンパールーパー: Blumio好き
[611.239] (S)risusiru: ドイツのラッパーの日本人
[612.060] (S)hirunaruna: ほええ
[612.833] ocha72525: ほへー
[619.932] nano_gr: ほへぇ……
[623.390] takeyari_boy: しょこどうからきました
[624.515] ﾊﾝﾆｮﾝﾁｷﾝ: ブライアンにアンサーした人？
[626.033] (S)hirunaruna: 調べてみます
[628.265] (S)risusiru: うまい
[629.653] rxrx2525: おお
[629.961] (S)okiyoo000: いいよぉ
[630.923] ixtxirzuctxitxurxlt: やあ
[631.609] (S)ンパールーパー: ブルーミオさんのコロナラップ好きやで
[631.825] (S)romakkuq: おおお
[632.676] (S)nijivamp: geroki1Hakusyu
[633.736] (S)risusiru: ないす
[633.853] nano_gr: geroki1GG
[635.809] riz0022: ないすー
[635.986] (S)ankoroll: イェーイ
[638.243] (S)zoba_57: へーーーーー
[638.252] (S)y_htomo10: ないす
[638.436] (S)hanahokuro39: ﾗｲﾌｲｽﾞｽﾄﾚﾝｼﾞで終わったと思った
[641.396] (S)ren_noze: 相手モダンだから対空ね
[643.534] mumindaniel: へえええ
[650.736] (S)ンパールーパー: エムの物
[667.759] soar1031: パリィ上手なってる
[669.886] neji2102: 対空ですぎな
[671.740] (S)romakkuq: でない（ ;  ; ）
[674.365] (S)tyakaboooom: 昇竜素晴らしい
[674.618] 33yyy_: パリィするようになったのね
[677.095] (S)ンパールーパー: 手から糸出んねんなぁ。江戸
[688.189] (S)hirunaruna: Geroさんの一つ上の人なんだ
[690.258] (S)romakkuq: あ
[693.586] (S)romshiyo: あー
[694.624] (S)okiyoo000: おっし
[695.896] (S)ンパールーパー: ぁ
[698.328] (S)hirunaruna: （ ;  ; ）
[700.895] (S)okiyoo000: geroki1Dance
[710.835] ぼっち王子: geroki1Punch
[714.154] nano_gr: いけいけ
[717.462] g4ckt_shining: unkochanYaa
[723.788] lemrin0202: レバレス？
[726.141] (S)ankoroll: むぅ(´；ω；｀)
[729.718] (S)swimkinpop: ひろきのばかばか！
[754.269] (S)romakkuq: ひろきー＾＾？
[754.292] ふりくせる: まだや
[754.653] ixtxirzuctxitxurxlt: BibleThump
[757.618] (S)y_htomo10: ぐ
[759.027] (S)ren_noze: まだや
[759.540] steak_2929: BibleThump
[759.563] (S)hirunaruna: いきろ！！
[760.237] ふりくせる: 足りるか
[760.367] (S)choco609: ；；
[760.493] nano_gr: がんばえ！
[760.943] empirenow57: あぅ
[761.154] usagiraran: ああ
[763.198] にちゃゃん: 🥲
[763.244] ocha72525: くう
[763.783] (S)nijivamp: おしい
[763.876] (S)hirunaruna: BibleThump
[764.710] (S)romakkuq: あぅ
[764.774] (S)saaaawa: あぅ
[765.960] (S)romshiyo: あららー
[766.265] nano_gr: (；；)(；；)
[766.706] (S)risusiru: 惜しかった
[767.169] (S)ren_noze: くう
[768.280] にちゃゃん: えどぅ
[768.710] (S)hirunaruna: おしい！
[768.871] mameusa: ああ 
[768.931] soar1031: 惜しい
[769.029] (S)y_htomo10: nf
[770.319] (S)adaa_udn: くうう
[770.389] nano0616: 勝てる相手だぞ
[771.005] (S)choco609: おしかった
[774.293] (S)nijivamp: 勝てるよ
[774.881] (S)swimkinpop: 惜しかった！
[777.774] nano_gr: 次行くしか
[781.064] mameusa: 惜しかったー
[781.140] (S)tyakaboooom: エドかっこえー
[783.547] (S)ankoroll: (´°̥̥̥ω°̥̥̥｀)
[784.747] (S)hirunaruna: 次勝とう
[787.661] nano0616: コンボも上手いわけじゃないからいけるぞ！
[815.528] nano0616: エドはラッシュ小パンの後に投げ押すこと多いぞ
[830.512] (S)romshiyo: あぶな
[830.668] (S)risusiru: よっし
[832.576] (S)nijivamp: あぶねー
[832.757] (S)romakkuq: あっぶね
[834.140] (S)saaaawa: あぶな
[835.210] (S)risusiru: ないす
[835.247] (S)ren_noze: あぶない
[835.451] (S)hirunaruna: ナイス！！
[838.609] usagiraran: よし！
[838.844] (S)tyakaboooom: やっぱ波動！
[839.471] mameusa: ないす！
[840.432] nano0616: 溜めすぎだな
[844.841] (S)risusiru: うまい
[858.090] soar1031: うま
[862.022] (S)romshiyo: おお
[862.383] (S)y_htomo10: ないすー！
[863.005] takeyari_boy: だそくもやりはじめたね
[863.117] nano0616: サイコナックルはインパクト確定！
[863.539] (S)romakkuq: よし
[863.786] (S)nijivamp: ないすーーーーー！！！！
[864.189] (S)risusiru: うめぇや
[864.814] (S)y_htomo10: geroki1GG
