[77.766] (S)neetbd: BloodTrail
[78.027] (S)claude__debussy: ニコ生の最初の2時間楽しかったなあ
[78.660] ziri_hq: ガチイク！
[79.094] あーたん8: ギムラ
[79.136] (S)774K: 誰？
[79.500] flowergameman: MercyWing1
[79.840] temiarsss: 2024/6/6(木) 12:44開始(6時間33分) 2024/6/6(木) 12:44開始(6時間33分) 2024/6/6(木) 12:44開始(6時間33分)
[80.024] (S)たま531: batoraSudachikun2
[80.072] Bottsura: 名を名乗れ
[80.226] (S)siosanma: 最近、毎日配信してるな、暇なのか？
[80.955] (S)korsaken: ニコ生の話はやめろ、ツイガキにバレるだろ・・
[81.038] maecradioh: ニコ生ジジイの加齢臭がするんだけど…w
[81.220] houkisami: これなんの時間？
[81.453] ssss215: ニコ生民さんあれやってよｗ わこつ～ってｗ
[81.523] (S)potenzak: ヒキニートさんこんばんは！
[81.605] cocoro_kaze: DinoDance
[81.703] kkkk_01234: BloodTrail
[83.237] (S)neetbd: DinoDance
[83.396] にょセフ: お前ニコ生やってたのかよ
[83.494] runrunxan: ニコ生ならなぁ
[83.929] (S)1398647: 誰？
[84.482] ikarou64: ニコ生の通知切ってるから気づけなかったぞ！おい！あんなところでやるな！
[85.338] (S)yukimaru0701: 無職 
[85.456] talonflame0663: よお配信者
[85.522] nyanko1945: ニコ生やってたの
[85.564] (S)soralira: ニコ生もやってたの？
[85.601] (S)みやぢと申します: batoraSudachikun6
[85.612] (S)リスナーってほんと金づる: batoraDance
[86.256] ぺぺ2: w
[86.890] apple_pie0827: ここでは名前を名乗るんだろ
[86.987] みそカツうま男: よお無職
[87.253] トロンケン: トロンケン subscribed at Tier 1. They've subscribed for 14 months, currently on a 14 month streak! バトラの奴隷記念14か月目や、褒めてくれ
[87.974] alggtr: 義務ニコ生からの義務twitch最高です！ 
[87.993] nezar77777777: 誰？
[88.006] (S)~MISSING_COMMENTER_INFO~: ニコ生とかいうオワコンの名前出すな
[88.214] roooot7777: バトラ、100階ダンジョンいつやるんや？
[88.223] sess_y: DinoDance
[88.924] flowergameman: BloodTrail
[89.021] (S)chienpao30: 64は？
[89.072] ジャージャー麵: ツイッチテンションやめてね
[89.238] yuten_p: いやだ！
[89.491] oniku_sinya: バトさんにょっす
[89.691] ひのこ_27: やばい画質が綺麗だ。でもニコ生すき
[89.692] mimi9862: BloodTrail
[89.808] (S)letsplayomori: 誰です？
[89.912] sukosukonbu: batoraSudachikunAnimation
[89.930] (S)たいにー: にょっす🐮🤚
[90.102] パレスキ: BloodTrail
[90.317] aisuoish: やあ
[90.581] arco_chan0: batoraSudachikun2
[90.585] (S)shamanstrip: いやです
[90.659] yff32415: バトラさんお願いします。ニコ生の時も配信開始ツイートしてください
[90.764] suiso41: よおニート
[90.782] (S)yuzulem0n: BloodTrail
[90.889] (S)neetbd: よおにーと！！！！
[90.914] foxsoxrolex: ニコ生してたの？
[91.021] DemifiendLv99: ニコ生ならなぁ... 
[91.100] masayuki0418: DinoDance
[91.302] (S)バターのカルピス: batoraSudachikunAnimation
[91.625] nyanko1945: ニコ生やめてね
[91.714] やらない夫です: BloodTrail
