[3643.773] たぬきーですね: スフィアめっちゃレッドブルの匂いする
[3649.115] (S)danny_love_danny: 運がいいですね
[3650.442] kr4ftwerk: PogChamp
[3652.933] (S)体調不良は背中をほぐせ: 出張勢
[3656.684] shibaponz: ありがてぇ
[3659.758] cubgasukidesu: 1500以下の方
[3661.130] (S)canon_203: うらやましー
[3672.258] tarako7016: スーパーブロンズ結構差があるけどな
[3686.185] muryokuka: それマジで欲しい
[3686.782] (S)yuiaog: 対空だ！
[3691.615] x_yashi: ここでも水飲むんや
[3699.751] metoro3: 初心者帯のバッタは最強
[3700.934] (S)シュレ: 出版社の話が着そうな発言・・・
[3702.287] (S)uki_ch: それほしー！
[3710.788] shibaponz: めちゃくちゃ最近で草
[3712.209] (S)シュレ: 売れそう
[3715.381] ちゃんたく: ｗｗｗｗｗ
[3716.573] Waka19shachi: 1000と1200に壁がある気がする
[3730.138] cubgasukidesu: ケータがんば
[3761.707] muryokuka: 体系的かつ初心者向けで技術纏めたのってありそうでないよね。wikiとかも情報更新されないし
[3773.989] レインメーカーオカダ: 通訳いる？
[3800.619] umechin: ウル４のコーディーから変わりすぎ
[3803.898] ちゃんたく: 今1000までいくとみんな普通に戦えてるよね
[3808.749] tarako7016: これで１０００なのk
[3814.506] cubgasukidesu: さいこアパ！
[3838.379] shibaponz: 対空とかを除くとそこそこに見えるのが今のブロンズ帯
[3857.284] aobara0208: 初心者は大足フル人多いから、大足に確反覚えるといいかもね
[3859.519] tsubuchoco: かっこいい
[3862.343] TUBE_MAN: 1500くらいになるともうコンボミスしない人ばっか
[3863.765] manisub2: 親近感わくプレイだ
[3866.957] (S)体調不良は背中をほぐせ: とりあえず受け身
[3948.548] へんたいりゅー: 1年程前から折笠さんのLPの追っかけをしてます
[3967.748] (S)danny_love_danny: ウメちゃん世代ね
[3969.196] ちゃんたく: ウメさん世代？
[3974.616] orange88: めちゃいい配信やんこれ
[3990.829] tarako7016: ほう、やってた人なんだ
[3992.584] (S)風呂でフルーチェ: 同年齢だ
[4005.042] レインメーカーオカダ: 餓狼伝説
[4010.750] (S)シュレ: 不知火舞
[4015.256] shibaponz: 忠実 忠実
[4019.906] dominix111: 今日は我らの英雄小次郎ニキいないの?
[4025.127] sasakumadrops: 乳にやられたクチか
[4044.789] daikuhji_xxx: 揺れがね
[4060.024] sasakumadrops: 衣装も露骨だｔｔ
[4060.858] aobara0208: 上でるねぇ
[4120.109] レインメーカーオカダ: ふーどの言葉英訳してる人おるのか
[4139.143] たぬきーですね: 暴れ我慢出来ればかなりダメージ減らせそう
[4145.238] (S)シュレ: この方は遅らせグラップ覚えればダッシュアッパーやめてゲージ節約できそう
[4145.833] ちゃんたく: 新規層は囲んで逃がさない
[4169.383] maemaemaema: いいね
[4189.071] カエル君: ありがとうございました！緊張しました〜
[4199.568] psionicpsi: おつー
[4201.092] (S)kumanobed: おつです
[4214.428] (S)varoshi: 相手はとてもお洒落だったね。そこは分かる。
[4215.991] kamadango: umeSalute
[4218.965] (S)fatcatz: umeParry1
[4239.947] (S)senfal: umeSalute
[4280.414] Copper203: PogChamp
[4280.558] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[4288.597] aobara0208: 初心者はとりあえず全部後ろ受け身でいいと思う
[4319.327] benizakuratosaken: 受身にはに二種類あるのか
[4324.072] FGC_2nd_Impact: 4Head
[4361.041] サカザキ: 基本後ろ受け身でいい
[4397.921] (S)シュレ: ふーどはボタン３つでやってんのか…実際はパンチ２つかキック２つで出るみたいだ
[4405.373] カエル君: 仕切り直しか、なるほど。
[4405.847] aobara0208: ダウンしたら後ろ連打でいいよ
[4410.244] (S)もけたわけ: エドは技でないのかな？
[4453.073] レインメーカーオカダ: ほうほう
[4463.177] maemaemaema: ロンブーの淳も離してたね
[4469.025] (S)diego_ohunabara: umeRoad
[4474.349] psionicpsi: 見てるねぇ
[4478.303] こにちは: ガチ初心者としてはすごい助かります
[4486.863] shibaponz: アキキさんそれでサコさんにめっちゃ怒られてたねｗ
[4515.922] n0pants: what stream is this, teaching new people?
[4539.776] psionicpsi: yes
[4546.439] レインメーカーオカダ: どぐら持ち
[4551.550] msnbt: 俺ワインなんだけどｗ
[4554.404] shibaponz: 板ザン「！？」
[4560.999] bobo05100140: そこ気づくのすごいなw
[4564.793] maemaemaema: 初心者でもアケコン買うんだ
[4569.824] カエル君: あやしい説w
[4571.288] Ein0Twei: It's a new job recruiting
[4641.804] カエル君: 投げ抜けと遅らせグラップは日々練習しています！
[4658.023] (S)シュレ: 昔の格ゲーは投げ抜けなかったからなぁ
[4659.008] shibaponz: 裏技で草
[4660.924] tsubuchoco: むしろ教えろｗ
[4666.795] しゅごいよ: あんまおしえちゃいけない
[4667.604] iNAVI_x: ワザップ
[4667.857] hocyan: 禁断の裏技
[4670.732] hannibal097: 遅らせグラ
[4673.132] FGC_2nd_Impact: tatHYPERS
[4681.878] shibaponz: みんな黙ってるの知ってるぞ
[4683.476] ちゃんたく: 禁術だからな
[4696.203] daikuhji_xxx: 禁式
[4697.414] てりー: これはダイヤまで上がりますわ
[4700.357] metoro3: 遅らせグラは必須
[4704.672] tairanth: 千葉にだけ伝わる秘伝
[4742.066] こにちは: こんなの知らなかった
[4742.876] msnbt: さすがにスト２世代は感覚掴むのが早いな
[4744.336] shibaponz: 化物で草
[4745.560] レインメーカーオカダ: ま？
[4752.340] てりー: なんとかなる(中段以外
[4781.669] カエル君: 中段は本当に見えない…
[4808.660] (S)シュレ: あーこれ強いよもう( ´∀｀ )
[4813.547] sakuyo13: 免許皆伝
[4816.468] ちゃんたく: 出張にぃお疲れ様でした
[4818.818] こんふれ: マジでためになった
[4823.359] (S)senfal: umeSnooze
[4823.657] レインメーカーオカダ: ダイヤモンド
[4830.450] てりー: ダイヤ確定ですわ
[4831.615] shibaponz: pc版なのに中断立てねぇなぁ
[4833.321] しゅごいよ: ダイヤ人を送り出してしまったわ
[4834.805] カエル君: すぐ追い抜かれそうで怖い！
[4835.764] FGC_2nd_Impact: WutFace
[4840.690] 名無しベータ: タメキャラはPかKで受け身のほうがいいですね、レバーだとタメが消えちゃうんで
[4850.362] Waka19shachi: ジコケンってアーカイブ残るっけ？
[4856.905] hhopeug: のこる
[4858.116] shibaponz: 残るはず
[4861.381] (S)kumanobed: アーカイブ残りますよ
[4868.786] msnbt: 女子で！
[4882.148] hannibal097: 女選べよ
[4885.574] (S)danny_love_danny: せっかくだから女性で見たい
[4885.813] (S)もけたわけ: 和製ナックルいるやん
[4888.067] maemaemaema: ナックル！！！
[4894.193] (S)AtomPeter: ナックルいたぁ！
[4896.478] レインメーカーオカダ: 男はいらん
[4902.125] phan_tom_2015: FRULL? 
[4902.497] shibaponz: ナックルドゥ緊急来日してるやん！
[4903.250] (S)体調不良は背中をほぐせ: ナックルはずるい
[4904.653] カエル君: ホントだなっくるさんがいる
[4906.429] SONIOjpn: 漢ナックル
[4906.813] phan_tom_2015: GRULL? 
[4907.043] maemaemaema: キター！
[4909.282] adamsmokey: おばちゃん
[4911.841] サカザキ: 全0
[4912.112] Planetrollcall: ００００
[4914.008] (S)danny_love_danny: きたあ！！
[4914.583] himajin1: 女子やぞ！良かったな
[4915.211] TUBE_MAN: すげえ髪型
[4916.394] risutaa3: 女性！？
[4918.711] msnbt: 強そうｗ
[4920.773] hannibal097: 女子きあ
[4920.972] てりー: おや？
[4922.413] tarako7016: 関西のおばちゃんっぽいのｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
[4923.537] Waka19shachi: お、お、おばちゃん！？
[4925.479] FGC_2nd_Impact: PogChamp
[4926.413] (S)danny_love_danny: ふーど負けそう
[4926.665] (S)AtomPeter: おばちゃんもスト５やるんか
[4929.552] cubgasukidesu: 女キャラで我慢して
[4929.585] watafork: ww
[4929.780] shibaponz: 草
[4930.190] (S)shochann: 商店街のおばちゃんｗ
[4930.479] adamsmokey: ｗｗｗｗ
[4931.130] (S)体調不良は背中をほぐせ: ごめーんｗｗ
[4932.976] himajin1: ｗｗｗ
[4933.818] one_346: よかったな。女子だぞ
[4935.225] gaman_k: 瞬獄殺うちそう
[4935.757] tskjp: 濃すぎるでしょｗ
[4936.904] (S)yuiaog: umeGross
[4937.734] こんふれ: コメントに牽制
[4938.080] kskfarksk: お父さんの付き合いみたいな感か？
[4939.042] レインメーカーオカダ: ファ！？
[4939.374] phan_tom_2015: true MOM playing sfv 
[4940.465] metoro3: 女子おっしゃああああ
[4940.495] (S)体調不良は背中をほぐせ: あったけぇコメしていくぞ！
[4941.376] watafork: どうしようもなくてごめーん
[4942.012] (S)areg392: HeyGuys
[4943.438] usedmart: こういう人が増えてくれるのがうれしい
[4943.862] ちゃんたく: どうしようもなくてごめーん
[4944.504] maemaemaema: なんでやろうと思ったのか聞きたいわー〜ー
[4945.570] (S)エイジ_: 温かく見守れよ
[4946.111] (S)kanchi0515: 髪型気合い入ってんな！
[4946.116] torakuru: 喜べ女だぞ
[4947.194] (S)fatcatz: これはこれであり
[4948.096] しゅごいよ: おれたちはどうしようもないんやで
[4948.129] FGC_2nd_Impact: tatKevinH
[4949.624] unidentified456: これは応援したくなるな
[4949.906] salad_maki: え
[4950.639] feretto1: ０っていうのはやったことないってことか
[4951.611] shibaponz: やりたくなった理由がききてぇｗ
[4951.950] こにちは: 佐々木希に似てる
[4953.597] adamsmokey: Tシャツが過激なんだけど
[4955.697] (S)danny_love_danny: ふーどすでに負けてる感が
[4958.255] kskfarksk: こういう人が入ってくるのはほんといいこと
[4958.871] psionicpsi: 女性って初かな
[4959.300] iNAVI_x: 病気ｗｗｗｗ
[4960.136] カエル君: 精一杯紳士的にいこう
[4964.014] サカザキ: まず必殺技の出し方？
[4966.810] msnbt: インタビューだけでいいよｗ
[4967.357] shibaponz: LP０で所有してるやつｗｗｗ
[4970.087] (S)体調不良は背中をほぐせ: 積みゲーｗ
[4970.368] (S)kuini__: すげーなーいろんな人いるんだねー
[4970.783] (S)エイジ_: 積みゲーｗｗｗ
[4973.947] (S)danny_love_danny: まったくの初心者いいね
[4974.841] (S)シュレ: ふ～どファン、層が厚い
[4975.722] 99sapp: トレモでいいだろｗ
[4979.024] (S)kanchi0515: 病人こい！
[4979.973] tarako7016: ０で持ってるあるでしょw始める前に買ってればw
[4982.986] (S)senfal: チャレンジとかでもいいよね
[4984.988] shibapupppp: すいません持ってる人です
[4985.247] bobo05100140: これはおもしろそうな予感w
[4996.121] unidentified456: この人EVOまでつれてこ
[4997.645] msnbt: いいね’
[4999.652] tarako7016: 俺らじゃんw
[5000.985] (S)体調不良は背中をほぐせ: プロ動画勢
[5001.642] (S)AtomPeter: まーじか
[5002.401] (S)danny_love_danny: おお
[5002.635] ちゃんたく: 俺も全大会観てるから親近感湧く
[5003.801] Waka19shachi: 静音タイプの隼か！ちゃんと高くて良いの買ってるやん
[5003.952] shibaponz: 俺もそんなかんじや
[5004.452] mochaboi: this is amazing
[5005.350] salad_maki: おお
[5007.741] msnbt: すげえｗ
[5007.992] Ein0Twei: よし！こんどの母の日はスト５送ろう
[5008.183] muryokuka: なげえｗ
[5008.292] たぬきーですね: 0のラウンジ初狩マン結構いる
[5009.342] metalface_05: 全大会結構きついよｗ
[5010.893] 名無しベータ: 動画ガチ勢だ
[5014.888] feretto1: 10年プレイヤー
[5016.418] cubgasukidesu: 買ったけどやめたひといるかな？
[5016.502] sasakumadrops: これは逸材になれる予感。
