[557.818] ta3z_: 問題の一つってどっちの意味なのかｗ
[558.267] (S)rt340: “問題”ｗ
[558.621] mukade3: 問題のひとつｗｗｗｗ
[559.420] (S)ほげええ: レトロ、硬派
[560.437] kurage88: 問題だったｗ
[561.257] (S)kemononeko: 昔に戻っていく
[562.131] inoitami: このゲーム売れてるの？
[568.561] (S)kumatedd: わぁ派手
[571.155] mukade3: 問題他にもある言い方するなｗｗ
[571.388] okitotoro: 問題？
[573.864] always_1_3: やっつけコンボではなぁい！
[579.095] ta3z_: おじさん
[580.686] ヌキンクス中年期: この配信は見なくていいや
[581.612] (S)AtomPeter: おじ
[581.819] rofuty: 強制的に技の特性覚えられるな！
[591.236] thousand_masao: かなりオタク
[591.649] Anpan_umai: EXのトライアルも実質パズルだったし
[592.310] fliege1515: ハメコさんの配信腹抱えて笑った
[593.261] kanabuso: まぁ無理です
[593.800] nanaushi: できないかもしれない
[595.343] ヌキンクス中年期: スタヌのアーカイブでも見るかぁ
[596.935] おもいべる: mirunjaneeUmai
[599.192] (S)lstang: disと自虐配信？
[599.912] imurilove: 製作者が問題児でね(*ﾉω・*)ﾃﾍ
[600.765] toyboze: プロならね？
[602.669] qq_taro: 無理です
[603.209] (S)kumatedd: サクセス！
[604.748] (S)kemononeko: できないかも
[604.882] cerometal: プロｗｗ
[609.684] kumadori3: 派手だ
[609.786] chayme: are they gonna be showing vulcano and pullum?
[610.831] psionicpsi: きっつｗ
[611.742] kanabuso: 5分？無理無理
[612.216] keitora999: 絶対無理ｗ
[612.280] okitotoro: あなたさぁー
[614.094] (S)domontyan: sakoさん
[614.332] ta3z_: ふ〜どならさすがにね？
[614.498] kurage88: 30・・・
[615.279] (S)lucita_lapita: 自由研究コンボはできないでしょ
[615.595] (S)ほげええ: プロが出来ないコンボ見たい
[619.608] hoehoeR: コンボがむずいって言うよりパズルだもんな
[619.721] longhorntrain: エキスパート舐めてない？
[621.155] cerometal: カイリ16は無理じゃないかな・・・
[623.959] always_1_3: 特に触らずいきなり１５はさすがに
[626.594] zsh126: 板Zをグツらせたレベル
[639.068] mukade3: いきなり５分もずっとコンボやってるの見るのかｗ
[643.736] (S)mutuizumi: 空も飛べるはず
[645.536] psionicpsi: １からやればいいじゃん
[661.734] kamisimeru: 5分スタート！ 20時13分
[682.270] always_1_3: まずパズル
[686.650] (S)kemononeko: 下から二番目に簡単
[687.568] fliege1515: 漢字の勉強ｗ
[687.866] ta3z_: 漢字も勉強
[687.994] kurage88: いいことづくめ
[688.276] 二丁目: やめろｗｗｗ
[688.393] cerometal: 漢字の勉強
[692.731] mukita0000: 暗号解読ターン
[693.352] fat100kg: えんらくししょう
