[29.627] T7K2Y: やあ
[1417.547] thraximundaru: 忘れてるだけ説怖いんだけどw
[1419.552] one596: 離婚報告はされたのに再婚報告はしてもらえないとかあんの？w
[1419.884] イエール: トパンガ飲み会の時とか？
[1420.847] (S)毛穴つぶつぶ: 投げすぎて嫌われたか
[1422.604] (S)ごはんうまお: ブランカで養っていく
[1424.440] クラクラ777: いやネモさんならちゃんといってそう
[1427.604] だいこん_: 酔ってるときに聞いたかぁ？
[1428.651] balthazar000: アケコンの音が煩くて離婚したとか聞いたなぁ
[1429.376] hawawawawawa: 綺麗なTシャツｗｗ
[1431.053] ugigigi: おろしたてのユニ着ていこう
[1441.354] adachikufgc: リメンバー再婚
[1442.769] 新ころりん: 出したてのビーストTでスピーチか
[1443.442] ましゅダヨ: いや～うめちゃんには言う習わしがあると思ったんだが
[1447.968] SUGAKIYA: 酔ってる時に聞いてたはマジでありそうで笑う
[1460.096] ましゅダヨ: ありそうw
[1462.330] 000105: ヨレヨレのTシャツはダメよさすがに
[1465.890] balthazar000: 理の外の男：ネモ
[1468.581] goozy009: 第２回泥酔披露宴
[1479.021] 新ころりん: またハラキリソニックしちゃうのか
[1484.323] クラクラ777: 放送できないアレ
[1493.652] takahashiseigi: 多分王が忘れてそう…
[1495.850] miracle_flash: 酒の席で聞いて忘れたはありそう
[1499.247] homu0117: 講演会で着てたチェックのシャツ似合ってたからそれで
[1499.380] kawasak1n: 王、こんばんわー 
[1499.669] donekofg: 低空百烈さんさぁ
[1509.706] にゃんだろーりんぐ: 目が座っている王の挨拶
[1510.559] ugigigi: 低空百裂が垂直か前かで着地が変わる
[1512.217] (S)毛穴つぶつぶ: ご祝儀柔道してほしいわぁｗ
[1513.174] ましゅダヨ: 新しいビーストTシャツ下ろしていこうぜ
[1516.156] シャンウー: 政治婚したかー
[1520.070] fbhjkl: PogChamp
[1521.087] ~MISSING_COMMENTER_INFO~: 24/04/2024
[1524.865] クラクラ777: つよい
[1544.270] ましゅダヨ: スーツの写真アップ待ってます
[1549.948] hanavy0564: パチモンじゃなくて本物のクロックスも履いていこう
[1555.923] ましゅダヨ: 絶対にスーツの写真お願いします
[1565.068] (S)毛穴つぶつぶ: カメラマンはひぐちでお願いします
[1565.174] クラクラ777: 正装＝本物のクロックス
[1565.901] ugigigi: ケンみたいに革ジャン着よう
[1572.902] だいこん_: 新品のTシャツと短パンとクロックス準備しなきゃ
[1584.989] homu0117: SFLでネモのスーツ弄ってたのに逆にやり返されちゃうじゃん！
[1589.290] (S)毛穴つぶつぶ: わかーい
[1597.571] koga_rashi: スーツはレンタルで
[1603.124] (S)wakkyie: ウメさんガチでスーツ持ってなかったと思うwww
[1609.736] (S)軽く捻るか: インパクト返し率高い
[1621.289] ugigigi: ネクタイの締め方わかんなそう
[1628.524] takahashiseigi: ボンちゃんの結婚式でスーツ着てましたね
[1628.878] SUGAKIYA: 要所で小パン振ってるの多いな
[1634.439] kawasak1n: アピールコンボするときがきた
[1636.930] homu0117: レンタルしたら酒こぼすから買い取りだな
[1637.102] ましゅダヨ: 私と同じピンク春麗……この人いつも2p側の人だったんだろうなあ……
[1651.201] umesecond: もう2076でレジェンドじゃないのか
[1652.590] 000105: 今の家にスーツあるかなぁ...
[1655.372] ましゅダヨ: スーツの写真！
[1662.475] ましゅダヨ: (しつこい)
[1675.143] SUGAKIYA: レジェンドラインが上がるってことは対戦いっぱい起きてるってことだしいいね
[1677.994] ugigigi: とりあえず流石に呼ばれるって事でいいのかな
[1680.312] goozy009: 定説で行くと結婚バフでEVOJネモさん優勝するのかな？
[1680.602] koga_rashi: また大貫がパスタ平らげるのかな
[1713.244] homu0117: リアル付き合い長いネモがウメちゃん呼ばないはあり得ない
[1719.515] takahashiseigi: ヌキさん「パスタ事件はGO1が悪い」
[1724.190] johndoe6523rp: ネモさん最近調子良いしあるか
[1736.623] kyzook: umeYay
[1756.316] ましゅダヨ: わ、それ通る時あるのか
[1785.204] ugigigi: ふせｗ
[1793.867] (S)wakkyie: おーリプレイ珍しいな
[1794.453] 若鶏の唐揚げ: umeCossack
[1794.651] シャンウー: ビーストTシャツ
[1797.392] ましゅダヨ: ふせ？ww
[1808.892] だいこん_: 👍
[1811.460] ugigigi: ｲｲﾈ！
[1819.818] kawasak1n: ｗｗｗ
[1824.553] (S)いちけん04: umeMeat
[1834.184] sigurenigame: おしりがすごい
[1844.041] 桃田社長: good
[1854.524] ugigigi: ケツの肉
[1869.331] Baya_45_: すごい足の曲がり方してるな
[1875.296] tenp101: やっぱ春麗ええなぁ‼︎
[1881.388] takahashiseigi: 多分EVOJで当たるもけも良く狙ってくる
[1898.253] johndoe6523rp: 中足構え中段
[1899.973] ましゅダヨ: この技通ったことない 
[1921.712] (M)gameinntwitch: 始まってた。問題無さそうですかね
[1924.897] ugigigi: ふせ→何もしない が何回かあったから喰らっちゃったね
[1934.579] ugigigi: ゲームイン
[1951.668] 日本語かな: こんばんは
[1953.964] ましゅダヨ: 本日もよきです、メンおじありがとうです
[1971.935] ましゅダヨ: フェイント感覚で使うのが良さそうかー
[1977.951] (S)のぶとも: 春麗をスローで見てスケベな角度を探してるのかと思ったら違った（それはそう
[2009.363] sigurenigame: 伏せでちっちゃくなっちゃった
[2009.879] (S)軽く捻るか: メンおじさま、問題ないですよ！
[2023.734] カブトシロ: こんばんは。
[2037.602] ましゅダヨ: 中足の後は割とどれも注意かも
[2045.691] ugigigi: リスタートまだ手動なのうける
[2059.108] kawasak1n: どっからでも構えれるのかー
[2098.042] kawasak1n: おおお
[2101.300] ましゅダヨ: 先生のが詳しいですな
[2119.387] ugigigi: 構え中はガード出来るよ。念の為
[2123.595] une3333: 春麗はまだあんまり開拓してないのかな
[2128.786] だいこん_: おなるん
[2136.542] une3333: いちゅめん
[2153.481] ましゅダヨ: 昨日XQに馴れ馴れしかったなるおだ
[2161.926] v_harumi_v: @gameinntwitch メンおじさま、こんばんはー。問題なさそうですー
[2176.669] (S)のぶとも: 無職にい、ZETA入りありそうなんだよなぁ
[2208.992] ましゅダヨ: XQ味方につけたら強いってわかってるよあの人
[2217.545] maddy2623: naru04NHK
[2273.257] SUGAKIYA: おなるんなんか匂わせてるの？
[2275.062] sigurenigame: ジェイミー攻め手が少ない
[2276.179] ましゅダヨ: XQはヴァロラントのコーチやったりしてるから、ZETAからしたらかなりの重要人物ですね、
[2277.666] KgrZz: afternoon
[2286.097] johndoe6523rp: いや全然
[2289.359] (S)のぶとも: 匂わせてはないけど、あってもおかしくないな〜って
[2309.965] ましゅダヨ: ZETA訳分からん人好きだからなww
[2322.395] gondawaragon: あったとしてもZETAの対戦会行ったからとかなんの根拠もない想像でしょ
[2322.830] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[2349.139] sigurenigame: おみごとー
[2350.314] SUGAKIYA: 固ってえ
[2355.576] ugigigi: えいたのキック空を切る
[2358.980] buturin093: ボタン押さないのすげ
[2366.039] maddy2623: カチカチ
[2383.854] だだんば: もうsflまで2ヶ月とか？？
[2421.246] ましゅダヨ: 予想することは悪いことなの？みんな散々予想してるのに？
[2437.002] kitagawakun: 今気づいたんだけど、MAX鈴木さんとの企画、もう４年前なんだな
[2453.399] (S)yomoyansan: さすなる
[2455.715] fikat_0702: ばにぃはSFLでないのかな
[2458.672] dashsnow_: @marshdayo 臭うから黙ってください 
[2462.564] yasubewe: もうソニック寿司から4年なのか
[2479.904] Youhei6251: 味覚王またやんねぇかな
[2481.616] kitagawakun: オゴウクラハシ対談なんてもう７年前だったわ
[2485.331] ましゅダヨ: @dashsnow_ どういう意味？
[2486.428] johnnyppas: てかなるおがリーガーにならないの勿体ないな
[2495.242] johndoe6523rp: 時の流れは早い
[2504.055] だだんば: なるおってプロだった時期あるの？
[2510.005] johndoe6523rp: ない
[2512.637] Hikaru_256: オゴウクラハシの喧嘩は未だに見返すわ
[2527.917] SUGAKIYA: 競技は強けりゃいいってわけでもないからさ 本人のモチベが一番大事よ
[2533.831] 真理に至った: なるおは選手でやる気はないって名言してるから
[2537.583] gorogorogorn: だいたい今くらいの位置だね
[2539.953] kitagawakun: オゴウクラハシの喧嘩は開幕からの引き込まれ方がすごい
[2550.518] kawasak1n: umeYay
[2551.105] yasubewe: 久しぶりじゃねぇだろ！は流石に笑う
[2554.189] syatikudesu: うっま
[2558.696] Youhei6251: 自分で言ってたよ、「俺元プロだと勘違いされがちだけどプロだった時一瞬も無い」って
[2558.956] だだんば: ないんや。格ゲー界隈まだ浅いから謎の存在
[2559.780] BillHicks5051: hocTTT
[2567.779] chocolat1234: こんばんわ!!
[2576.114] kitagawakun: なうおは飽きっぽくて、格ゲーハマったのがまじで奇跡らしい
[2577.386] Baya_45_: ジェイミーの突進、来てるのわかるのに喰らっちゃうよね
[2583.819] (S)のぶとも: がぶ飲みや
[2589.119] 000105: なるおインパクトボタンないよ
[2594.319] 亀の甲より柴咲コウ: 横浜最強リュウやしな
[2595.942] SUGAKIYA: なるおはずっと昔からストリーマーよ
[2598.167] ugigigi: なるおは確かに強いけどリーグで勝てるかはまた話が変わってくる。ジェイミーだし
[2604.383] gondawaragon: おなるんは元々何勢の人なの？
[2612.551] CARNO_JPN: なるおは解説者になりたいと今日の配信で言っていたね
[2616.851] じんー仁: なるおさん＞リボでできた400万円の借金を嫁に作られて離婚した人ってイメージがでかい
[2617.254] kitagawakun: でもな、なるおはかつてトパンガリーグのAリーガー入れ替え戦をボンちゃんサガットと死闘を演じたんやで。結構すごいんやで
[2621.687] ~MISSING_COMMENTER_INFO~: mimiauNMW
[2637.340] yasubewe: エピソードがひどいｗ
[2637.732] koga_rashi: 流石に削れんか
[2640.956] SUGAKIYA: SA1の2ループ目削り無いんだ おもしれぇ
[2641.471] johndoe6523rp: スト勢じゃないか？
[2659.332] SUGAKIYA: スト4はガチ勢 スト5はあんまりやってない
[2666.213] monen_tofu: naru04Kei
[2671.913] だいこん_: umeGu
[2676.860] P7norris: nice
[2679.296] edwardnigma_: god like
[2679.374] gondawaragon: スト4勢なんだ
[2682.919] ましゅダヨ: そんなエピソードあるんだ、つら……
[2685.325] laorao0: ウメちゃんつよーい
[2692.385] kyzook: umeYay
[2701.698] chicken_dumpling: will daigo go to Dreamhack Dallas?
[2703.006] じんー仁: なんか耳に残る衝撃的なエピソードで覚えてる人がおぉい格闘ゲーマー 6億借金のあるおじさんとか
[2708.178] K3nsh1nBrZ85: FortOne
[2712.077] goto888: スト5もトッププロのカゲのスパーに呼ばれるぐらいには強かったよ
[2715.268] tama_zx61: 6億！？
[2723.889] ~MISSING_COMMENTER_INFO~: gamergy>dreamhack
[2728.603] kitagawakun: 女性経験の多いなるおの初体験の相手は本人曰く『ボストロール』
[2733.601] Youhei6251: ケーにぃ、そんなに借金増えたの？
[2734.757] 000105: 今年は後半の選手の入れ替えあんのかね？
[2737.408] ましゅダヨ: 6？ふえた？もしかして
[2750.444] (S)のぶとも: 最近、何億の借金〜みたいな話多すぎて金銭感覚おかしくなるなw
[2755.501] one596: この前4億に増えてたけど更に2億増えたか
[2758.251] sigurenigame: 普通の人そんなに借り入れ出来ない
[2760.367] SUGAKIYA: トロルじゃなくてボストロールなの闇が深すぎる
[2765.599] maddy2623: KSKさんのチームが三太郎さんと契約するみたいよw
[2771.647] 箸くれ: 箸くれ subscribed with Prime. They've subscribed for 13 months! 髪さっぱりしてる！
[2772.215] (S)royrat8325: 一平よりは全然少ない
[2775.775] ましゅダヨ: サウジで優勝するしかないじゃん……
[2776.672] chicken_dumpling: @unasonrisa what is gamergy? dreamhack gives is qualifier for the Saudi tourney $$$$
[2776.823] Hikaru_256: 徳政令カード欲しくなる額だな
[2780.958] ugigigi: 世界大会6回勝てばチャラじゃん。ちょろいぜガハハ
[2783.257] SUGAKIYA: KSKのチームってなにまず？
[2786.495] (S)のぶとも: 一平のせいで少なく見えちゃう
[2797.238] りんごれっど: エボジャパンって金土日の三日間でやるの？
[2804.809] Hikaru_256: そう考えると一平ってすげぇんだな
[2807.946] ましゅダヨ: 一平と比べたらなんでもちいせぇや……
[2809.193] CARNO_JPN: ジュリ界隈ではSA2よりもSA1の方が流行っているらしい
[2809.302] ~MISSING_COMMENTER_INFO~: @chicken_dumpling thats why... saudi buy you
[2814.682] one596: 土日月の祝日
[2817.580] yasubewe: 今週はかぶりつきで見るんじゃぁ
[2822.367] (S)のぶとも: CCで1億円を争ってたのは一体…
[2823.597] chocolat1234: 🚓
[2835.835] gondawaragon: ウメちゃんも大谷くらい無頓着そう
[2838.058] chicken_dumpling: @unasonrisa well kakeru is pretty happy with that prize money right? 
[2842.489] マンゴスチン: 1億ははした金
[2842.790] zarakionuma: KSKはCA自己破産あるから
[2853.105] SUGAKIYA: エスパーいたぁ！
[2855.092] yasubewe: OD官報
[2855.169] gorogorogorn: LaVision知らず？
[2856.324] kawasak1n: うひょー
[2858.239] ましゅダヨ: 気づかない大谷がすごすぎるよ……
[2861.505] (S)ゆきなみ_: そういえばうめちゃん髪結構切ったね 
[2865.800] Ganondorf_nulvi: @chicken_dumpling Daigo also got 20k from that event
[2867.302] だいこん_: まじかー
[2868.502] one596: あらー
[2871.110] ましゅダヨ: そっか、自己破産はまだか
[2876.243] (S)軽く捻るか: あらー
[2878.029] johndoe6523rp: そういやevojトップ4かなんかに残ればサウジ招待されるってマジ？
[2879.792] AngeloteDX: the throwloops lmao
[2892.011] SUGAKIYA: 税理士に一任してると思ってたんでしょ？騙されてただけで
[2892.806] chicken_dumpling: all the big names like mena are going to dreamhack for the qualifiication
[2892.968] Hikaru_256: 借金コンボからのCAは強すぎ
[2896.783] ugigigi: 3億借金あるのにさらに金貸してもらえるもんなんだな
[2898.263] moricocoa: EVOJは関係ないよ アメリカとスウェーデンのDreamHack
[2905.590] one596: ドリハクのTOP8ではなく？
[2905.885] Botamoti1: もう大体チーム決まってて撮影とかしてたりすんのかね？流石に早いか
[2910.271] yasubewe: アイィ
[2913.034] ましゅダヨ: サウジ今年もウメちゃん招待してね
[2918.760] chicken_dumpling: you only need top 8 to qualify
[2919.931] Ganondorf_nulvi: Is Daigo going to Deamhack?
[2925.939] chocolat1234: やってない😢
[2927.327] moricocoa: バードとかはそっちの予選優先するから来ないっぽい
[2932.654] kitagawakun: 寿司買ってきたったｗｗｗｗお前らざまぁｗｗｗｗｗ
[2944.130] johndoe6523rp: ドリームハックだよね。じゃあ嘘コメだったわ
[2944.248] ugigigi: おいしく食べてね
[2948.503] yasubewe: 一貫おくれ！
[2950.431] (S)のぶとも: 寿司にい、俺許せねぇよ
[2954.212] SUGAKIYA: 納豆巻きか穴子巻きかって聞いてんの
[2956.659] 箸くれ: わさび抜いとくね
[2957.594] ましゅダヨ: ずwwるwwいwwぞww
[2958.715] マンゴスチン: アプデどうなるかなー
[2962.794] gondawaragon: たくさん食べるんだぞ
[2968.619] taroumaruh: ゴマ入ってるかどうかで評価変わるぞ
[2970.841] にゃんだろーりんぐ: サーモンちょーだい
[2976.885] tama_zx61: 🍣 
[2978.972] sigurenigame: 具抜きで
[2988.011] Armaeterna: どこのお店かって聞いてんの！
[2991.684] une3333: どしたのこのコメントの人
