[333.478] tyankonabe3: おい、ゆきおにガチギレされたらしいな
[333.535] (S)みりみりみりみり: padか？
[333.991] ~MISSING_COMMENTER_INFO~: エヴァン
[334.200] あーくすたー: 21
[334.302] danimusi: お？
[335.007] 2です: な、お
[335.207] 名前変えた: ええええ
[335.645] (S)激ローメタモン: きになるよ
[335.688] sora506032: へ、しこ
[335.743] suke_chan_chan: Reps?
[335.901] だらりーん: リドルもドリームチーム作ってくれ！！！
[336.401] iiikmiii: おしえてくれ！
[336.501] maspr55: MNKかPADかだけでも
[336.943] aa134aa: エヴァン？
[337.066] 爽来: なおひろ21、へしこ
[337.934] グラル87: うみちゃんだろ
[338.146] go___don: ボドカじゃないの？
[338.182] koiking_to: いつ発表します？
[338.972] sh1nRan: ボド？
[339.175] arlingtonnnnn: v,dk
[339.179] 52133648: ゆえ！？！！
[339.683] かぼちゃだよ: いつ公表になるのかしりたい
[340.786] coe_ms: umichan
[341.087] らすてぃぃ: へ、しこ
[341.174] anko__0: 司祭ですか
[341.190] blues_lovee: うみたかペロだろ！！！
[341.711] shishamodesuyo: こっちもゆきおゆかFで組もう
[342.499] はぜぼう: ゆきおがボドカバカにしてたぞ！
[342.726] mew3v: 渋谷ぺリアルハル
[342.764] Gazella10s: ni,ru
[343.234] あねったいた: お、、え
[343.789] mc_gif2: ハルやろ
[344.550] sawayaka_odisan: 正真正銘TSMのハルになったわけだ（渋谷
[344.566] かつどどん: お、ぼ
[344.706] tamaki95442: お、えwww
[344.786] たれぞう123: vodkav2Riddlesmile
[345.143] nats60: なおひろ
[346.680] kaipanman062808: うみちゃん？？
[347.076] ~MISSING_COMMENTER_INFO~: repsやろ
[347.588] らむぽっぷ: 21
[348.836] kab_e: オーナー自ら！？
[349.011] 名前変えた: えな子現象
[350.038] yosuke131259: miak
[350.254] tyanchi_i: 流石にこーす、け
[351.101] lion_oo6: へ、しこは何をされてる方なの
[352.936] glk8sz: パッドかキーマウか教えてくれ
[352.999] takupisu: みあけーでしょ
[353.237] グラル87: reps入れてくれ
[354.975] kan___a: ありけんか？！
[355.621] kanekon: シーズン21
[355.788] keeshiii84: vdk in?
[358.957] 8ssen_ht: ゆきおと言い合いになったんやろ？ｗ
[359.559] でいすいだよ: おがた?!
[360.007] suke_chan_chan: コメント欄に正解あるかだけ教えて
[360.690] kanditch: レップス一択
[362.561] hsjekebb: 布団ちゃんですか？
