[106.943] 0art653: million34771
[107.050] niconico01234: サンセット活躍したやろ
[107.102] wallabeemochi: absoldGG
[107.169] machodunk: ママにちゃんと言ったか？
[107.662] (S)misaki_pu: 強かったよ！
[108.374] knife2525: カメムシからやぁ
[108.607] mii000555: あぶおめでと；；
[108.862] kitten0531: sexyin1Sukida
[108.867] Y_marufoy: 1MAP目最強だっただろうが！！自信持て！
[109.379] goki0101: フェ二よかったぞ
[110.449] (S)じゅそ: 3マップで3種類のデュエ使ってんのやばいぞ
[110.775] ama2ka_angel: million3Yametene
[110.788] 椎名さん: yuyutaHakushu
[111.059] yama_wasab1: メインで暴れようや！
[112.074] リン0811: サンセット強かったよ
[112.077] terii303: １マップ目はアブやろ
[112.552] colok5643: 相手強すぎたよ
[112.680] gargantuansaltcure: サンセット神だった
[113.513] carameltealate: kanina2Smilingman
[113.826] ユルマド: こっからよ
[114.105] maigo91: アブおつかれ
[114.989] allmybadddd: reoから
[117.123] nyossuyametene: てか、今からコンペタフすぎないか？
[119.332] hirumire: 1ラウンド目神ってたやん！！
[120.284] 北川だよ: MVP取ってたやんあんた
[120.425] かまぼこ23: お母さんにいった？
[121.499] kinpooge: ネイス 
[123.337] ~MISSING_COMMENTER_INFO~: れおから
[123.379] senkoubiyori: お疲れ様ー！おめでとう！
[123.782] askotawa: 神だ
[124.644] hallelujah5757: 1試合目は覚醒してたぞ！！
[124.723] jinro_hope: フェニまで使えるの天才やなあんた
[124.904] gholdenist3: million3Yametene
[125.361] ama2ka_angel: million3Yametene
[126.222] ~MISSING_COMMENTER_INFO~: すっご
[126.591] bbbblueg: でもメインステージで暴れるんだろ？
[126.860] (S)まめタンク: まめタンク subscribed at Tier 1. 
[128.551] suika_orange: おつかれー
[129.177] kusarikake: 強いアブソルを待ってるぞ
[129.251] binding114514: Reoが応援で気張りすぎて糞漏らしたぞ
[129.451] ｱﾝﾇｺ: おつおめ！
[129.988] ninnnikuakasar: ネイス 
[130.842] toroi_merai: アブおめでとう バインドのHS率は触れない方がいい？
[130.913] usuneko417: 普通にな
[130.984] iryuhtn: おめ
[131.083] R14h_twitch: どりゃ
[131.551] yoikotakahashi: ウォーミングアップっしょ？
[132.930] user_774: おめでとう
[132.961] 堂本愛好会会長: sexyin1Neko
[133.298] momimi_9: unkochanYaa
[133.963] _よしき: タフ、だな
[134.780] ninnnikuakasar: million3Bad
[135.771] niconico01234: とりあえずお疲れ様！
[135.957] rpodjcoi: あぶにょるきたにょ
[136.211] adam27net: リレー配信きたあああああああああああああああああ
[136.824] terii303: 悔しかったんやな
[137.058] kusudama: アブ乙
[139.194] 捻り上げバナナ一本背負い: million3Bad
[139.789] spinet12345: いい経験値になったな
[139.830] bato451919: 大会終わりにランクはタフ
[140.005] ほへふ: あの構成はなんなんだ
[140.239] brack_pepper_: タフですね
[142.110] ama2ka_angel: million3Yametene
[142.770] astert_: 純よろこんでた
[143.263] 椎名さん: DinoDance
[145.049] pastaduce: アブソルスタンプ増やすべ
[146.031] ainya____: トン兄に抱っこしてもらおう
[146.194] ninnnikuakasar: BloodTrail
[146.361] kumara_reva: unkochanYaa
[146.905] kusudama: リレー配信ですか？
[149.275] まよなかの: アブソル強かったぞ
[149.766] titiy1807: タフだねー
[150.797] gholdenist3: million34771
[151.189] zuma090807: 構成について触れてくれ！
[151.734] seuuuui: 強くなってくれ
[152.889] ~MISSING_COMMENTER_INFO~: こけのチームメイトおるやん
[154.328] japanese_dog893: トン兄ゲッコーすき
[154.540] odaikon77p: じゅんがじじいになってたよ；；
[157.646] danibro0622: naisuuuuu
[158.101] zuma090807: あの構成なんなんだ？
[160.510] kasatama7389: Cheer100
[164.579] jerky939: アブちゃんよかったよー！
[165.532] 池田さいだー: フィジカルはもう限界なのか？？
[166.250] dai3150: ランク！？
[166.875] kawase73910: やあ
[169.981] zuma090807: 構成について一言
[171.445] kitten0531: 俺たちはただ、信じ続けるのみ
[171.963] gargantuansaltcure: DAESuppy
[172.582] hachcah: 純がアブのこと卵のように温めてるらしいぞ
[172.883] ama2ka_angel: なんかリークしてくれ
[173.387] adam27net: Delightいるじゃん
[173.821] oncen15: Cheer100 メインステージも頑張ってな
[174.564] chin_kawa: もうするのタフかよ
[174.645] katsudo____n: ムラゲのDHになれアブ
[177.439] gtyan89: 今日緊張した？
[178.016] gloomy6578: 元気か？？
[182.681] fqm9: 不死鳥編成結構強かったね
[188.271] dodgrn: prxとずぶずぶですか
[188.667] kqreh: オペがんばれ！
[190.009] ぶどう糖液糖: おめ
[190.345] nameless0112: アレだけの激戦してランクかよ タフだねえ
[191.325] smile_kana: unkochanYaa
[191.752] arikiti123: おめでとー
[192.031] borka125: 初コメだよ
[194.989] borka125: お疲れ様！
[197.840] Azuritesan3: おめでとう
[199.247] user_774: アブはいつも元気でいいぞ！
[199.736] japanese_dog893: アレックスと癒着してるのやめてね
[200.488] zuma090807: ドーモアレックスです
[203.995] chin_kawa: アブ、いやタフ
[204.098] yuki_majima: 向上心の鬼
[206.859] かわせさん: たけduoです、か
[207.926] chochochoko: お
[207.950] smile_kana: 広告ください広告ください広告ください
[210.539] rupx01: オペは苦手なのか？
[210.615] jinro_hope: つよ
[210.762] ~MISSING_COMMENTER_INFO~: はっや
[211.897] ベルクラネル: うっま
[211.924] hachcah: つっよ
[212.273] hakusaisuki: 誰よりも声でてたな
[213.201] goki0101: つよ
[213.715] maigo91: つんよ
[215.233] yuiiitooo: つっよ
[217.028] dast72: 今日は熱い試合をありがとう！
[217.247] kiseki255418: わっか
[217.754] rpodjcoi: つよ
[218.147] okamindayo: okamindayo subscribed at Tier 1. They've subscribed for 10 months! おめでとう、泣いてもいいよ
[218.296] chochochoko: つよ
[220.144] ~MISSING_COMMENTER_INFO~: やるー
[220.615] きよまろーん: つよ
[220.704] zuma090807: つよ
[221.211] PIXEL73816: つよ
[221.415] kusudama: メインステージプレイヤーの強さ出てる
[221.668] final_extreme: お疲れ様ああああああ
[223.282] goki0101: エンジンかかってんなｗ
[223.284] kqreh: spygeaHoko
[223.359] Y_marufoy: GGか
[224.830] mokotanlove1121: うお
[225.297] ~MISSING_COMMENTER_INFO~: りめいく
[226.573] lll1llla: 敵にメロフォいて草
[227.262] ~MISSING_COMMENTER_INFO~: ？
[228.289] よしっしゃー: つっよ
[229.727] miyaaap: unkochanYaa
[231.008] twinmenn: 棒立ちいた
[231.368] teri_desu_: gg
[231.478] Kos_4ki: 終わってすぐランクタフすぎるだろ
[231.775] singerfinger_3232: リメイクか
[232.069] jinro_hope: 早速gg
[232.982] shupei1414: ；；
[233.096] aosyo: プロ？
[233.538] hanasoora: びじゅいる？
[233.730] tanukitsune44: unkochanYaa
[234.005] si_maenaga: アブちゃんメインステージ進出おめでとう
[235.849] chochochoko: あ
[235.870] (S)じゃまいか: ちゃーかぼ subscribed with Prime. 
[235.963] だいごろう6876: あ
[236.296] pontakun1108: え！？
[236.709] bbbblueg: ちょっろ
[238.251] totomstoto0707: 草
[239.112] tanukitsune44: よくやったぞ！！！
[239.669] すいみんぶそく_: あ
[240.015] 鳥取り: b10！？
[240.603] usuneko417: びっさん
[241.425] 椎名さん: ｗ
[241.618] 堂本愛好会会長: BibleThump
[241.797] chin_kawa: ！？
[242.701] typewith: もうランクやってんのかよ
[243.077] maigo91: 草
[246.408] human238: AFKか
[246.624] まよなかの: 雑談しよ
[247.086] リン0811: バインド守りまじ怖かったよー；；
[247.528] bbbblueg: 強すぎて1ラウンドで終わったな
[248.296] pontakun1108: 味方ビジュ？
[248.521] mentionkimo: ボトソルさんこんばんは
[249.618] hamasakiy: おめでとー
[252.738] totomstoto0707: ビジュ泣いたか？
[259.322] さすらいの旅ガエル: アブソルきたあああああああああああああああああああ
[260.402] usuneko417: w
[261.464] bbbblueg: ｗｗｗｗｗｗｗｗ
[262.078] suika_orange: いいね
[262.660] 虫歯5本: よぉよくやったぞ
[264.588] まよなかの: NICEしゃべり！
[265.185] 鳥取り: なんそれ
[265.210] guran_ner: やあ
[265.693] colok5643: んなこたない
[265.716] final_extreme: オペはもう少し当てなさい
[266.154] zuma090807: いい喋りじゃねえか
[267.990] koukishukusei: 勝ちゃええ
[268.142] Kos_4ki: 序盤良かったぞ！
[268.672] Syu_goal: Duoの人ってこけのチームメイト？
[268.700] sui04822: 2日間辛かったと思うけどお疲れ様
[268.783] kitten0531: は？お前は頑張ってたぞ
[268.810] miraigata: 何もしなくても勝てるチーム最高やん
[270.390] odaikon77p: なんか勝ってる〜！
[270.423] darkosakana: オペレーターの練習すべ
[270.638] bakabonw: あ、２マップ目３マップ目ザコソルさんだ
[270.966] よしっしゃー: 声だすのも仕事や
[271.213] usuneko417: それでいい
[271.975] bakasa4: そんなことないよ
[273.079] tikuwa2911: 悔しいか？
[273.194] chochochoko: アブもちゃんと活躍したぞ
[273.296] timemachinejerry: お母さんなんて言ってた？
[275.242] onigiriokaka: 喋りも大事だろうが！
[275.263] momoco_t6: おめえも頑張んだよ！
[276.098] すもう: 利き目どっちですか？
[276.274] ~MISSING_COMMENTER_INFO~: あぶちゃん、アセントよかったよ
[276.313] bbbblueg: ほんとに良かったぁって顔して棚
[276.782] utatane107: いや1マップ目大活躍してたやんけ
[277.614] user_774: チーム戦だからええんや
[278.251] selecao123: 優勝おめでとうございます
[278.610] si_maenaga: 喋るのも大事なんだぞ
[279.742] amedama123: おめ、
[280.032] ainya____: それがいい
[280.138] goki0101: アイソは使わないのか？
[280.588] Npower1001: アブソル顔少し大人っぽくなったな
[280.640] kinpooge: レイズ苦手なの？
[280.747] nayutan7777: 構成からワクワクした楽しかったよありがとう
[280.753] komeko214: サンセット良かったぞ
[282.311] kasatama7389: サンセット強かっただろ
[282.512] typewith: サンセット良かったやん
[282.888] dirty1117: サンセット強かった
[284.272] コイコイ1: あとはお前が覚醒すればオフライン目指せるぞ
[285.252] わいせい: メインステージいけたからええやんええやん
[285.306] toilet1754: xqqが声出し誉めてたよ
[285.506] panricolub: お前のサンセットマジで神やったぞ！ナイス！
[285.850] 虫歯5本: お前調子良かったけどお前ならもっといける
[286.053] まよなかの: お母さんには報告した、
[286.056] yuiiitooo: 1map目バカ強かっただろ！
[286.748] jinro_hope: デュオはこけのチームメイトかつ公開トライアウトにいたたけぱんです
[287.387] si_maenaga: チーム戦なんだから
[287.490] ~MISSING_COMMENTER_INFO~: 一生フェニックス使うべ
[287.523] yokocha07: 0.42
