[383.094] kt_0910: なおーんさんリュウやっとんのか
[384.192] (S)チャミさん: 花粉が昨日らへんからエグいっす
[384.726] (S)マラリンティウス: こんばんゆ
[385.593] (S)gocupid: おっす、大将頑張って
[386.262] (S)ynoyeu: この時期布団選び困らない？
[387.984] (S)もじゃ変人: 明日本番だしな
[392.289] (S)kanpintan3: naru04Ohayu
[393.205] (S)ももしゃん88: こんばんは 
[394.975] mame16901: 気温差も激しいから体調崩しやすいですよね
[395.980] うーたんんんっ: 無職なのに？なんでだろ
[396.208] (S)459dmaito: お疲れ様大将
[397.360] (S)kajiwarasan: 無職でも忙しいって最高じゃん
[397.591] (S)amakara2525: 忙しい無職
[401.940] bobby_yano: 匂わせか？
[406.335] (S)ももしゃん88: あんまり無理しないでね
[406.612] (S)mameneko1124: おーす 最近ジェイミー触ったけどおもろいなこのキャラ
[407.350] マジでお前誰: 有難いね
[416.613] nano0616: 案の件？
[420.292] (S)ジャスパ単騎待ち: 俺も昨日の配信見て朝からパチ屋並んだから体調悪い
[420.495] ぶちゃりすと: 最近レバーもらって練習してるんですけど入力のコツありますか？
[422.404] (S)みなぷ080821_: KSKさんに慣れないおごりとかするから…
[427.175] (S)olka_kakuge: 葛根湯とか漢方は効いたりするぞ
[432.863] TheYamaZaki12: 無理すると崩れるぞ
[433.042] puyo2007: タイミング悪いな
[436.848] (S)オルコッ党員: スケジュール管理も大変やね
[440.044] (S)kajiwarasan: マネージャーを雇おう
[442.774] (S)毒見ユッケ: karubisMouuuu
[446.859] TROI_Just: 今日もスクリムあるの？
[452.317] (S)TNTNBRN: TNTNBRN subscribed with Prime. They've subscribed for 8 months! 無職なのに働き者だな
[452.830] いつほし: 体は一度壊すと復帰時間かかるから気をつけてな
[453.702] higashi040911: 俺も仕事忙しいときは「ありがてえ！」って思うようにしてる
[467.018] NoE_vivre: 今日は女子校とか
[467.654] hoemin247: 子育てもあるし大変そうだ
[469.995] (S)なざにい: やっほ～
[473.525] (S)gocupid: KSKさんにマネジメントしてもらお
[477.966] なっつ: おちんちん？
[484.026] (S)みなぷ080821_: バックショットルーレットもバニーガーデンも結局やれてないしね、いそがしい
