[1011.189] (S)papipopon: 有名なやつ
[1012.421] obo_006: 作者？
[1014.177] momochan6: 藤子だね
[1025.587] ナイアガラ55: ミノタウロスの皿は藤子F不二雄の短編
[1036.440] ememeume: 懐かし
[1036.701] (S)triton11519: 結構なSF集
[1073.964] heater55: それウメちゃんに聞くことなん？
[1095.661] (S)平本: 教えてクラハシ
[1100.919] kumatedd: その禍々しい字が見てみたいな
[1109.096] suginaka56: アニメにもなってるやつだよね
[1109.205] (S)triton11519: アニメにもなったよな これ
[1115.673] ナイアガラ55: リアルオバQ知らず？
[1139.258] (S)yamasa141414: SFといえばストリートファイター
[1140.367] cafe_gondo: 今ならsnsでバズったりしそうな気も
[1148.644] (S)triton11519: 藤子Fさんは結構シリアスな話も書いてるからな
[1151.386] 記入漏れ: そういう方向は、もう映画が掘り尽くした
[1160.681] kumatedd: 編集さんみたいだぁ・・・
[1164.233] (S)triton11519: 大衆が求めるものを
[1168.242] triskeal: 直球でベテラン編集みたいな事を最初に言っちゃう
[1180.331] ナイアガラ55: 勝ちたいだけの14歳みたいな話
[1187.161] (S)higashimurayama: 普通にいい話
[1216.014] (S)triton11519: 自分の書きたいものを書くだけなら同人誌でもいいしね
[1217.258] vesitermbtl: いきなりいい話ｗ
[1221.699] sdy_hs: なるほどぉ・・・
[1224.822] ememeume: 深い話
[1233.863] (S)triton11519: まあね
[1257.227] miruujyu: サマソゥゥゥ
[1298.501] (S)triton11519: ウメちゃんの深イイ話
[1298.665] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[1320.326] ~MISSING_COMMENTER_INFO~: 「それがやりたい」は苦労する。「それしか出来ない」は覚悟が決まるよきっと
[1343.938] (S)higashimurayama: えいたは何故プロゲーマーになれないのか を思い出すいい話
[1354.357] (S)triton11519: 「勝ちたい」と「魅せたい」のギリギリのラインで戦ってるよね
[1374.020] triskeal: おっしゃるとおり
[1378.932] beverlyhillsninja: podcast?
[1382.470] ememeume: 沁みる
[1386.052] rotonz: 難しいからチャレンジしようって良いですね
[1386.278] kumatedd: 講演会の質疑応答くらい良い話だった
[1387.528] suginaka56: クラハシもこんなノリになりそうだな
[1387.920] kakino: ショーマンシップ精神
[1406.556] orange016: いい話だっちゃ
[1413.815] surans: スラムダンクもあたるまでバスケ漫画は受けないって定説だったと思うが
[1418.797] (S)triton11519: 実際大多数の人に支持されている作品って面白いんだよなぁ
[1437.747] natuoman: 大衆受けを狙うってのは正直難しいよなあ
[1438.621] rotonz: 売れるために仕方ないから、じゃなくて難しいからって良いなぁ
[1452.635] alexj0085: alexj0085 subscribed at Tier 1. They've subscribed for 26 months! 
[1452.805] (M)Moobot: @ALEXJ0085さん、26ヶ月目のサブスク登録更新！ありがとうございます！
[1453.710] alexj0085: alexj0085's Sub shared rewards to 5 others in Chat! 
[1457.359] dsadsa454654: 大衆受け狙いすぎてもレッドオーシャンだしな 塩梅むずいね
[1463.978] obo_006: 田中さん・・
[1491.769] (S)triton11519: あからさますぎると引かれるしな
[1499.687] rotonz: かえ
[1510.215] beastbeast: 田中さんはいいい人だから・・・
[1511.954] natuoman: まあコピーも上手いなら、それも個性な気はするけど
[1513.704] rotonz: 若いうちは多い気がする、自分と時代が合う
[1516.097] tabibitox: オレソウダナ！
[1517.661] (S)higashimurayama: 最速手のひらｗ
[1524.806] vesitermbtl: 笑う
[1534.027] ememeume: umeGrin
[1536.130] esrever42: まちゃ…
[1544.610] miruujyu: ギルティーでは幸せになれない
[1560.271] gengoro1198: 小説家になろうとか、あからさまにパクリって分かるのに人気ある作品があるのが不思議。
[1567.870] vincent4678: 自分が良いと思うもの出してほしいと思うけどそれだと売れないんだろうな
[1578.241] 記入漏れ: 模倣とパクリは案外別物
[1582.093] orange016: ハッピーエンドの条件は、、？
[1582.584] サラバア: 異世界ものには手を出すな！
[1586.544] rotonz: それっやったら仲間からもそっぽ向かれる売れ方とか
[1604.282] ぐのたお: 結局相手の気持ちなんて分からんけどね
[1623.010] kakino: 個性が侵食されるのかな
[1631.619] ilm0806: ウメユンですか？
[1633.709] kumatedd: 難しいねぇ
[1654.590] maruchanDT: maruchanDT subscribed with Twitch Prime. 
[1654.689] (M)Moobot: @MARUCHANDT with the Prime sub!
[1655.735] maruchanDT: maruchanDT's Sub shared rewards to 5 others in Chat! 
[1687.694] ebityper: マシリトこと 鳥嶋和彦曰く「作家には「描きたいもの」と「描けるもの」があるんだよ。そして、作家が「描きたいもの」は大体コピーなの。既製品の何かで、その人がそれまでの人生で憧れてきたものでしかない。」
[1692.952] 日本語かな: 新妻エイジ
[1732.828] ilm0806: 商業作品は、そうだからねえ
[1735.992] (S)hisotensokuzei: サムライ８の話は…
[1758.326] ilm0806: メジャー作品は、売れる傾向の内容で、作品を作るそうだからね
[1800.817] dsadsa454654: 掲載誌次第な感じもある
[1810.133] aquarium_tw: 一部ビジネスですからねえ
[1820.502] ilm0806: ドラえもんの前の作品だよね、ミノタウルスって
[1835.142] miruujyu: 同人誌ののりじゃん
[1835.992] orange016: うめこぷたぁー
[1837.435] (S)ヘボヤマ: 俺はバクマンの主人公らのそういうのは好かぬ
[1840.751] natuoman: 聖闘士星矢も作者が書きたかったものが一瞬で打ち切りになって、次は売れるものを書いてやるって思って読者受けを狙って書いたらしいけど
[1845.334] ぐのたお: 大衆受けは人間受けよね
[1859.624] novol0001: サムライ8の話？
[1868.421] 9211212a0105: こだわりと需要の一致点を見つけだすことが大事だよなぁ
[1869.654] えたーなるぶるー: 要するにバクマンはフィフィフィクション
[1888.129] aquarium_tw: でも売れないと食っていけないから、食える作品と、趣味でやる作品があるといいと思う
[1905.440] kuuso1: 読者と向き合うかマンガと向き合うかみたいな話かな
[1909.533] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1913.944] prefabcat: prefab_house
[1925.231] (S)yamasa141414: そうですね
[1926.536] ぐのたお: 別なアプローチするなら、漫画以外で稼げばええんや
[1937.465] rotonz: 家庭料理を開発するって激むずだから
[1938.271] (S)不渡哲也: 最近の作家さんは描きたいものも息抜きで描いてツイッターに載せてるイメージあります
[1940.439] natuoman: 売ろうと思って実際売れるっていうのはめちゃくちゃ難しい
[2008.261] ememeume: umeGuile
[2029.705] natuoman: オゴウさんもダルシム戦とかは対戦じゃないって言ってるしなあ
[2049.957] (S)blackcoffee0821: umeGuile
[2063.091] 日本語かな: ムテキガイル
[2083.139] vslash00: そう考えるとスト5のガイルも絶妙なんかね
[2108.805] kumatedd: 結論はリュウを見つけろ
[2121.060] balthazar000: ときどはバルログに行った
[2130.672] natuoman: リュウを見つけろ
[2139.879] (S)yamasa141414: リュウ見つかんねえなあ
[2150.995] miruujyu: 自分のマンガおくるべき
[2154.515] ぐのたお: リュウを見つけよ・・・
[2158.189] vesitermbtl: たかしはそこら中に居る
[2168.447] natuoman: スト5のリュウはどこに
[2188.623] 記入漏れ: ランクマにメチャクチャ居ます
[2237.126] dsadsa454654: へええ
[2250.128] kumatedd: あ
[2253.442] sdy_hs: レジェンドといわれるとそら感じそう
[2253.800] ebityper: 酒は友達
[2262.260] kumatedd: くるしいのう
[2281.390] hosp1990: はよ嫁見つけなさい
[2287.880] dsadsa454654: 結構やばい話してるな
[2289.172] 9211212a0105: そうだね
[2378.704] vesitermbtl: ヘラ
[2426.201] amikozi: 人間は1人だと負の連鎖に向かう生き物らしいからな
[2534.742] hato_pizza: 孤独＝考える＝手が止まる＝内面に向かう＝さらなる孤独っていう不健康側に傾くシステムなんだよな
[2534.902] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[2563.451] kanabunpow: 分かる
[2574.177] kuuso1: 分かる
[2627.572] hydroidk: まちがいない
[2633.746] えたーなるぶるー: 不快
[2638.021] えたーなるぶるー: 深いｗ
[2659.056] おじキッズ兄: クラハシｗ
[2663.587] kakino: 範馬勇次郎の
[2665.855] amikozi: ww
[2697.119] Gpm5121: 最近多いけどね 無敵の人
[2700.535] sh1zuku716: クラハシ？ｗ
[2744.367] hydroidk: なお孤独になった上で負ける模様
[2746.925] sdy_hs: 赤魔導士はやだねえ
