[7.900] (S)shi_a__: おかえりー
[7384.340] kamitakosuke: 今日一元気になってるｗ
[7429.549] manydai: ないすう
[7436.973] toto3210119: うんがいい
[7478.185] (M)墾田永年私財砲: ｗｗｗ
[7482.688] (S)happyhk: wwww
[7490.771] sabre1682: 盛り上がってきた
[7510.563] タフタフ: ごちゃごちゃw
[7637.524] toto3210119: パクかき
[7642.121] leaf1341: キルパクカキカキ
[7673.165] うろぼ: このメンツのどぐらさん新鮮やね
[7693.042] DAI260810: キルパクカキカキやめてね 
[7763.835] kamitakosuke: Gだからモクなか全く怖くないからね
[7847.117] sabre1682: www
[7851.216] うろぼ: ごめんｗ
[8055.008] うろぼ: つよ
[8078.608] leaf1341: みんな目覚めてない？
[8088.857] toto3210119: 声が出てる
[8099.978] うろぼ: 覚醒してきてる
[8106.754] leaf1341: 部活並みに声出てる
[8219.326] toto3210119: かぁみ！
[8219.621] sabre1682: おおおおお
[8222.852] kamitakosuke: これは神ｗ
[8224.800] leaf1341: 神
[8234.550] leaf1341: ゴッドクラッチでたぁ！
[8244.192] gengenmaicha: こーれは200IQ
[8244.380] sabre1682: コレはMRSH JUN
[8247.533] タフタフ: じゅんにカキカキはできない
[8338.027] leaf1341: このメンツやかましすぎるだろｗ
[8421.330] toto3210119: イケメンかきかき
[8439.376] sabre1682: 静かなるカキカキ
[8476.722] Nikumannju_p: ドリハク寝坊したからこく元気だな
[8630.783] leaf1341: 誰もKDわってないな
[8730.891] toto3210119: すんごい
[8751.341] rukenjoy: お
[8761.151] leaf1341: ｗｗｗｗｗｗｗｗ
[8761.375] sabre1682: しゃーない
[8848.747] sabre1682: あ
[8874.428] もつこりもつこ: どぐにゃんがレアな人たちと絡んでる！
[8889.759] leaf1341: おつ
[8897.674] toto3210119: GG
[8903.826] まるる8800: おつしたー
[8905.344] sabre1682: おつ
[8906.140] めてい: お疲れ様でした
[8906.436] rice1542: お疲れ様でしたー
[8906.718] どこどこ60: おつすす！
[8910.993] (M)墾田永年私財砲: 【クソキャラ列伝】サムスピ天草降臨 羅刹タムタムを解説！  https://t.co/eg6sJJL1HN  6/15 (土)20:00～プレミア公開
[8912.534] pekepeke912: おつー
[8912.713] void__69__: お疲れ様でした
[8914.455] (S)nagi1ahavaki1: おつかれさま
[8918.109] (M)墾田永年私財砲: cagdogOtu
[8918.316] もつこりもつこ: おつにゃん
[8919.760] うろぼ: お疲れ様です。
[8920.329] タフタフ: カルビじゃないのか
[8921.080] toto3210119: お疲れ様です～
