[63.902] (S)ぱらぱら__: ぱらぱら__ subscribed at Tier 1. They've subscribed for 14 months, currently on a 13 month streak! 
[64.286] (S)悪魔の手羽先: わこさかー
[64.394] 0hime0_: こえがｗｗｗ
[64.506] sky_love1031: こんばんは！
[64.518] まみどら: こんばんはー！
[64.552] kiki_46497: 萌え萌えきゅん❤️
[64.599] (S)シナナナ: わこさか
[64.602] (S)まめこﾁｬﾝ: お疲れ様ですー！
[64.716] re_0922saki: こんばんはー！
[64.735] mro53: 寝起き？
[64.787] のんき_さん: わこさか
[64.940] (S)sazanami28: 声がw
[64.998] manae1115: ありさかさああああんお疲れ様でしたCRフェス！！！
[65.006] nakka_11: こんばんは！
[65.040] adv333a: 起きたばっか？？？
[65.118] (S)はなめ: わこさか〜
[65.192] kabocha07: こえが！！
[65.209] paseri68: こんばんわ〜！
[65.323] misaki2008yo: 寝起き？
[65.346] (S)hiiiiro_o: わこさかー！
[65.447] (S)kuro_nekotan: 大丈夫？ww
[65.519] いたた: CRフェスお疲れ様でしたー
[65.684] (S)niko25_25ru: わこさかーお疲れ様でした！
[65.881] kumao__o: ねむい？
[65.884] (S)ゆゆすけです: かぜか？！
[65.934] ketty_0108: おつかれさまでしたー！
[66.660] (S)maumau___0: なにしたwww
[66.669] saya_081: こんばんはー！
[66.756] m1chann: 声が
[66.803] ユン夛: 声wwwwwww
[66.895] ユマユマ: わこさか
[67.309] (S)ゆてぃ_: 声どうした？？
[67.381] kyna_bear: わこさかー
[67.438] bit00927: こんばんはー！
[67.509] (S)陽7: だれ？？
[67.513] nyatsume96: わこさか！
[67.526] jin_888_yu: 風邪?
[67.527] dadandan_v: 萌きゅんよかったです/////
[67.535] yejii_i: お疲れ様でしたあ
[67.567] yc0314: CRおつかれさまでしたー！
[67.568] kawach_824: 風邪？
[67.691] 00iceh: 昨日はフェスお疲れ様でした！わこさかです！
[67.724] (S)ぼっち2825: フェスお疲れ様でした〜
[67.755] (S)柚_羽: フェスお疲れ様でした〜
[67.780] chisa_3r: フェス2日間おつかれさまでしたー！
[67.848] kntmiiii: わこさかー！
[67.902] nikonikosannn: どした
[68.390] Ata30__: wwwwwww
[68.434] enchuchu3: どしたー
[68.542] kaaaaa1024: どした？
[68.602] いももちキラー: 声wwww
[68.621] tete_teteco: こんばんは
[68.659] てりやき_2000: 寝起き？？？
[68.781] (S)こまつなち子: 声まじどした
[68.945] (S)yuharu_t: わこさかー！
[69.153] summer02456: どうした！？
[69.346] monaca_mppn: 風邪？
[69.538] o__m__i: かぜ？
[69.669] タラコぱすた: わこさか！
[69.865] (S)takea8: 声すごいねww
[69.911] (S)naruto_1968: CRフェス
[70.038] oretatiino: わこさか
[70.110] (S)momoeternal07: 声おかしくない????w
[70.124] uyuuyuhai: ねおき？
[70.200] ぽぽすけ: お疲れ様です！とっても楽しかったです！！！☺️✨
[70.261] ルアン2268: www
[70.262] (S)nugget3150: wwwwww
[70.313] naruxxnaru: わこさか！！
[70.314] (S)nemmm_m: こんばんはー！フェスたのしかったです！
[70.568] kingyo329: こんばんはー
[70.766] nikonikosannn: WWWWW
[70.775] alinkonoyousei: どうしたんですか！？？
[70.972] yunmuku: 声ガラガラダァ
[71.173] ayano0513kk: こんばんはー！！！
[71.185] NiNi_1144: 声大丈夫ですか？
[71.207] chibimaru_potato: こんばんはー
[71.245] ny_____: 風邪ですか？？？？
[71.313] ｳｫﾙ: 楽しすぎたか
[71.374] めぐりと: 声がwww
[71.397] ksg829: わこさかー！
[71.793] (S)麦みそ: 麦みそ subscribed at Tier 1. They've subscribed for 11 months! こんばんは～
[71.839] (S)yanagino3: こえひくっ
[71.973] _ひゅーす: おはよ～
[72.176] おはぎだいすき: 酒やけ？
[72.183] yuudaaan: どうされた？
[72.185] xy0618x: わこさかです！
[72.190] (S)ゆあり: こんばんは！
[72.196] mugitya0149: わこさか〜
[72.216] あおちゃんぬ: わこさかー
[72.407] ryukunmktwo: わこさかー
[72.646] aruku_0120: 風邪ひいた？
[72.841] usamochi__: 喉大丈夫ですか？
[73.169] (S)秋菜: フェスで大声だしすぎた？？
[73.281] みっつ012: Cheer5000
[73.289] one_boll: どしたの？
[73.305] (S)tokievi: 声www
[73.495] (S)umico_11: お声がww
[73.519] sakusaaan: なんだどうした
[73.920] adv333a: やば
[74.017] (S)io_ne55428: io_ne55428 is gifting 5 Tier 1 Subs to ありさか's community! They've gifted a total of 25 in the channel! 
[74.070] hayabusa0619: 飲み過ぎか？
[74.158] ぷてゃん: 声が！
[74.164] (S)かるぼなーら: 風邪？
[74.167] morizonn: 声が
[74.330] てりやき_2000: 風邪ひいちゃった？
[74.358] みこくま: わこさかー
[74.360] ikayakidayo: わさかー！
[74.494] にゃるろーる: wwww
[74.541] (S)io_ne55428: io_ne55428 gifted a Tier 1 sub to regular_size! 
[74.565] (S)io_ne55428: io_ne55428 gifted a Tier 1 sub to youazz4242! 
[74.579] (S)io_ne55428: io_ne55428 gifted a Tier 1 sub to rarari0035! 
[74.589] (S)io_ne55428: io_ne55428 gifted a Tier 1 sub to Reimaaa_0826! 
[74.650] (S)io_ne55428: io_ne55428 gifted a Tier 1 sub to もちぱん5! 
[74.722] (S)miykiy: やられたかw
[74.725] potato_deri: 声w
[74.794] hachi_j8: 酒やけ？？笑
[74.908] pote_r: 乾燥？
[74.934] (S)oji1chan: おだいじに…
[75.001] ~MISSING_COMMENTER_INFO~: 風邪？
[75.111] さあ茶: わこさかー
[75.208] (S)maumau___0: なんでなのw
[75.400] (S)みをみを: おつかれですか？
[75.407] ユン夛: おじじの時に叫びすぎた？www
[75.426] (S)dudu7246: たくさん笑ったから？？
[75.627] (S)ゆうひ__: かぜ？
[75.757] (S)07FZK: 声どした？
[75.835] (S)kuyu__oo: こんばんは〜
[75.950] えなえなまる: wwwww
[75.962] __ゆうま: わこさかー
[76.173] enchuchu3: 声どしたん？？？？？
[76.369] うた_: 風邪やった？
[76.375] (S)いけちゃん_: わこさかー！
[76.384] nxglv_: どした
[76.470] (S)おかを: おかを subscribed at Tier 1. They've subscribed for 18 months! 
[76.569] _らい: 気合い入れすぎたか
[76.604] weeny_potato0: わこさかー
[76.834] 比奈瀬: わこさか〜！2日間お疲れ様でした！
[77.043] つゆぴ: 声がww
[77.046] sekizui_0202: あれ？ありぴマイク変えた？
[77.048] naru_naruto: www
[77.051] yuuuuuuur1: 声ガラガラやね
[77.064] (S)yh_hiro: あら
[77.068] ゆにゃ__: 風邪ひいた？
[77.086] yoshino_kt: どしたx
[77.246] nikonikosannn: 大丈夫かWWWWW
[77.254] (S)Juno_06: マイク変えたかと思った
[77.271] namuchacha: いいよ
[77.375] (S)uc_uni: 眠れなかったから配信ありがとうすぎる
[77.445] (S)tubaki_05: Cheer100
[77.449] (S)ryoya123: 声受けるw
[77.577] (S)pui_hoshi: わこさかさん！フェスおつかれさまです
[77.743] 夜半ﾖﾊﾝ: 終わってるねえwww
[78.201] 雨音06: やばいですねww
[78.425] (S)e_ten1120: わこさか〜声がw
[78.540] nyatsume96: 2日間お疲れ様でした！
[78.557] nao_as: 声w
[78.701] paru1628: 風邪っすか！？
[78.778] (S)ぼっち2825: え、声？
[78.793] (S)yunicoo25: わこさかー！
[79.094] いももちキラー: 笑いとまらん
[79.164] kumao__o: 大丈夫ですか
[79.297] rethiru: 大丈夫？
[79.377] kagiesss: ちゃんと終わってふwwww
[79.388] yumiringooo: え、大丈夫ですか？
[79.515] 獅子まる: 大丈夫です？
[79.886] (S)荒木なぎさ: こんばんは！
[80.070] (S)nnk_pop: なんでww
[80.123] (S)chocomin2: 風邪？
[80.128] hogonekoneko: 笑
[80.154] なーちやん: どしたのー？🥲
[80.233] (S)piisuzu: こんばんはー
[80.365] (S)hiiiiro_o: 大丈夫？
[80.462] (S)aureliaaa1: わこさかー！
[80.809] さば038: わこさか！
[80.895] mizuganai: 一日目参加でしたが楽しかったですよー！
[81.014] (S)96wuroncha: わこさかー
[81.029] aryr38: わこさかー
[81.228] らすく12: わこさかー
[81.378] adv333a: 風邪か
[81.504] みかみ__: お大事に…
[81.590] kaoriiikao: わこさか〜
[81.634] のるにる_08: 喉やられとる
[81.722] リィザ: お疲れが出ました…？
[81.829] manae1115: フェスで叫んでたもんねw
[81.905] (S)nanana_daa: わこさか〜
[82.068] あんこ9: いつも以上に低いね
[82.354] (S)ムータン: わこさか～
[82.571] rnoqona: 花粉？
[82.596] (S)mai_20151201: fesの時もいつもより低かったよね？
