[171.712] せなめろさん: こんばんは～
[173.406] (S)ゆてぃ_: ステゴロww
[176.159] sapasa: ステゴロ草
[191.648] (S)まぐろっ: きちゃ〜
[193.815] (S)anya_8888: ステゴロねw
[195.853] (S)kuro_nekotan: きたー！
[205.821] seven_wb: わこーさかー
[206.537] que_perry: ステゴロまでぃか
[210.432] (S)まぐろっ: あ、はいw
[220.794] ジダ: わこさかー！
[227.682] (S)まぐろっ: 昼寝……？
[229.109] トリテイ: ホントに1年たってんだなぁ…
[230.202] chiyoharu24: わこさかー
[231.897] (S)kuro_nekotan: 昼寝？
[232.486] matiashigorou: わこさかです。こんばんは！配信ありがとねー
[232.694] (S)fu4im1: ほな来週も待ってるでぃ^ ^
[233.450] tayuta6345: わこさか〜
[233.898] (S)key__owo: わこさか～
[235.130] hato__sabure: 昼寝…？
[239.774] (S)yuharu_t: こんばんはー
[243.710] アナベル_バトー: 昼？寝？
[253.089] ankodx: わこさかー！
[255.783] (S)maru_a_s_: 全員わからん
[256.576] (S)noaonnn: わこさかですー
[259.113] (S)ヴェネ: わこさか〜
[259.370] れもんたろう: わこさか！
[261.451] (S)まぐろっ: 背中が曲がってる人
[263.129] むーちん: わこさか！
[263.269] looksee12098: エスケープ押したらわかるよ
[263.902] はるっぴ_: わこさか〜
[264.395] ちゃとまる: !member
[264.497] Nightbot: うるか、トワさん、リリさん
[264.603] (S)oji1chan: wwwwww
[267.323] (S)fu4im1: お兄さんサボってんとw
[268.089] (S)ayu_tmm: www
[270.131] kyo_sk_imkh: わこさかー
[271.368] (S)sazanami28: wwww
[271.990] sapasa: ｗｗｗ
[272.643] (S)山宇宙: wwww
[272.918] (S)aureliaaa1: www
[273.116] (S)ニックネム: wwww
[275.684] (S)りあ㌨: www
[276.199] (S)kazunoko016: wwwww
[276.691] (S)まぐろっ: トワ様いつでも最初にやられるやんwwwww
[277.868] (S)misa0915: www
[279.896] おおいずみ: オプションでパーク見れるよ
[280.418] (S)kurosuke26: 観察してたね
[281.259] アゲサカ: のんきにみてる笑
[281.434] (S)maru_a_s_: いつもの
[281.451] (S)kuro_nekotan: あぁwww
[284.692] (S)megezoo: お別れが早い
[288.031] (S)oji1chan: ここでも最初に狙われるのwww
[289.946] (S)ふき__: とわさまwww
[290.015] ちょこぱぁぁん: トワさまーw
[291.053] (S)_みき: いつもトワさん初狩りされるんよね笑
[300.529] はらみちゃん: パークみれますよー！
[303.703] que_perry: そんなとこに
[306.013] おおいずみ: 見れるよー！
[309.943] ocha_umashi: トワ様www
[318.578] matiashigorou: 久しいメンバーやね！
[318.721] riaaaa_2525: 見れますよ！！
[320.684] (S)まぐろっ: はやい
[323.680] kirinnnnn333: リーダーですね
[325.665] ちびさん: リーダーついてる
[325.767] 월희ちゃん: わこさかー❣️❣️❣️
[328.511] ぽたけ: オプションひらいたら見れる！
[352.629] がめちゃです: デドバイ！！嬉しいです！！！
[354.049] (S)刺し子ちゃん: こんばんはー！
[354.419] (S)まぐろっ: これ厄介だねえ
[358.305] (S)maga_1897: わこさかです
[359.994] (S)しとろす: シンプル暴言ｗｗ
[360.606] 월희ちゃん: おひさしメンバーじゃん！⸜(ˊᵕˋ)⸝
[366.978] (S)miki_119: わこさかー
[374.383] (S)月原遡: わこさか！
[381.317] (S)まぐろっ: なにこいつ
[385.740] riaaaa_2525: ブライト嫌ですねー
[386.783] アナベル_バトー: はっや
[388.225] (S)ニックネム: 足はや
[389.429] (S)maru_a_s_: はやすぎ
[391.316] puu_na: わこさか～
[393.099] 宙色: こんばんは
[399.960] kirinnnnn333: ブライト突進してきますよ
[400.083] (S)kuro_nekotan: うまーい！
[400.212] nisanatsume_1215: TwitchUnity
[401.249] buchinek07: すごw
[402.232] (S)_みき: ないすにげ
[402.372] (S)oji1chan: www
[403.593] (S)megezoo: ww
[403.677] (S)まぐろっ: こまるww
[404.537] nisanatsume_1215: HSWP
[404.600] ichimi_togarash1: うまwww
[404.975] (S)ふき__: うまー
[405.501] onatsun: こんばんは〜
[406.011] que_perry: さす
[407.293] (S)ニックネム: www
[409.074] sapasa: ｗｗｗ
[409.831] ojou_43: www
[410.638] トリテイ: ｗｗｗ
[411.242] (S)sazanami28: wwww
[411.657] (S)ちゃらこ: wwww
[411.861] (S)misa0915: wwww
[412.547] (S)kuro_nekotan: wwww
[412.934] (S)kazunoko016: wwwwww
[413.303] (S)みにとーま: www
[413.473] minaaaami: さすがすぎ
[413.558] (S)oji1chan: ごめぇ〜んwww
[414.314] ocha_umashi: うま
[414.883] (S)ふき__: www
[415.174] (S)maru_a_s_: wwwww
[415.728] carupico2: わこさかー
[417.123] (S)りあ㌨: wwww
[417.550] (S)うなやま: wwww
[418.833] よしくん0604: ありさかさんやるなー(*´・∀・｀*)
[419.522] que_perry: はぐいた
[419.670] おはぎだいすき: ダンス聞いてて草
[438.573] amber_o99: ありちゃうま
[444.026] (S)fucha1226: 懐かしメンツだ
[448.454] __紬: わこさか～
[449.514] おはぎだいすき: 勢いよくパルクールすると足跡3秒間消えるやつついてる
[450.412] (S)kuro_nekotan: なんでだよww
[450.456] tabunaskaaaa: きったあああああああああわこさかおああああ
[451.112] yat0maru37: !menber
[454.895] (S)みづきい: わこさか〜
[458.385] よしくん0604: ダンウィズあったか( ´・∀・｀)
[459.609] (S)ひばり1226: wakosaka~
[462.198] tmwing34: わこさか〜
[462.417] nakka35: わこさかー！
[468.490] (S)sido_aka: わこさかーー
[469.988] (S)Mikage0610: わこさか〜dbd嬉しい！
[471.286] (S)まぐろっ: ガチ悲鳴wwwww
[471.566] (S)ゆてぃ_: wwww
[472.221] (S)maru_a_s_: wwwwww
[472.449] chinaaatu: わこさかー！
[472.708] よしくん0604: wwwwww
[474.754] (S)megezoo: いい悲鳴だww
[475.601] airuka_16: wwwwwwww
[475.946] (S)ren4299: wwwwwwww
[476.525] (S)kazunoko016: wwwwww
[476.736] 深夜0222: 悲鳴www
[476.791] sikimomiz1: www
[476.966] (S)honey__mochi: www
[477.541] (S)りあ㌨: wwwww
[478.568] (S)sazanami28: 悲鳴がww
[479.733] riaaaa_2525: がんばれ！！w
[479.759] おおいずみ: 声ｗｗ
[480.647] (S)しとろす: 事件性がｗｗｗｗ
[480.935] tmwing34: ww
[481.980] トリテイ: 迫真の悲鳴がｗｗ
[481.999] kao_ria825: 悲鳴がwww
[483.229] (S)まぐろっ: フルダイブがすぎるwwwww
[484.020] warainusan: よき悲鳴だw
[485.488] mouhuu: 事件性すっごい
[486.752] (S)山宇宙: wwww
[486.874] que_perry: いい悲鳴だ(*￣∇￣*)
[487.932] (S)fu4im1: 事件がww
[490.860] アゲサカ: んにぁぁぉぉwww
[495.246] アナベル_バトー: ｗｗｗｗｗ
[495.925] (S)まぐろっ: ねえwwwww
[498.206] ojou_43: www
[499.529] (S)kuro_nekotan: 2度目ww
[502.264] (S)ふき__: www
[502.481] hayato8810555: ごめんなさいm(_ _)、miraijinはどなたですか？
[510.232] ryoma199811: ナーヴギアつけてやってるか
[516.721] (S)oji1chan: 未来人はにじさんじの夕陽リリさんです
[520.370] (S)山宇宙: 夕陽リリさん
[527.624] (S)megezoo: ｱｯ
[530.465] (S)まぐろっ: ｱｯ
[530.623] (S)furifuriholiday: こんばんはー！
[530.906] アナベル_バトー: ｗｗｗｗｗｗ
[531.035] おおいずみ: 声たかｗ
[532.758] (S)ひばり1226: wwww
[533.048] hayato8810555: ありがとうございます✨
[533.928] (S)noaonnn: wwwwww
[535.437] _ひゅーす: www
[535.465] chinaaatu: アッ
[536.178] (S)maru_a_s_: わあwwww
[537.207] (S)よよか: ｗｗｗｗｗ
[537.234] (S)ふき__: ｱｯ
[537.309] (S)kuro_nekotan: wwwwww
[539.234] (S)aureliaaa1: 声たかw
[540.770] (S)megezoo: どこから出るんだその声は
[541.402] (S)うなやま: wwwww
[542.741] que_perry: わあ
[544.136] アゲサカ: たっかwwwwww
[545.328] (S)ぱらぱら__: わこさかー！
[545.836] おおいずみ: ｗｗｗｗｗ
[546.400] azuuuuuuuuuuuuuuun: ﾆｬ
[547.450] (S)もふもふやまいぬ: もふもふやまいぬ is gifting 1 Tier 1 Subs to ありさか's community! They've gifted a total of 1 in the channel! 
[547.815] (S)もふもふやまいぬ: もふもふやまいぬ gifted a Tier 1 sub to KOU5831! 
[548.144] (S)kazunoko016: wwwwww
[549.534] (S)まぐろっ: なんかついてる〜( ◜︎◡︎◝︎ )って言ってる場合じゃなかった
[549.749] aiaisan_24: わこさかー
[550.286] (S)りあ㌨: wwwww
[550.438] 世界のねこ: WWWWWWWWWWWWW
[550.923] (S)sazanami28: wwwww
[550.994] (S)misa0915: wwwwwww
[551.036] sapasa: ｗｗｗ
[552.113] sapiiiiio: 𝗐𝗐𝗐𝗐𝗐𝗐
[553.072] (S)tokievi: www
[553.687] 深夜0222: 知らん人の声でワロタ
[553.920] (S)ひばり1226: wwwww
[554.653] (S)brocco_lin: www
[554.942] エイミー0001: 背中のオール邪魔すぎて草
[558.582] (S)michikaaa_: wwww
[558.794] (S)oji1chan: www
[561.465] matiashigorou: ビックリしてしまってねww
[561.670] (S)kiho127: しぬwwww
[563.609] nagika61: たっかw
[565.681] おおいずみ: オールわらう
[565.962] (S)yukkeke__: あっ⤴︎︎︎wwwwww
[567.950] 世界のねこ: 5人目の声www
[569.238] (S)maru_a_s_: ありさん本当高低差えぐいよねww
[570.827] (S)まぐろっ: トワ様あああ
[572.279] (S)megezoo: トワ様ー！
[577.103] (S)田中ちゃんあ: わこさか
[577.263] warainusan: はやw
[577.431] (S)kurooo__78: こんばんわ～👋
[585.709] (S)fu4im1: ﾄﾜｻﾏｰｰ‼︎
[587.963] アナベル_バトー: トワ様上昇中ｗ
[589.791] que_perry: キレたwww
[591.907] (S)まぐろっ: おまいう
[595.653] (S)maru_a_s_: おまww
[595.750] matiashigorou: え？
[595.788] (S)megezoo: おまいう
[596.484] (S)oji1chan: 人のこと言えないだろwww
[596.792] アナベル_バトー: おまいうｗｗｗ
[598.579] buchinek07: www
[600.581] おおいずみ: 赤と黄色は目立つｗ
[600.653] gghh551122: おま
[601.485] (S)ゆうひ__: おまいうｗｗ
[601.952] (S)ひばり1226: おまいうすぎるwwwww
[602.147] (S)brocco_lin: おまいうww
[603.763] (S)_みき: 背中ね？ちな
[603.992] (S)エリンギのバター炒め: ブーメランなんだよなぁ…ww
[604.399] トリテイ: ブーメラン過ぎｗｗ
[604.439] sapasa: 今年イチおまいう
[606.476] warainusan: ブーメラン刺さってますよ
[607.416] ko_dai_1212: !member
[607.465] rei__sgg: エビのくせに
[607.522] Nightbot: うるか、トワさん、リリさん
[608.246] (S)yukkeke__: おまいうすぎwwwwww
[610.995] (S)anya_8888: ん？w
[611.992] (S)ワトソソ: おまいう全一
[612.617] (S)ゆてぃ_: wwww
[621.794] (S)maru_a_s_: 赤と黄色とかいう最高に目立つおじさん
[625.446] (S)まぐろっ: ふおおおお
[625.474] アナベル_バトー: お
[625.668] (S)oji1chan: wwwww
[626.192] (S)megezoo: おおお
[626.439] sapasa: あ
[626.788] (S)kuro_nekotan: おお
[626.798] (S)ゆてぃ_: あ
[626.985] おおいずみ: おお
[627.301] (S)ちゃらこ: え
[627.767] (S)鳴坂: わこさか
[628.213] (S)ワトソソ: うま
[628.567] おおいずみ: 耐えた
[629.283] (S)ひばり1226: おお
[629.959] (S)maru_a_s_: おお
[631.177] (S)honey__mochi: おお
[631.422] kor_db: わこさか〜
[635.471] (S)ふき__: おお
[636.088] que_perry: 目立ってるが😂
[636.207] ior111: www
[638.694] hamati__: えwww
[652.045] (S)満月: わこさか
[655.692] (S)まぐろっ: こわ
[657.430] (S)鳴坂: スキン終わってない?w
