[270.603] (S)n4m4n1ku: じ、じい
[270.834] moriken1023pen: じ、じい
[271.200] (S)かみんちゅう: ま、まずいw
[271.412] (S)きのころ: ４，９
[271.874] (S)秘辻: やばいっていっちゃったらもうなんよｗ
[275.896] manju_tabetaina: DinoDance
[278.652] (S)me_me_____: 今日のジジイ
[278.871] 魚たく: ついにTOKYOでたのか
[282.243] (S)raamen014: ４、９歳
[283.815] madog623: にょす
[285.794] (S)fuu5353: おおお！
[288.873] (S)ai_xxx_: すげー
[290.968] (S)yamu_ymym: いいメンツすぎる！
[296.204] (S)かみんちゅう: おー
[296.217] (S)kimito0075: すげえ
[298.767] (S)uzuki444: わちゃわちゃだ
[305.834] (S)nanami_617: マップすご
[306.476] (S)z1gzagb: おお
[310.422] manju_tabetaina: ビームサーベル！？
[311.000] mErCy0109: 動きうまくね？
[319.036] (S)takeshirevenge: ガンダムだw
[321.045] 魚たく: かるびうま
[324.770] (S)yukimaru0609: シャアザク いいね
[325.255] (S)nanadesuyo: いい音する
[331.052] (S)n4m4n1ku: ビームライフルやん
[331.957] (S)vlkpz: 視野角近いななんか
[335.294] (S)raamen014: ボドカをキレさせろ
[346.452] (S)z1gzagb: wwwww
[347.210] (S)エメラルドスプラッシュ: しんでるw
[349.556] (S)るぁ__: ww
[349.610] (S)_おかき_: たしかにw
[353.055] (S)かみんちゅう: www
[354.273] キリ工: 銃持ってバタバタ走る感じなつい
[360.148] (S)まリお: うわーーww
[360.910] (S)mitametako: w
[366.517] retasu_jiro_: 近っw
[384.654] (S)chemieweapon: のりさんつおいな
[393.029] (S)marui_ao: がんばあ
[403.500] (S)かみんちゅう: うま
[404.082] (S)tsukuedusk: つよいじゃん
[405.431] (S)nanadesuyo: ええやん
[405.493] (S)kei04050: うま
[405.542] (S)raamen014: コーディネーターやら
[409.224] (S)hotatechang55: うま
[411.450] (S)motooooo0629: ふぁいとー！
[412.420] 魚たく: 伏せ撃ちまだ強いんかな
[413.229] (S)イヌマツ: うまくない？ｗ
[413.755] ぺりかんだよぉ: つよいな
[425.042] manju_tabetaina: しんじか
[428.358] gyuusyokuteiya: ツルギのやってた信じてなかったけど本当だったんだな
[434.394] (S)z1gzagb: wwwww
[435.859] (S)えみこん: wwwwwwwwwwwwwww
[437.425] (S)26cya: www
[438.356] (S)konishi625: www
[439.161] (S)umami12: wwwww
[439.679] 七夜鴉: wwwww
[439.744] (S)fuu5353: ｗｗｗ
