[850.538] えすけーえふ: 壇上のみ、とかが一人ならやれるラインかしら
[851.716] hiisan: ジョビンはいらん
[856.033] げのじ: いいわけねぇだろ
[860.991] (S)壱万円札: 応援配信の 間のフリートークも好きなんですよね
[861.702] stainless304: LUL
[864.236] harahara02: ジョビンはいいや
[866.016] shiba400: うーん
[870.162] (S)spring__thief: あいつ隙あらば自分語り入れてくるからいらん
[872.054] tep00: ジョビンってまだスト５やってんの？
[872.383] toshioj: ジョビン勧めるはヘイト買うでしょｗ
[875.263] (S)~MISSING_COMMENTER_INFO~: ジョビン本音でしゃべらんだろ
[881.813] (S)たあぼ0126: 別の方がいいな
[882.236] ぼんじゅ: 最近ジョビン成分足りない
[887.009] mutuizumi: 自分語りならヌキさんでいい
[888.165] beastbeast: ときど呼んでみれば？
[890.833] cccyd: やばいコメント湧いてきそう
[891.557] (S)danny_love_danny: マサの応援配信はやるの？
[893.115] rotonz: ジョビンは今シーズンもがんばるのかな？
[896.157] (S)masakiti42: 今度白水さんがラジオ出るらしいですよ
[896.469] えすけーえふ: それこそユビワザで対談とかのほうが向こうさんにも恩恵ありそう
[899.883] (S)ttp_hayato: ジョビン最近配信いっぱいやってるからいけよｗ
[903.027] LT123456: 普段呼ばない人とか
[903.216] poyoyon915: 身内よりは少し距離のあるプレイヤーのほうが面白そうじゃないすか？
[909.611] Joker_plus237: 怪鳥のヨシヲを呼ぼう
[915.630] (S)danny_love_danny: TBSラジオだったような
[922.900] (S)shupii097: 一回くらいは読んで欲しい
[922.987] nonnon1990: マサの応援配信ならトパンガ所属組必須だよなあ！？
[924.368] (S)鶴太郎: turu0005 subscribed with Twitch Prime. They've subscribed for 2 months! 
[926.918] rotonz: tbsの宇多丸の番組ですね
[927.838] (S)foxnao: 白水さんすごい
[927.941] shiba400: アトロク？
[929.478] (S)ememeume: あったね！ハメコさんと？
[933.450] ~MISSING_COMMENTER_INFO~: スト５以外の人じゃダメなの？
[934.783] (S)だわさワサワサ: ゲーム画面配信しながらウメちゃんがだべるでいいよ
[945.178] (S)danny_love_danny: ハメコさんサポートで
[945.540] ccabusman: ウメちゃんサムスピはさすがにしない？
[946.595] obo_006: 格ゲー００７の白水さんが？
[950.873] (S)ememeume: 桜が散ってしまうー
[958.367] (S)サラバア: 選手名鑑2000人超えの白水さん
[969.500] jmaru0510: jmaru0510 subscribed with Twitch Prime. They've subscribed for 12 months! 
[973.419] えすけーえふ: 今改めてまちゃとトークしたらどんな内容になるかしら
[977.687] valar_89: going to a soapland sensei?
[991.339] (S)aryupaka: 大会長いからねー
[992.893] toshioj: 部屋に一人だからな
[993.037] rotonz: 飲み会とかと似てますねｓ
[994.806] King_Fuudo: akikiさんはゲスト交代してガンガン回してたよ
[999.026] (S)triton11519: 次の「～とは」の予定あります？
[999.766] (S)masakiti42: ベスト8で残ってたらやりましょう
[1000.807] ルルーー: 鍋食いながらやろう
[1009.738] ~MISSING_COMMENTER_INFO~: 梅ちゃんが普段絡んでるの見ない人がいい
[1010.802] (S)foxnao: 花見酒
[1014.617] mori_teru: 酒飲みたいんでしょ
[1021.453] (S)たあぼ0126: 花見はトイレがね
[1021.571] doubutsucat: お昼ご飯何でした？
[1024.997] hiisan: それは見たいね
[1026.018] shiba400: それは見たい
[1026.056] stainless304: いいね
[1034.067] えすけーえふ: おおおお
[1035.437] げのじ: カワムラ君はよ
[1035.663] ballbiscuit: クラハシさん今月時間あるって呟いてたな
[1036.843] rotonz: クラハシとは、はそうとうみたい
[1037.675] ルルーー: いいねえ
[1045.589] sora_neko09: ちょっと？
[1045.716] (S)ememeume: 見たいです
[1046.213] nipopo2682: コサクとは対極な人？
[1046.757] (S)heatup8: n4w3heatup subscribed with Twitch Prime. They've subscribed for 4 months! 
[1047.019] harahara02: ももち
[1048.190] dora2212: カワノはもういいです
[1050.282] (S)だわさワサワサ: 予定調和はつまらんよね
[1051.101] (S)triton11519: クラハシとはをやると オゴウとは もやらないとｗ
[1052.390] wash4: じゃぁクロダとまたやって
[1052.429] えすけーえふ: ウメちゃんがやりたいって人でやってほしいねやっぱ
[1054.468] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1055.982] poyoyon915: だいこくじゃん
[1058.522] スマンゲリヲン: ウメハラとは？は？
[1058.542] (S)madkoneko: 事故りそうな？
[1060.049] azisiotaro: オオヌキとは
[1064.050] mutuizumi: ロールパン用意して反応みたいｗ
[1064.744] toshioj: じゃあジョビンか
[1066.949] typewild9: クロダとは
[1068.070] goodriser: 今月まだ始まったばかりだぞ
[1072.051] footingmoizu: クロダやな
[1072.774] gehenax: クラハシとは、みたい
[1079.662] goodriser: goodriser subscribed with Twitch Prime. They've subscribed for 16 months! 
[1081.690] えみーーる: アールとは 見てみたい
[1086.196] Joker_plus237: マネージャーもあり
[1089.495] (S)masakiti42: 令和とは
[1093.486] aiueo123321: なんやそれｗ
[1093.611] footingmoizu: しのさんとは
[1097.260] nipopo2682: でもほんとうに危ない人は出さないからテレビは
[1099.288] (S)triton11519: クラハシとはスト2である おわり
[1100.309] tk3333: アキキとはもそろそろ。
[1105.844] (S)~MISSING_COMMENTER_INFO~: 令和とは
[1106.310] ~MISSING_COMMENTER_INFO~: HIKAKINとコラボ実現しないかなあ
[1106.540] (S)あさつき教: パイナポーさんと応援配信しよう
[1109.712] shibaponz: アンドリュー とは
[1110.860] げのじ: にゃん師とはみたい
[1118.008] ccabusman: ツイッチはもう日本じゃ厳しいな。プンレクが勝つかも
[1119.413] sorry_under: 平成とは
[1121.744] dora2212: 身内はもういいよ
[1122.139] tataktkr7: 危ない感じの人w
[1124.087] ルルーー: 危うい人は魅力よね
[1125.762] rotonz: 漫画と比べるとずいぶん丸くなったように見えたけどまだ危ないんだｗ
[1126.953] mutuizumi: ウメちゃんとは
[1131.619] obo_006: 令和元年にＥＶＯとＣＣとってください！
[1136.694] xenys3: この前生放送で事故なりかけた爆笑問題の太田みたいな
[1149.606] konbu123: こんにちはー
[1150.520] tk3333: 格ゲーマーはみんな身内な気がするw
[1155.157] あと1983: みたよー
[1157.488] hiisan: あーあれか みたで
[1158.294] rotonz: ヤフーですね
[1160.381] ぼんじゅ: ウメちゃんこのままゲーセンいかない？
[1161.644] かげでん: 令和にタイトル変わってたね
[1161.688] (S)ememeume: 見ました！
[1162.747] genocidekis: みたよ
[1167.527] あばたあ: 読んだよ〜
[1167.800] えすけーえふ: ヤホー
[1169.869] mutuizumi: ひれーな
[1172.480] aiueo123321: ｗｗｗ
[1173.682] (S)Aatyu: umeBoom
[1177.583] stainless304: でっか
[1179.511] goodriser: あなたの人生どうでしたか？だねほぼ
[1182.108] (S)あさつき教: 面白かったです
[1184.036] (S)ohigara: 昭和の記憶そんなにあらず
[1184.072] (S)triton11519: よんだで
[1184.940] toshioj: 平成の範囲が広すぎる
[1185.585] (S)桜風かなた: 平成は人生
[1186.432] えすけーえふ: 平成=ゲームライフ
[1189.599] one596: スト2の世界大会がzero3のやつか
[1193.058] sasakumadrops: イチローが答えるなら意味はあるがな…
[1195.249] footingmoizu: あんぐらｗ
[1196.179] obo_006: 駆け抜けた一人ではある・・かも
[1199.398] (S)ememeume: 令和ブームに乗っかった見出しでしたね
