[551.538] ぴろぴろまる: しょうへいも代わりに食うって
[551.886] papipopon: 酷いｗ
[552.267] oimo: ｗｗｗｗｗ
[552.792] (S)user81023: ｋｓｋ頼んだ
[554.444] (S)のぶ_: 鬼か
[555.500] kumatedd: それいいですね
[557.220] 騎士ぼっちん: 友達が優しすぎｗｗｗｗ
[558.271] ミヤ0085: KSKはウメさんの女だしな
[562.812] ホナウド: KSKさん、しんじゃう・・・
[566.160] lucentsnow: KSKが食べる流れなの？ｗ
[567.043] (S)zappnn: 死んじゃう
[567.314] (S)blackcoffee0821: 鳩が言わせたんでしょ
[567.709] oimo: 負けてもないのに獄ｗ
[570.147] sugiyou: こんにちはー！
[571.379] beer4649: ウメちゃんが食べれって言うのはイジメっぽい
[572.639] だいこん_: ウメちゃんお返事アリガトー2キャラがんばってください♡
[574.757] daruma2597: 流石に身体壊されたら後味悪くない？
[576.194] (S)user81023: タイのナンプラーに比べたら大丈夫
[577.160] (S)ebimayoo: 王様の命令はぜったーい
[579.392] ememeume: 消化器官が死にそうw
[583.040] woodmud: 誰がに頼んで間違って獄を買ってこられたら本気でキレちゃうよな
[585.839] meganesandesuyo: アールこくと麻雀はない感じ？
[593.925] deeezznutz: daigo UMEHARA!!!!! you are a best!!
[599.453] deeezznutz: beast*
[601.235] ドーガゼー: お、やってんじゃーん
[614.031] 総フロ: ウメちゃんが食べろと言ったら食べるって言ってたよＫＳＫ
[615.517] だいこん_: しょうへいは同世代の麻雀仲間がほしいって嘆いてた
[616.544] syan8011: daigo for president
[617.059] tibusa8: アールさんって麻雀できるの？
[618.684] jt3781: umeGuile_TK
[622.218] shuhei5623: 今日は雪山やらない？
[624.384] (S)maddy2623: ウメちゃんのおかげで月収8万増えたから足向けて寝れないから激辛食うらしい
[624.522] (S)isukekiyo: こんにちは umeCheer1000
[624.728] (M)Moobot: isukekiyoさん、大量ビッツありがとうございます！
[624.765] ミヤ0085: これでむしろ次も天鳳で酷い状態だったらむしろネトマとの相性が悪い疑惑に
[625.162] lucentsnow: こくもそろそろ体壊しそう
[627.104] yamame: 麻雀は喋れる人だけでお願い
[631.525] balthazar000: 言ってた系はまじで怖い
[632.858] harasora: ウメちゃん俺と麻雀やろうや
[632.863] ドーガゼー: そういやもうL4D2はキャンペーンもやらない感じなんですかねｗ
[634.039] beer4649: 会話が楽しい人誰でもいいと思う無口ダメ
[634.299] meganesandesuyo: なら見たい
[635.653] Rieetion: I LOVEU DAIGO
[635.840] TEIKETTO: 今麻雀見てるけど、やっぱビリやったんか...w
[636.311] (S)sei_6: 途中で寝ちゃったけど誰が焼きそばになったの？
[637.239] Rieetion: I LOVE YOU
[637.505] nanduh_xd: !commands
[642.796] Rieetion: LOVE YOU ALOT
[643.689] ResFGC: sabinHigh
[645.925] (S)子亀の親分: 麻雀楽しかったけど半荘で見たかった
[649.948] (S)ebithunder: ボンにリベンジしてほしい
[652.121] ドーガゼー: よかったね
[652.616] (S)user81023: 半分はウメちゃんに渡さないと
[654.580] 騎士ぼっちん: ターン性の麻雀の方がしょうへいは上手く話せそうだね
[655.229] (S)Bakobako1234: umeSalute
[656.143] NicholasPaul: @Rieetion CUTE 
[656.669] lucentsnow: ウーバーやめるのか
[656.757] (S)kxiaofen: umeNekoMiru
[657.476] (S)zappnn: 30％もらお
[660.637] shibaponz: 半分徴収ってマジ？
[661.724] tonyudx2025: 麻雀は役とかならわかるけど点数計算ができない…
[664.054] tagane6: 8万てすごいね
[664.627] Rieetion: Watashi wa anata o aishimasu
[665.817] papipopon: 累計視聴時間でインセンティブあるんだって
[666.789] Rieetion: Watashi wa anata o aishimasu !
[666.813] meganesandesuyo: ウメちゃんいつもあれくらい煽りながら麻雀するの？
[668.642] (S)157655: ３割の話が通るなこれは
