[1527.212] 山田たろう太郎: 裂蹴紅球波ってgoogle日本語入力予測変換してくれるなｗ
[1528.331] あと1983: 龍拳？
[1536.213] ぼぜ: あれ龍拳ってことになったんじゃないの
[1543.622] nyaa0: 名前ついてればいいんじゃない？
[1546.445] ホナウド: ワンピの鼻クソ砲、ノーズファンシーキャノンは笑った
[1550.500] pot1111111: あれは逆かめはめ波
[1556.491] (S)matsu_zalem: ブロリー倒したワンパンもか
[1557.939] rotonz: 技だから再現性がないといけない
[1559.225] hachi_mitsu: 竜拳は後付けだしね
[1562.606] efmaniac_jp: 魔貫光殺砲、超カッコよかった
[1564.102] 桜風かなた: 降りてる
[1565.619] (S)redbull_daisuki: さっきテリーマン好きだったって言ってたし、カーブランディングかな？
[1567.335] amadori3: 自爆技
[1571.960] kimie_white: 廬山百流はっしょ
[1574.706] suginaka56: あーあれか
[1575.438] (S)naka105: 道連れｗｗｗ
[1580.360] (S)redbull_daisuki: カーフランディングは？
[1584.441] orange016: セイントw
[1589.796] のな: ちゃんと龍拳ってついたのブロリーの時のやつ？
[1605.792] lutz001: 廬山こうりゅうはって自滅技だけど実際自滅したことないよね
[1609.263] suginaka56: 聖闘士星矢は技ばっかりだな
[1619.118] (S)えあぷ: えあぷ subscribed with Twitch Prime. 
[1619.224] (M)Moobot: @APMAZADAPMさんTwitch Prime登録ありがとうございます！
[1622.742] (S)lyo0822: バックドロップｗ
[1625.172] pontarou: 炎殺黒龍波でしょ
[1633.309] amadori3: あの作者技の描写が一枚絵が多いよね
[1637.521] cafe_gondo: ｗｗｗ
[1644.446] 空たかし: BAKOOOOM
[1645.302] orange016: 投げ技は斬新だったw
[1645.428] ilm0806: あれって、宇宙にいって、おしまい技
[1651.675] efmaniac_jp: プロレス技
[1651.914] greenraccoondog: 落ちてこないボルシチ
[1655.037] (S)matsu_zalem: 聖闘士星矢全盛の頃は、カニ座は肩身が狭かった。
[1655.550] ttp_hayato: 界王拳がリスクもあるから好き
[1658.775] (S)redbull_daisuki: 誇張し過ぎたw
[1663.073] (S)サラバア: 牙突零式が衝撃だったな
[1670.473] ilm0806: カニ座は、ゲスの極みだったからねえ
[1676.418] あと1983: あのころのマンガは良くも悪くもライブ感だから
[1695.686] hachi_mitsu: 倒すわけじゃないっていうのは当時としては新しいかもね
[1717.847] ilm0806: 幻魔拳は、後出しだからなあ
[1718.206] ぼぜ: 必殺技って最初にいい出したのはスト１？
[1720.433] orange016: スカーレッドニードルかっこヨキ
[1728.194] ilm0806: 昇龍拳か
[1732.878] 山田たろう太郎: ダイの大冒険はぶくｗ
[1734.548] amadori3: アバンストラッシュ？
[1734.729] (S)redbull_daisuki: エクスカリバー
[1742.376] amadori3: 修羅の門ね
[1742.431] pontarou: 無空波かっこいいよな
[1745.381] 山田たろう太郎: 振動ね
[1750.250] rotonz: その代表が二重の極み（骨折する）
[1753.947] 桜風かなた: マジンガーＺかな？
[1755.732] motokari0624: かに座であることを恨んだ暗黒期ww
[1761.699] ilm0806: 二重の極み、練習したなあ
[1762.390] efmaniac_jp: 布団
[1763.200] あと1983: ダイの大冒険もメガンテやアバンストラッシュ真似したねー
[1763.386] (S)lyo0822: 煉獄いいね
[1766.010] orange016: 指弾
[1768.123] (S)matsu_zalem: 猛虎ひゃっぽけん
[1773.198] amadori3: 玄武とかね
[1774.322] tabibitox: 二重の極みだなｗ
[1777.225] scottiever06: 陸王のプレスショットとか練習したわ
[1778.325] ぼぜ: 二重の極みは当時の小学生全員やったでしょ
[1779.439] kimie_white: チンミのつうはいけん
[1781.789] (S)redbull_daisuki: デンプシーロール
[1781.802] pontarou: 朱雀でしょ
