[997.090] (S)みにとーま: ないす
[997.174] まっささん: www
[998.485] 米炊ライス: wwww
[1001.462] (S)kazunoko016: wwwwww
[1001.628] suu110: グレに突っ込んでたな
[1001.923] (S)まめ___: www
[1008.916] mina06060: ww
[1011.662] お_か_ら: 結果オーライてやつww
[1020.830] mizuha_12: w
[1039.794] 3qchan: マップ隠さなくてもいいの？
[1053.303] mo11y02: 遅延
[1055.780] mizuha_12: 遅延あると
[1071.662] 3qchan: 遅延！教えてくれてありがとうございます！
[1081.626] naaarok: !member
[1081.719] Nightbot: きなこ、うるはさん、すみれさん、ゆいさん
[1083.749] ぽよねこしろ: わこさかー
[1084.898] ryota141: わこさかー。俺得すぎるふるぱだぁ
[1094.603] お_か_ら: nt
[1095.569] まっささん: nt
[1097.617] oki4353: nt
[1097.961] (S)michikaaa_: nt
[1098.064] (S)misa0915: nt
[1098.299] (S)brocco_lin: nt
[1103.713] infj_04_: nt
[1107.032] naaarok: わこさかー！
[1119.278] ほまれー: 相手のネオン なんか模索してるなww
[1126.097] まっささん: www
[1133.290] reina_411: わこさかです!!
[1139.719] うしおねこ: わこさか〜
[1145.947] (S)fu4im1: 森にいすぎたかw
[1152.557] (S)yuharu_t: yuharu_t subscribed at Tier 1. They've subscribed for 20 months! こんにちは😊
[1157.470] hp36000: わこさかー
[1167.551] (S)Kaaaho_1213: Kaaaho_1213 subscribed with Prime. They've subscribed for 11 months! わこさか～！
[1176.453] わらびの餅: わこさかー！
[1180.291] saria_0302: わこさかー！
[1217.197] (S)亜弥ノエル: ないす
[1217.765] お_か_ら: なーいす
[1219.407] まっささん: ないす〜
[1219.523] (S)michikaaa_: ないす
[1219.955] (S)まめ___: なーいす
[1220.441] (S)はるさんさん_: ないすう
[1221.544] (S)brocco_lin: ないす
[1222.788] (S)みにとーま: ないす
[1223.032] (S)misa0915: ないす！
[1237.238] oshitatiiskawaii: わこさか～
[1310.553] お_か_ら: うま
[1322.075] (S)かるぼなーら: ないす
[1322.483] お_か_ら: なーいす
[1322.502] (S)亜弥ノエル: ないすう
[1323.334] (S)kiho127: ないす
[1324.346] (S)michikaaa_: なーいす！
[1324.903] (S)nugget3150: ないす
[1325.430] (S)まめ___: ないす
[1325.555] (S)ur0co: ないすー
[1325.766] (S)まこよ: なーいす
[1325.932] (S)ダムダル: ないすう
[1326.194] (S)はるさんさん_: ないす！
[1326.298] (S)Sekiha_C: ないすー！！
[1326.843] oshitatiiskawaii: ないす！
