[137.229] 中ととろ: 不仲だああああああああああああああ
[138.007] (S)kakekan: わこらだ
[138.504] (S)kanata255: わこらだ！
[139.170] (S)uraku3526: わこらだー
[139.173] (S)neu_rose: わこらだ
[139.233] (S)kandenchi777: わこつぼ
[139.678] (S)peace3511: peace3511 subscribed at Tier 1. They've subscribed for 8 months, currently on a 8 month streak! 
[140.536] (S)ほたころ: モノナギ subscribed at Tier 1. They've subscribed for 6 months! 
[141.103] (S)ゆうの: わこらだ！
[141.161] (S)へっぴり腰: ゾムさんと一緒にいる人誰ですか？
[141.395] (S)ねこはねむい: わこらだ！！
[141.931] (S)katsuodashi_3: わこらだ
[142.052] (S)natsume_gu: natsumegu_0909 subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! わこらだ
[142.340] (S)ithi25: わこらだ！
[142.569] (S)sinann365: わこらだー
[142.818] (S)すいそう_: わこらだ 嬉しい
[142.877] (S)kaakk: kaakk extended their Tier 1 subscription through May! 
[143.024] (S)kujirai___: わこらだ
[143.845] (S)yuzu_617: yuzu_617 extended their Tier 1 subscription through May! 
[144.241] (S)ririmaru_nx: 仲直りした？
[144.352] (S)チョコに溺れろ: わこらだ
[144.500] (S)broly2828: radaokunWakotu
[144.506] (S)key_chan0928: ぞむさんだーーー
[144.761] (S)kedamanoma: わこらだ！
[144.782] (S)peace3511: わこらだ
[146.444] (S)楓___: オバ部……どこ……？
[146.726] (S)よわはと: 嬉しい………………
[146.727] (S)owatativv: ゾムさんと！？！？！？！？！？！？！？！？！？
[146.828] (S)ねぎカレー: わこらだ
[147.424] (S)あいさわ2525: わこーらだあー
[147.468] (S)沙央: わこらだ
[147.551] (S)kanon_925: わこらだわこぞむ
[148.572] (S)haku_xx: わこらだ
[148.869] (S)tomo_alb: ゾムニキ！
[148.978] (S)おもしろ太郎0: わこらだ
[149.169] (S)uragami0805: わこらだ
[149.264] (S)桐__: わこらだ
[149.798] (S)cofune: ぼっちちゃうん？
[150.291] (S)華譜: radaokunPien
[151.349] (S)ばんぺいゆ: わこらだ
[151.434] (S)menheracha: わこらだ
[151.755] (S)66はなぶさ: このduo待ってた
[151.916] (S)mikan_san: コメントサブ限？
[152.188] (S)うまい米を食え: うれしいコラボ
[152.418] (S)kabinohaetamoti: ゾムさんもいるんだ
[152.429] (S)ao_ringo888: わこらだ
[152.648] (S)aimiru8779: わこらだありがとう
[154.117] (S)aliora841: わこらだ
[154.393] (S)kandenchi777: わこらだ
[154.553] (S)0214ちさ: わこらだ！ゾムさんやん
[154.579] (S)zeratin12: 仲悪い人たちですか？
[154.845] なぁちん: なぁちん subscribed at Tier 1. 
[154.935] (S)haku_xx: ありがとう
[155.071] (S)alt_____5: ビジネス不仲
[155.144] (S)ririmaru_nx: よいしょされてる？（
[155.217] (S)Miriotta: どうゆうあれでゾムさんとやることなったん〜？
[156.371] (S)yamaziso: yamaziso extended their Tier 1 subscription through May! 
[156.470] (S)yasino1504: これにはびっくり
[156.950] (S)twilight14: わこらだ
[157.016] (S)キキョー: radaokunWakotu
[158.011] minmin2741: わこらだ
[158.029] (S)momo_chaso: わこらだ！
[158.494] (S)mochizuki027: わこらだ
[158.539] (S)haku_xx: 嬉しい
[158.784] (S)tantana03: わこらだ
[158.871] (S)ねぎカレー: ゾムさん？！？！
[159.339] (S)zeratin12: ギスギス
[160.174] (S)kotatsu_san: 今日ぼっちじゃないのか
[160.233] (S)menheracha: ゾムニキ！！！！！！！！
[160.317] (S)juju0036: わこらだです！
[161.083] (S)梨一: わこらだ
[161.264] (S)Miriotta: 不仲…？
[161.893] (S)ame1859: ビジネス不仲組？！だと？！
[162.518] (S)kurumi0108: わこらだ
[162.805] (S)hakumai_5: hakumai_5 extended their Tier 1 subscription through May! 
[162.974] (S)華譜: radaokunHatena
[163.230] (S)kero_ppi1: ゾムさーーん！
[163.306] (S)よわはと: おば部は……………………
[163.770] (S)すしまる: わこらだ
[163.938] (S)owatativv: 不仲
[164.060] (S)kono_5no: 急なコラボでびっくり
[164.179] (S)常に眠いぽかちゃん: wwwwww
[164.935] (S)コウノ: radaokunHatena
[165.025] (S)なぁちん: わこらだ
[165.160] (S)もちばし: わこらだ 
[165.185] (S)choko325: まじか!!
[165.763] (S)yasino1504: 持ち上げるなぁ
[166.013] (S)rarumu0109: ゾムニキだー！
[166.349] (S)_はた_: わこらだ
[166.973] (S)kotatsu_san: ？？？？？
[167.829] (S)こねぎ_: わこらだ
[168.233] (S)nya0k0: わこらだ
[168.243] (S)そーーーーま: そーーーーま subscribed with Twitch Prime. They've subscribed for 7 months! わこらだ
[168.449] (S)saisai_tmc: ゾムさん！、
[168.591] (S)0214ちさ: ゾムさんやああああああああ
[168.598] (S)pocha_818: pocha_818 is gifting 1 Tier 1 Subs to らっだぁ's community! They've gifted a total of 1 in the channel! 
[168.752] (S)neu_rose: びっくりしたもう急じゃん
[169.648] (S)nan_24: 不仲…！！
[169.685] (S)pocha_818: pocha_818 gifted a Tier 1 sub to koukoukoy! 
[169.722] (S)_もちもち_: わこらだ 
[169.958] (S)mikan_san: 仲良いなぁ
[169.986] (S)m0g018: ビジネス不仲
[170.008] (S)ケビンカルロス: radaokunHatena
[170.579] (S)peperonn17: わこらだ cheer
[170.875] (S)sui14: 今日は一緒なんだー！
[171.310] (S)jhonnymorimori: カタンといえば
[171.522] (S)doku___: ？？？
[171.769] (S)楓___: ゾムニキのIDどうなってんだwwwww
[172.943] (S)atuono: 不仲で別居してるってホント？
[173.118] (S)Neru003: やったぁ🥺
[173.157] (S)somentuyu: らだゾムいいね
[173.452] (S)常に眠いぽかちゃん: radaokunHatena
[173.622] (S)あびぃぃぃ: わこらだ！
[174.346] (S)kero_ppi1: radaokunHatena
[174.628] (S)小林ばやし: わこらだ
[175.939] (S)こうちゃんん: ビジネス不仲…？
[176.183] (S)ipuu818: いじめるな
