[1193.827] (S)平本: 調整きちゃあああ
[1194.536] ryou7144: きちぃ
[1203.394] (S)papipopon: 調整ありがとー
[1208.540] かささぎ: ありがとー
[1217.202] かささぎ: たーる！
[1233.180] ~MISSING_COMMENTER_INFO~: 完璧すぎる
[1247.617] (S)llflyingfish: 完璧だったね
[1258.591] myaaaaaa123: 6点見えてる
[1259.031] nimono44: 今日の大会どういう仕組み？
[1265.783] usa451: オフでやってんのか
[1267.567] かささぎ: 有利だからこその安全確認プレイ
[1274.532] kagamin177: 見えてるんやなあ
[1284.305] angardgg: うまぁ
[1284.530] (S)une3333: 一試合が結構あるから「あ！２先か！」ってなるねｗ
[1286.374] ~MISSING_COMMENTER_INFO~: レウス当ててきたあ
[1294.486] bacchuskou: いつみてもウェスカーの声になれない
[1295.775] angardgg: 10万プレイヤーだわ
[1299.773] かささぎ: 赤赤だったのかｗ
[1301.196] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1315.435] kagamin177: 3コスアイルー入るんだ
[1317.684] keisuke081991: cm
[1352.805] ~MISSING_COMMENTER_INFO~: あｗ
[1360.277] ggl8546: 結局散らしてアーツで飛ばすから317連撃とかアイルーとかが入ってくる
[1379.488] かささぎ: MPアップユニ９枚入り逆鱗もある時代
[1420.887] (S)hisotensokuzei: 逆鱗は長期戦でも戦えるアグロなんだよなぁ
[1441.643] ggl8546: 連撃一体残るだけでもアーツだけで勝てたりするね
[1475.803] siyouchu: 翔んでヒューゴー？
[1477.905] kagamin177: シールド持ちの4コス猫だと重いんですかね
[1486.958] (S)中群かずふみ: ヒソヒソｗ
[1488.662] (S)hisotensokuzei: 空戦つけて即攻撃で終わりってことや
[1491.906] angardgg: ウェスカー事故ってるな
[1498.946] lunasolnars: 手札きつ
[1501.975] neojapan01010: TGSお疲れさまでした
[1502.444] かささぎ: うつ？
[1517.852] (S)une3333: 9-9かぁ
[1520.012] かささぎ: きたー
[1528.430] prototypeie: うおおおお
[1528.914] (S)hisotensokuzei: gg
[1530.450] ryou7144: エゲツねえｗｗｗ
[1531.339] (S)une3333: やっべえｗｗ
[1535.769] lunasolnars: きもちよすぎる
[1552.008] (S)une3333: イビルジョーがレウスを蹂躙するｗ
[1554.928] ~MISSING_COMMENTER_INFO~: 飛ばないのー
[1560.957] kagamin177: たいありw
[1571.574] (S)une3333: 打つ手なしか？
[1577.287] かささぎ: 大人のスルー
[1593.333] angardgg: 歪み一枚でゲーム終わるじゃん
[1603.096] (S)hisotensokuzei: 終わるで
[1608.434] (S)une3333: 形勢逆転でしたねー
[1610.605] ~MISSING_COMMENTER_INFO~: うますぎる
[1645.384] lunasolnars: メガネ率
[1652.442] かささぎ: 盤面ひっくりかえしが強すぎるぅ～
[1718.310] markypoo4L: LUL
[1719.487] rtmt: 一強感ある見える いまんとこ
[1756.664] keisuke081991: テンポわるい
[1758.167] ~MISSING_COMMENTER_INFO~: 生と死生成しようかな
[1758.447] kagamin177: カードゲームなんで相性はあるよね
[1763.155] (S)gomesu: gomesu subscribed with Twitch Prime. They've subscribed for 9 months, currently on a 4 month streak! 
[1763.266] (M)Moobot: @GOMESUさん、サブスク登録9ヶ月目！
[1771.477] curryko: ナーフ待ったなし
[1788.293] (S)hisotensokuzei: 従来のTCGに比べて時間制限あるのがすげー嬉しい
[1798.146] gh1d0rah4k: いくらでも微調整していけばいいさ
[1802.598] かささぎ: 上手い人の４モリガンこそ至高
[1805.095] h2hiroyuki: 相性差が激しいDCGは複数デッキ登録のBO3とかになるのかな
[1813.176] curryko: 遅延が無いのが良いよね
[1833.032] gamuq: グランプリで切断負けやられて萎えて辞めた
[1836.053] ryou7144: モリモリ
[1845.630] yuri_sonuvavich_: any english speaking people here?
[1849.449] ovest2247: リベンジモリガンはないんかな？
[1856.900] かささぎ: リベンジモリガンきた！
[1857.651] Backfliwfish: here
[1868.261] かささぎ: しかもジュリ入りｗ
[1881.894] zaregoto777: リベンジモリガンじゃないか
[1892.406] (S)hisotensokuzei: リベンジモリガン一瞬だけ流行ったなぁ
[1902.884] markypoo4L: Yeet
[1908.059] ggl8546: teppenは一回ミスったらもう勝てないくらい焦るよね
[1913.982] 000105: アベゲンさん負けたぁ...
[1916.869] かささぎ: 今も５コスウェスカー入りリベンジモリガン強い
[1962.298] will_d301: physics
[2099.150] かささぎ: あくびランカーのデッキ強いっす
[2119.136] ~MISSING_COMMENTER_INFO~: TPFufun
[2136.119] bsandro: d3moneGG
[2137.798] (S)gaogaoticket: t_pedigree subscribed at Tier 1. They've subscribed for 10 months! 
[2137.865] (M)Moobot: @T_PEDIGREEさん、サブスク登録10ヶ月目！
[2202.584] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[2202.909] kuina1603: !uptime
[2203.224] henwheelie: I have no idea what's going on
[2203.483] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[2208.579] henwheelie: but nice jiggle physics
[2211.455] (S)hisotensokuzei: これは制限時間辛いな
[2242.906] goejglsdf: ときど、つええ
[2253.092] かささぎ: 上の手札がやばすぎる
[2265.735] 憂う者の弟子: おしおきよぉー
[2273.019] woodmud: 4コスってだけでシナジーすごいからな
