[1177.382] (S)akahige9280: あれだけゲッコー練習したのに本番ではセージなんだよね
[1178.219] (S)かなるな: tonaka2Faito
[1179.035] inufu: 光だと良いなあ
[1185.145] asuta_0928: 相手にめちゃくちゃ原神勢いて草
[1185.684] (S)owo_8o8: tonaka2Penraito
[1186.844] いくと2: おぉｗ
[1188.356] エンドラ_: よーし
[1189.407] ssssssssszx: DinoDance
[1193.154] (S)かなるな: 光ともりました！
[1194.817] orehayowaii: おーーｗ
[1195.441] ほまれー: 光きたーw
[1196.389] kiichan_oo: うおおお
[1197.116] rainrut: まず1
[1199.363] シーナ417__: ファイトです！！！！
[1199.395] エンドラ_: からの～？
[1200.470] (S)owo_8o8: wwww
[1201.256] (S)はおちゃ: tororoxBits
[1202.131] ABRxay: vcあっつ
[1203.159] inufu: きちゃあああ！
[1209.377] (S)じぇにん: PowerUpL
[1209.504] エルネコ: 疑似連2はイマイチだなぁ
[1214.492] びーなすぅ: 御光が
[1216.374] inufu: 灯火の女神よっ！
[1217.640] みりみりみりみり: vodkav2Amo
[1219.542] achan141: ガンバレ～
[1221.664] suu110: 本番スプリットか、、まずいねトラウマが
[1222.439] (S)akahige9280: tonaka2Faito
[1225.098] なかたけ11: こんかー
[1226.438] (S)junn_0212: このあかりはいくらでも黒く染まるのであった…
[1241.764] giselle_irene: pingは？
[1250.162] エルネコ: ntnt
[1255.175] エンドラ_: NTNT
[1255.374] (S)akahige9280: tonaka2NICETRY
[1256.240] inufu: まあまあまあ
[1256.472] (S)ケダ: んt
[1258.481] (S)はおちゃ: ntnt
[1261.209] (S)かなるな: tonaka2NICETRY
[1271.299] (S)かなるな: けすた？
[1271.518] achan141: nt
[1277.829] エルネコ: タスケテケスタ、クレしんやん
[1290.119] 南区: パペット？！
[1296.789] さくぅ_: tonaka2Penraito
[1302.855] (S)柚子はちみつ: 雲黒彩か
[1312.103] gumic: あの距離100まじかｗ
[1318.754] エルネコ: しんちゃんが変身するよね。タスケテケスタ
[1322.600] (S)じぇにん: 溢れ出る内なるらっしゃー
[1327.847] (S)かなるな: なにわろてんねんwww
[1333.389] asuta_0928: ゲッコー明るいなｗ
[1333.644] なまけぬこ: 何度見てもナイフえぐ
[1333.701] エルネコ: ｗｗｗｗ
[1336.727] inufu: www
[1340.301] (S)ケダ: まあここからですよ
[1342.892] (S)owo_8o8: tonaka2Kuuuuuun
[1358.187] aria_ow_: ん
[1390.475] (S)natu0713: www
[1390.532] (S)ケダ: おおおお
[1390.709] moriokareimen_: クロノヴォイド使ってるのセンスいいですね
[1390.761] (S)junn_0212: わぁお
[1392.848] エルネコ: ナイスエース！
[1393.543] (S)akahige9280: tonaka2Nice2
[1395.413] (S)owo_8o8: tonaka2Nice2
[1398.757] ABRxay: ace！？
[1399.592] asuta_0928: つんよ
[1400.482] (S)かなるな: tonaka2Nice2
[1400.680] さくぅ_: tonaka2Nice2
[1403.536] inufu: ナイス！
[1407.660] エルネコ: お願いします
[1408.625] (S)かなるな: ええですよ
[1411.052] achan141: いいよ！
[1411.588] エンドラ_: 本気キター！
[1420.143] (S)owo_8o8: 頼んだ
[1423.568] inufu: 了解トランザム
[1425.108] (S)かなるな: かっこいいカイトくんみたいなぁ
[1425.462] エンドラ_: アップは終わりと…
[1426.623] さくぅ_: やっちゃってー
[1428.314] (S)zakiyoka: お遊びはここまで
