[1136.844] user0511: 片方TOPANGAリーガーだしな
[1143.864] metalface_05: ｗ
[1145.846] (S)kuini__: ぁ
[1162.222] nhhhe: ファンダメンタル
[1163.025] (S)ニテスキ: ノーゲージえらいな
[1167.154] (S)ayuka_game: まちゃぼーの時からいわれつづけてるけどなおらない
[1175.618] lightkk0: 確かに昇竜出す出さないに限らず声出してる
[1180.482] metalface_05: あ
[1181.594] benizakuratosaken: まちゃぼー先生にしょっぱな言われてたよw
[1182.825] omedetroit: まちゃぼーが最初に指摘した弱点
[1198.819] okitotoro: ふぁんだめんたる！
[1200.154] benizakuratosaken: また言ったw
[1202.369] metalface_05: ｗｗ
[1202.603] ratchet0512: すまし顔豪鬼になろう
[1206.094] user0511: え？
[1207.863] krowflow: ？
[1208.547] psionicpsi: ｗ
[1210.922] metalface_05: あっさｗｗｗｗ
[1212.577] agemochi: あ
[1212.604] muryokuka: ??????
[1212.776] hirarilemon: なんだそれｗ
[1213.061] (S)momochan6: ないわｗ
[1214.068] (S)ayuka_game: すてげーかよ
[1214.572] (S)avmajvm: いまのなにｗｗ
[1215.112] 二丁目: 昇天
[1216.112] 名無しベータ: 折笠さん普通に勝てそう
[1217.107] decsy_12: そういえばウメちゃんいないの？
[1217.677] (S)風呂でフルーチェ: ｗｗｗ
[1217.756] urabey: は？
[1219.668] (S)ayuka_game: まちゃに怒られるよ？
[1219.900] sibazuke0141: 何してんの？w
[1221.584] loq901: 手の混んだ自殺
[1221.631] korikori_c: 何このゴミ
[1222.682] loserswear: ノーハンサムでフィニッシュです！
[1222.876] 球根: wwww
[1227.248] muryokuka: これは2000に負けますわ
[1228.487] 99sapp: ハンサムさぁ
[1230.306] (S)ayuka_game: 教えてもらう気あるの！？
[1231.424] Frasco006: 普段やらないことやろうとするかね
[1238.254] (S)takamitsu_hayashi: ひどーい！
[1241.557] omedetroit: ウメちゃんはジコケンには基本おらんよ
[1263.374] tk3333: ネカリの方はどなた？
[1265.589] decsy_12: そうなんだ ウメちゃん情報ありがとうございます
[1268.493] okitotoro: 折笠さん一度ミスるとそのままダメになるね
[1269.273] korikori_c: コサクネカリ
[1269.530] hanabi777: コサク
[1271.192] sora_neko09: 指導前に破門宣告される男
[1278.988] decsy_12: 勝ち越しているとは・・・
[1282.312] (S)風呂でフルーチェ: 上出るなー
[1285.430] soraninn1: 初心者講座どうなりました？
[1296.406] (S)ayuka_game: おりかさのあとにやる
