[1413.651] OSfrog_go: MyAvatar
[1432.238] (S)きんちょーるを救いたい: umeCossack
[1440.388] kurobedam: このJPレベル2つかわんね
[1463.282] (S)ひろみつー: JP戦うまいなー
[1467.172] takahashiseigi: オビさん曰く、最近はJPの弾にパリィせず、ガードが流行ってらしい
[1479.612] (S)えびふりゃーちゃん: すずたろ subscribed at Tier 1. 
[1493.988] SquallAdv: doodMemphis
[1522.610] k_vandan: nkoPOG
[1538.666] rat_2442: umeMika
[1560.571] 岢岢: ma ji
[1574.208] hobit_ojii: 今日って、予想屋こくウメやる感じですかね？（やるなら正座待機します）
[1579.972] どもるがん: うおおおお！
[1580.419] (S)ひろみつー: あぶねええ
[1583.073] (S)ぼわぼわ: ひやひや
[1592.120] (S)apacheconf: おおお
[1595.282] クレちゃ: なんか試してた？
[1595.509] rat_2442: おお
[1598.533] イゼット: こくの家除菌しなきゃ
[1598.794] てゅぽーんかも: 名古屋（こくじん家）
[1601.183] hikky722: 男二人あの部屋で
[1601.601] (S)とびちる: とびちる subscribed with Prime. They've subscribed for 6 months, currently on a 1 month streak! 
[1605.767] hobit_ojii: ありがとうございます！！
[1611.851] nyata1234: 何も起きないはずもなく
[1613.922] v_harumi_v: 今日は配信自体が18時までなんですね
[1614.106] (S)ひろみつー: ひやひやするね
[1619.848] (S)haicro_zm: こく大丈夫かな
[1622.053] bellbet: こくの家大きい？
[1623.481] kimanaka28: 予想屋ないとちょっとだけ物足りなくなってしまった
[1629.904] v_harumi_v: 了解です
[1630.090] rat_2442: 名古屋行くんだ
[1630.222] kiton_taichi: 最近またコロナ増えてますから気をつけてくださいな
[1645.335] 騙すカス鋼: 6時からこくの家いくんでしょ
[1645.474] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[1650.333] asa2023ku: SFLミラー許可すればいいのに
[1657.476] rat_2442: こくん家行ったことあるの？
[1660.826] kiton_taichi: 今日は予想屋なしよ
[1661.007] camel0141: リバサ昇竜練習しても意味ない？
[1673.111] asa2023ku: ゲーム画面あったほうが応援勢が盛り上がる
[1674.293] (S)super_fluo: 先月コロナなったけどめっちゃキツかった
[1678.535] 騙すカス鋼: @kiton_taichi そうなのかありがと
[1682.510] quwrof_sb: JPみたいな遠距離タイプは近距離に強い
[1684.425] (S)tabibitox: 対戦相手は仕事しろｗ
[1684.556] FirstBlood_GG: 名前ｗｗ
[1687.176] (S)日本語かな: 職場プレイニキ
[1690.882] 米倉健輔: 職場のため急な離席ありますは笑うでしょｗ
[1692.538] どもるがん: 職場ｗｗｗ
[1699.013] nikkou18: 職場ｗ
