[1573.484] provisualfight: JP  
[1579.800] (S)じゅーくぼーい: 2先じゃ足りない見応え
[1592.372] (S)イエール: tsにき
[1599.530] latenight000: いつめん
[1611.357] (S)じゅーくぼーい: あら
[1634.561] ラリメモ: そう言えば最近ラヴーシュカの暗転にsa2って見ないけど、キャンセルされてるから出せないだけなんかな？
[1635.385] ryuken_future: 最初はこんなもんだろってケンっぽく思えるけど実はジェイミーという
[1682.852] bec118_japan: はじめの一歩の作者がスト6に関するツイートしてる！
[1698.926] fikat_0702: 立てるー
[1706.364] kastodui: xdd
[1709.909] (S)イエール: ジリジリしとる
[1712.157] (S)hoshi_boshi_0: お互いかたい
[1722.548] クラクラ777: 森川先生エド好感触
[1735.006] takahashiseigi: tsさん
[1751.899] (S)じゅーくぼーい: そこバクステ
[1754.948] (S)イエール: アイイイイ
[1757.381] fikat_0702: 大P当てるのうますぎるｗ
[1759.155] (S)じゅーくぼーい: から詰める
[1759.883] (S)hoshi_boshi_0: ナイス！
[1763.067] pyamaaaa: おっしゃ
[1764.086] provisualfight: capcomKO
[1778.938] (S)イエール: 大吾の大は大Pの大ぃ！
[1785.222] (S)じゅーくぼーい: Punkも言ってたけどウメちゃんのバクステはマトリックス
[1809.285] (S)ponponguripon: うおー
[1809.428] takahashiseigi: あの垂直、ときどもよくやってますね
[1813.215] tabibitox: あったｗ
[1814.795] fikat_0702: うおおおおお
[1815.860] クラクラ777: ウメマトリックス
[1816.278] ひろみつー: うおおおおお
[1816.788] (S)hoshi_boshi_0: まーじか
[1818.765] bec118_japan: ふぉーー
[1819.582] v_harumi_v: すごい！
[1824.547] erisuk: おほ～
[1825.523] fireballkid1981: これは良いまくり
[1825.677] kastodui: looooool
[1841.315] gensui12p: レッツゴージャスティン
[1856.649] (S)イエール: おお
[1868.388] (S)じゅーくぼーい: 普通はやらない。なんで？って行動が理にかなう矛盾ハラ
[1923.785] (S)イエール: うっしょ
[1932.769] (S)じゅーくぼーい: として
[2033.176] tabibitox: ゲージ
[2033.287] (M)(S)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[2036.870] 胡瓜瓜刮鬍子: nc 1
[2074.525] fikat_0702: うっしょ
[2076.007] latenight000: 諸説あり
[2082.554] fireballkid1981: ｯｹｲ
[2082.559] erisuk: 頭パッカーンやられた
[2083.644] (S)hoshi_boshi_0: ナイス！
[2086.856] tabibitox: 相手に３がなければ勝率高そう
[2087.039] (M)(S)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[2091.380] provisualfight: capcomHadouken
[2124.367] (S)syouyuireppa: VIVANTみたいなやつ
[2129.751] (S)ponponguripon: 60冊w
[2129.939] be1surprise: 60！？
[2129.982] fikat_0702: すごいｗ
[2130.996] mahoutukaiakikunn: 正直不動産
[2131.081] クラクラ777: ６０！？
[2131.187] latenight000: 次はドラマ
[2131.883] v_harumi_v: すごい！
[2133.645] yuya__516: 不適切にも程があるってやついいですよ
[2134.291] tabibitox: 大杉ｗ
[2135.414] まろ助: 国内国外希望ありますか？
[2137.234] ledlight9413: 北の国から
[2138.684] 軽く捻るか: すごいｗ
[2141.868] inchangwww: ザボーイズの続編
[2147.471] 埼玉の稲妻虎鉄: あぶない刑事
[2150.750] maddy2623: 振り返れば奴がいる
