[5361.799] (S)ziraimine: やあ 
[5441.326] (S)ンパールーパー: あらあ
[5449.371] ash02134: クローブウルト逃げればいいのに
[5464.299] (S)_たいしょう: なかなかな試合ですね...
[5468.300] naya15300: 総じて敵が偉い
[5484.221] (S)ンパールーパー: 懲罰の極み
[5588.908] naya15300: 2センチでサイファーいないのきつ
[5713.133] (S)ンパールーパー: さっきのデート振られたニキが恋しいよ
[5770.802] naya15300: うまい
[5776.653] (S)ンパールーパー: ないす
[5779.873] (S)ンパールーパー: うまかた
[5780.395] (S)_たいしょう: オーメンさんうまい
[5782.197] ash02134: ヨルセージがちできつい
[5818.024] (S)ンパールーパー: さっきから三パ多いなｗ
[5992.394] naya15300: セージトロールになりきれてないのかわいい
[6049.707] ash02134: ピンうるさｗ
[6067.227] (S)ンパールーパー: 何してるだ、セージ
[6078.720] ash02134: 通報すべ
[6105.040] (S)ンパールーパー: 昨日もトロール引いて、今日もトロールモドキを引く
[6130.158] (S)ンパールーパー: うぜぇw
[6137.507] (S)こよ111: 脳が溶けてる
[6148.907] aoinoaoiro: 超素人目に見ても？って感じですが不機嫌FML見れて楽しいです〜
[6149.880] timosi0077: 何が楽しいんだろw
[6151.726] naya15300: 時間の無駄
[6156.933] (S)ンパールーパー: もう懲罰マッチは辞めて…
[6173.157] (S)bringox: マジでキツかった
[6182.017] えっっっくす: やっぱりパーティーか。
[6183.721] (S)ンパールーパー: あの、流しが原因か？
[6184.533] (S)ygarshy: るいともですよ…
[6207.160] えっっっくす: ソロランクの耐えどころ
[6208.947] (S)_たいしょう: 光のVALOマッチ来てくれ...
[6218.785] (S)ンパールーパー: 闇すぎるさっきから
[6224.972] えっっっくす: これ勝ちます
[6232.208] ash02134: きっとは次は光だよ
[6258.465] aoinoaoiro: 良き人たちが来ますように…!
[6259.373] (S)ンパールーパー: お
[6261.407] (S)ンパールーパー: いいね
[6268.062] engarang: チェンバーいるよ
[6295.657] sakuraisatorujp: みんなのために負けるを選びました
[6300.048] kurichan89314: でも怖いよ
[6307.227] (S)ygarshy: 今度こそ楽しい試合になりますように🙏
[6335.886] naya15300: 敵ネオンか
[6338.063] ape_in_art: UKさん頑張ってください！おやすみなさい！
[6349.056] (S)ンパールーパー: 光じゃね？
[6352.621] (S)こよ111: いい人たちそう
[6353.715] (S)_たいしょう: あいさつ◎
[6354.870] sakuraisatorujp: 光マッチきた！！
[6357.020] (S)bringox: これは光じゃ
[6357.260] engarang: ダメそ
[6357.442] (S)ンパールーパー: お
[6358.506] (S)ygarshy: 大丈夫そう！
[6360.072] aoinoaoiro: おっ
[6361.138] ash02134: 光か？
[6362.569] (S)ンパールーパー: 懲罰逃れた！
[6374.309] えっっっくす: G1だけどP1までは来る
[6422.070] kurichan89314: 大オーバーピーク
[6422.530] sakuraisatorujp: まだハンドガンまだハンドガンまだハンドガン
[6489.366] aoinoaoiro: あの不快音ないだけですごくノンストレス
[6495.423] (S)ンパールーパー: それ
[6507.369] ash02134: まじでそれ
[6532.694] (S)ンパールーパー: ゲッコーって人気なの？
[6546.156] ash02134: メタだよね
[6813.637] ponpeyoo: お疲れ様です今実験終わったから学校から帰ります、、、、
[6901.534] (S)ンパールーパー: ウィングマン可愛いな
[6901.546] sakuraisatorujp: ゲコつよいね〜
[6932.469] timosi0077: 就活中ですが、モロハの曲聴いて勇気もらってます！
[6947.684] (S)ンパールーパー: 就活しないと…
[7020.416] (S)こよ111: VCでちゃんとした報告が聞けるのって素晴らしいことなんだね
[7049.979] (S)ンパールーパー: ボーカルの専門学校行ってると就職はデビューって言われたから就活何したらいいかわからん…w
[7080.873] sakuraisatorujp: owやめてね
[7081.090] (S)ンパールーパー: 何それぇー！
[7085.849] engarang: うびびびび
[7091.166] timosi0077: 実習と就活の両立辛いんですけど、ほんと心の支えですw
[7095.949] (S)ンパールーパー: エイムもクソもなかったw
[7247.249] (S)ンパールーパー: ムズい…
[7280.223] (S)ンパールーパー: …ww
[7297.772] (S)ンパールーパー: 仲間の昇格戦頑張って…
[7331.013] sakuraisatorujp: 手前でピックされちゃってるからult残り続けてる
[7398.733] aoinoaoiro: 昇格戦ニキ、仲間がさっきのバケモンじゃなかっただけ良かったね…
[7406.241] えっっっくす: tpしちゃったww
[7433.990] (S)ンパールーパー: ww
[7440.327] (S)ンパールーパー: 回ってらァ
[7446.664] sakuraisatorujp: www
[7454.523] (S)ンパールーパー: 何もかも噛み合わないwww
[7457.765] sakuraisatorujp: 不憫ですこれ
[7478.938] (S)ンパールーパー: ゲコの化け物可愛いね
[7497.202] sakuraisatorujp: 野良のロータス攻めとれるさ
[7516.972] (S)ンパールーパー: 昇格戦ニキ…メンタル大丈夫かな
[7536.757] (S)ンパールーパー: ふと気になったんだけど、ヴァロ女子ってレア？
[7551.188] (S)ンパールーパー: VC男声しか聞いたことない気がして
[7632.426] (S)ンパールーパー: モチベ爆上げやね
[7682.949] (S)ンパールーパー: ばばちゃん…頑張れ
[7685.994] (S)ンパールーパー: ぁ
[7706.691] aoinoaoiro: うわ〜久々夜更かししてお腹空いてきちゃった…
[7714.482] unk0123456789: PopNemo
[7716.187] (S)ンパールーパー: さっきのセージが憑依したw
[7725.356] (S)ンパールーパー: 口寂しくなった？
[7774.626] (S)ンパールーパー: ないすー
[7878.203] (S)ンパールーパー: 懲罰マッチで調子狂わされたか
[7968.562] (S)ンパールーパー: あぁ…
[8000.783] (S)ンパールーパー: ウィングマン…お仕事偉いね
[8013.272] (S)ンパールーパー: おし
[8024.644] (S)ンパールーパー: 昇格戦ニキ…またどこかでな
[8039.882] (S)ンパールーパー: nt
[8067.376] sakuraisatorujp: 内部が、、、
[8079.711] (S)ンパールーパー: 懲罰マッチは抜け出せたっぽいね
[8094.137] (S)ンパールーパー: 行ってらっしゃい
[8127.659] (S)ンパールーパー: アネッサって誰だと思ったら、アレクサだったw
[8145.938] (S)ンパールーパー: おかえり〜
[8182.780] (S)ンパールーパー: えろ漫談も全部か…
[8194.337] sakuraisatorujp: ながそか
[8201.772] (S)ンパールーパー: 懲罰マッチ…
[8214.488] (S)Owl__zzz: よぎる
[8220.027] (S)ンパールーパー: 豪鬼に浮気しよ
[8225.230] sakuraisatorujp: フルパしか、、、、
[8229.246] えっっっくす: 今期こそダイヤと始まったはずだったのに…
[8251.806] (S)ンパールーパー: ヨル即ピしてた
[8260.435] yanagiiiiiiiiii_smaaaash: さくらちゃん呼びましょ
[8268.586] (S)ンパールーパー: 豪鬼に慰めてもらお
[8268.988] (S)bringox: 豪鬼きたぁ
[8284.123] aoinoaoiro: UKさんはゲーム歴長いんですか？
[8286.552] (S)ンパールーパー: それか、さくらたんにヨシヨシされるか
[8303.522] (S)ンパールーパー: 昨日といい今日といいヴァロ、香ばしいの多くない？
[8375.245] (S)ygarshy: 髪伸びましたね。やりたい髪型があってのばしてるんですか？
[8382.478] (S)ンパールーパー: そういや、Twitterにモダン豪鬼がトレンド入りしてた。
[8437.436] aoinoaoiro: やっぱり対戦系が好きですか？私は育成と戦闘系苦手で妖怪ウォッチがmaxでした…。見るのは好きです
[8438.887] (S)ンパールーパー: UKさん何専？
[8517.609] (S)ンパールーパー: スト6これから始めるんだけど、プレステコントローラーならモダンとクラシックどっちがいいと思う？
[8573.476] (S)こよ111: たいじとか純正のパッドだから大丈夫！
[8579.327] (S)ンパールーパー: 初格ゲーなんだよね。
[8596.318] (S)ンパールーパー: たいじママは化け物ww
[8612.358] aoinoaoiro: これ、古のゲーセンとかにあったやつ…⁉︎
[8641.963] (S)ンパールーパー: モダンで頑張ってみるかぁ、友達にモダンやるなら永遠に中段攻撃するって言われてるw
[8676.972] (S)ンパールーパー: かっこよ
[8683.906] えっっっくす: 伸びないダルシム？
[8728.866] えっっっくす: 筋トレにハマった世界線のダルシムみたいw
[8757.254] (S)ンパールーパー: 筋トレにハマったダルシムww
[8780.767] (S)こよ111: ODだと垂直で斬空打てます
[8781.384] (S)ンパールーパー: 豪鬼のコンボの記事とかでてんのかな…
[8845.845] (S)ンパールーパー: 豪鬼、最強キャラtear sランクだ
[8913.191] (S)ンパールーパー: 低体力以外弱点の無いキャラだってさぁ
[9011.763] (S)ンパールーパー: 阿修羅閃空…名前かっこよ
[9058.214] (S)ンパールーパー: なんなんだ…、残影が
[9119.059] (S)こよ111: まだ慣れてないんでランクマでコマ投げ基本対応されないです
[9151.497] (S)ンパールーパー: いたそぉ
[9188.611] harutyyya: たつまきのあと弱小流です
[9203.646] (S)こよ111: CAです！
[9222.342] (S)こよ111: 体力ー！！！！
[9341.288] harutyyya: さっきSA3に繋げようとしてた時のodたつまきのあとって意味です
[9354.847] (S)こよ111: しゃが大も対空だったと思います
[9389.306] harutyyya: ごめんなさい違うコンボだったかも、しれないすみません、
[9411.336] (S)ンパールーパー: 見た目より長い…
[9423.174] (S)ンパールーパー: 意外と四肢長いのか…豪鬼
[9497.532] (S)ンパールーパー: 豪鬼難しそう？
[9558.722] (S)ンパールーパー: 我らがハイタニ先生
[9590.448] (S)ンパールーパー: 豪鬼ミラー対決や
[9683.479] (S)こよ111: 俺はなんも考えずに強でで対空してました
[9685.606] (S)Owl__zzz: 火力おかしい
[9716.368] (S)ンパールーパー: ハイタニさんの豪鬼は赤の方？
[9767.955] (S)ンパールーパー: コマンドは概要欄…か
[9777.321] (S)ンパールーパー: テロップで書いて欲しいw
[9826.283] (S)こよ111: どれが生き残るかわかんないですけど、一旦コンボトライアルどうですか？
[10255.105] (S)hirofumi_jr: こんばんは、豪鬼触ってる！
[10435.763] (S)hirofumi_jr: 豪鬼メイン予定ですか？
[10507.837] (S)hirofumi_jr: ダルシムだいぶ不遇らしいですね(笑)
[10512.743] (S)こよ111: ヨガジジイは捨てましょう
[10610.553] keitadayoo_893: リュウのお腹目掛けてくらいですかね
[10662.152] keitadayoo_893: これ意外とむずいです
[10662.617] (S)ンパールーパー: むっず
[10712.940] keitadayoo_893: うっま
[10745.252] (S)こよ111: SA2から繋がるのマジでキモい
[10748.579] (S)Owl__zzz: 4500ダメ
[10849.841] (S)こよ111: キャンセルか
[11148.168] keitadayoo_893: うっま
[11298.874] (S)hirofumi_jr: 豪鬼、鬼のお面のスキンかっこいい
[11728.982] (S)Owl__zzz: 禍坏
[12087.258] keitadayoo_893: キャンセルラッシュをパリィボタンでやるとましかも‼︎
[12209.489] keitadayoo_893: ボタンに空きがあるなら割り振った方が楽かもですね‼︎
[12350.476] keitadayoo_893: お、いい感じ
