[50.119] rocomoco18: ｵﾊﾖｵﾊﾖ
[50.190] なぽりたんスミス: お、王
[50.329] plunus_1: オハヨ、オハヨ
[50.501] 4alba6: こんばんは
[50.531] (S)ちゃぃちゃぃ: おはよ、おはよ
[50.571] yt9653: おかえり
[50.609] (S)sabakan0917: 王の覇気
[50.766] (S)gtttjo1: おかえりなさい
[50.895] (S)えっさっさん: 王！
[51.087] (S)ttt2836: おはよ ohayo
[51.292] de5zaru: ｵﾊﾖｵﾊﾖ
[51.299] jojdin: おは王
[51.302] (S)のっちゃん: ｵﾊﾖ ｵﾊﾖ
[51.410] (S)ますとどん: おかえり王
[51.418] (S)jinta135: 帰還
[51.437] (S)exgranciel: おかえり
[51.463] tkshan: おかえりぼすーー
[51.490] musan1125: ｵﾊﾖｵﾊﾖ
[51.491] (S)はふやん: おはよおはよ
[51.628] humokiti: 王おかえりなさい
[51.704] (S)arbkj: おはよっおはよっ
[51.764] tamanoke231: シャンちゃんオハヨオハヨ
[51.839] (S)o_zappa_Y: おかえりー
[52.523] (S)oahati9045: おかえり王
[52.734] tatisjrfan23: 王の帰還
[52.911] kikiki573: オハヨ、オハヨ
[52.957] (S)shinshinbro: オッ王ーーーーーーー
[52.961] _しろかみ_: ｵﾊﾖｵﾊﾖ
[52.986] tomozo175: こんばんは
[53.055] (S)zerogravity0910: おかえり
[53.147] kyomaru03: きたあ
[53.179] 0711mako: おかえりなさーい☆
[53.209] (S)reovivi: お、王〜！
[53.212] naitoudesu: おはよおはよ
[53.412] (S)らびーん635: ｵﾊﾖ、ｵﾊﾖ
[53.442] (S)けー353: fantas22No1
[53.510] (S)もこふ_55: 待ってだよぉぉ
[53.560] (S)goripon_0727: ｵﾊﾖｵﾊﾖ
[53.682] (S)しろうと: おはにょおはにょ
[53.836] (S)えなちゃ丸: ｵﾊﾖｵﾊﾖ 
[53.927] かるま1248: ｵﾊﾖｵﾊﾖ
[54.230] (S)sasamisan333: ｵﾊﾖｵﾊﾖ
[54.339] びーびー3: ファンちゃん おはよ おはよ
[54.931] (S)gorigorimandayo: オカエリ、オカエリ
[54.945] makomako2167: おはよ！おはよ！
[55.108] (S)剣丸: おはよあはよ
[55.136] (S)badmiral_gulukagon: ｵﾊﾖｵﾊﾖ
[55.145] (S)teardrop315: ｵﾊﾖｵﾊﾖ
[55.153] あめくるん: ラジオおもろかったね
[55.186] higanbana0602: おかえり、おかえり
[55.214] madowakusan: おかえりなさい ⸜(´˘`❁) ⸝
[55.269] (S)kina_g1: 王が帰ってきたぞ！！！！
[55.335] (S)アリスとと: おかえりなさい！
[55.350] (S)p11chan_29yarooo: おかえりなさい
[55.389] (S)ketanketa: オハヨ オハヨ
[55.427] (S)のむけん: fantas22Muscle
[55.437] (S)landmark1000: ボス！おはよおはよ
[55.576] (S)ぴきぴき2433: ストグララジオよかったね
[55.751] (S)rup11n: ここどこｗ
[55.767] y0zuki_: ｵﾊﾖｵﾊﾖ
[55.878] 火愚羅: ｵﾊﾖｵﾊﾖ
[55.915] (S)辛麻婆豆腐: fantas22Muscle
[55.957] (S)RAY__1859: おはよ、おはよ
[56.011] (S)dragontree0728: お帰りなさい
[56.093] (S)hro012: ｵﾊﾖｵﾊﾖ
[56.112] (S)chikuwa223: オハヨオハヨ
[56.206] (S)tanu_bougore800: fantas22No1
[56.398] masap1221: ｵﾊﾖｵﾊﾖ
[56.407] (S)あずまん_: おはよ、おはよ
[56.908] (S)gan_jp: このためだけに生きてる
[57.201] (S)べーまる: Bemarudayo subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! 
[57.353] (S)バチー: おはよ おはよ
[57.464] (S)Ryuk_AppleDeath: ｵﾊﾖｵﾊﾖ 
[57.733] (S)輪入道: ｵﾊﾖｵﾊﾖ
[58.052] nemo202001: おはよおはよ
[58.224] エムディ: おかえり！
[58.273] (S)4tsu_03: シャンちゃん、ｵｶｴﾘ、ｵｶｴﾘ
[58.274] (S)ぱと_ぱと: おかえりよー
[58.489] (S)nitta4774: やあ
[59.083] taiyo377: おかえりなさい
[59.385] (S)_じん_: おかえり、おはよ、おはよ
[59.409] kataokabrian: SeemsGood
[59.586] (S)hasse0908: ファンちゃん♡ｵﾊﾖｵﾊﾖ
[59.587] (S)saka9767: FutureMan
[60.107] ゴルーン: お、王〜
[60.211] (S)onestylenori: onestylenori subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! 
[60.497] rocomoco18: 王の凱旋
[60.669] (S)sensunawa: ｵﾊﾖｵﾊﾖ
[60.732] (S)ますとどん: おはよ、おはよ
[61.139] (S)あっと_: ｵﾊﾖ ｵﾊﾖ
[61.249] なぽりたんスミス: ｵﾊﾖｵﾊﾖ
[61.347] (S)CREVAZF1_496: 王の帰還
[61.444] (S)rich3352: 王の帰還
[61.565] (S)takowasa_0607: こんばんは
[61.638] (S)rusiane0904: rusiane0904 subscribed at Tier 1. They've subscribed for 9 months! 
[61.702] (S)ベリッサ: ｵﾊﾖｵﾊﾖ
[61.776] tomosashisu_8: ｵﾊﾖｵﾊﾖ
[62.437] (S)sushi_gari_man: おいす
[62.592] ダカク: ｵﾊﾖｵﾊﾖ
[62.827] (S)ゆすら: 王ﾊﾖ王ﾊﾖ
[62.897] 焼きりんごまん: ｵﾊﾖ ｵﾊﾖ
[63.076] YAMATO00_RoueN: ｵﾊﾖｵﾊﾖ
[63.163] damu_damu: 王
[63.374] 無職の緑色: ｵﾊﾖｵﾊﾖ
[63.578] (S)cyber_pandaa: ｵﾊﾖｵﾊﾖ
[63.633] arufastiguma: おはよ！おはよ！
[64.337] (S)apron_u: おかえりシャンクズ
[64.538] (S)バナナ社長: fantas22Muscle
[64.602] (S)テバ_02: おっ王～🎵
[64.604] 天之川彦星: 王の帰還
[64.754] gomakichirx: ｵﾊﾖｵﾊﾖ
[64.756] 足跡ピーヤン: シャンちゃんｵﾊﾖｵﾊﾖ
[64.864] (S)mirimonn_334: ｵﾊﾖｵﾊﾖ
[65.178] (S)ぼんばくん: ｵﾊﾖｵﾊﾖ
[65.345] (S)はらいた3: ｵﾊﾖｵﾊﾖ
[65.403] (S)なみ30528: ｵﾊﾖｵﾊﾖ
[65.957] (S)subsunsun: fantas22Syankzu
[66.096] (S)きゅむぉ: ｵｶｴﾘ ｵｶｴﾘ
[66.179] 甘酒014: 王の帰還
[66.247] (S)ハンターオリピー: おはよ
[66.253] (S)tonko82: オハヨオハヨ
[66.587] (S)のむこちゃん: 久しぶりだな
[66.818] (S)雲竜五月雨: オハヨオハヨ
[67.677] おおきいからあげ: ストグラジオ良かった
[67.900] (S)kina_g1: 王の凱旋じゃあああああああああああああ
[68.097] めしくぅいな: ｼｬﾝﾁｬﾝ、ｵﾊﾖｵﾊﾖ
[68.330] (S)p11chan_29yarooo: 辛かったー
[68.547] tatisjrfan23: ファンちゃんおはよ、おはよ
[68.551] (S)ルルルラララ: ｵﾊﾖｵﾊﾖ
[68.913] (S)うるは55: うるは55 subscribed at Tier 1. They've subscribed for 5 months! 
[69.053] (S)アデルウルフだよ: ｵﾊﾖｵﾊﾖ
[69.103] kawatoto3: おかえりー
