[287.237] gurararaaa: あw
[287.319] よしずーー: あ
[287.388] hyuuu_032: あ
[287.392] オカっち: がんばろー
[287.940] portgas_d_rouge: 言うたなw
[288.027] oinari_123: こいつら一位で上がんなきゃ負けみたいなもんだからな
[288.179] かねちょー: 全部見るの？？
[288.180] kazuma0123210: え？
[288.378] altairmk: あ
[288.829] himeguma7: やっぱ1位抜けしないとランドマークドラフト渋いからね
[289.013] はらけんさん: あ
[289.401] グラル87: あ
[289.416] mci_foden: www
[289.706] aqk87770: 本音でてるって
[289.893] RainBerry1515: あ？
[290.692] marusuuuuuu: ウォチパ職人
[290.899] narufuuuuu__: ⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠋⠉⠉⠙⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡀⡀⡀⡀⡀⢘⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⣦⡀⡀⡀⣀⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⣿⣿⣿⡟⠁⠠⠤⡀⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⣿⣿⡟⡀⡀⢃⡀⡀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⣿⣿⠁⡀⡀⡀⢀⡀⠘⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⣿⡏⡀⡀⡀⡀⣰⣆⡀⠈⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⣿⣇⡀⡀⡀⡀⡟⠁⢀⡀⠈⠿⣿⣿⡌⠛⠋⠉⠉⠙⢿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⣿⣿⣷⡄⡀⡀⠐⡀⡀⠠⡀⡨⡀⡀⡀⡁⡀⢲⡟⠉⡀⡀⠙⢿⣿ ⣿⣿⣿⣿⣿⣿⣿⣿⣷⡀⡀⡀⠃⡀⠰⣦⣤⣀⡀⠨⡀⠈⢰⡀⡀⡀⡀⡀⢸⣿ ⣿⣿⣿⡿⠿⠿⠿⠿⠿⠇⡀⡀⡀⠄⡀⣿⣿⣿⣆⣀⡅⡀⢿⣷⣀⣀⣀⣰⣿⣿ ⣿⣿⡏⡀⡀⡀⡀⡀⡀⡀⡀⡀⡀⡀⡀⢸⣿⣿⣿⣿⣷⡀⠘⠛⠛⠛⠛⠛⣿⣿ ⣿⣿⣿⣶⣶⣦⣶⣴⣦⣶⣴⣶⣶⣵⣶⣿⣿⣿⣿⣿⣿⣶⣶⣴⣦⣦⣶⣴⣿⣿
[291.008] imJoru__: 6時間コースだにょーん
[291.052] afro_dayo: 1日やん
[291.430] nann0916: あ
[291.497] サメカツ1999: aあ
[292.035] lilakasan: 義務
[292.111] o_jun1217_o: あ？
[292.931] りぼん03: 前半だけでもお願い！
[293.086] Miiyo7: 見るだけだろ
[293.146] ryuji3936: 今回はフナがだいぶ意識してた
[293.173] ばっっくす: あきたらやめるべ
[293.175] ikki_oga: そんなあるの！？
[295.063] (S)suuute: がんば
[296.436] altairmk: えっど
[297.152] サメカツ1999: WutFace
[297.512] morichan029: 今日バロあるの？
[297.678] flower__hiromaru: ボドおはよう
[297.710] phonzee_19: ぜんぶみてねー
[298.096] tetete0088: えっっd
[299.055] モグモグぅ: モグモグぅ subscribed with Prime. They've subscribed for 25 months, currently on a 25 month streak! 
[300.832] (S)可能性の獣1: BloodTrail
[301.223] (S)marrona91: なげぇ
[303.272] あいしあいし: 義務だよ〜 
[303.409] miku__zz: vodkav2Angryvdk
[304.207] マスク大佐: 疲れたらやめたらいい
[305.211] arnananan: 疲れたら裏でもいい
[309.308] (S)うるふっ: vodkav2Riddlesmile
[309.616] グラル87: 一生一緒
[310.190] richo_sangetsuki: 文句言わないでウォチパしてね 
[310.435] オカっち: 12試合がんばろー
[312.958] jncmx: 切り抜きで稼げ
[316.888] junreed2211: ValorantやりながらKOBEsportsのTwitterだけ見よう！
[316.928] Takamaron: 後10？
[319.561] キューブってる: くそなげぇ
[326.941] しーぶん: お前とじゃなきゃ見る気しない 
[333.316] unagitabeta1: 稼ぎどき
[335.035] (S)あいじー: キーボードの音気持ち良い
[335.354] キューブってる: あと11試合だねw
[338.800] 7tatatatata7: yuz48Yukiohakusyu
[346.162] コサンジです: 初戦いい感じでしたね
[347.459] cha_chanyuuto: 勝ってる状況なら良いけど
[357.045] mendy11111: ワイプでウォチパしねーか？
[358.391] o_jun1217_o: 助かる
[360.721] ketsudapurio: 渋いランドマークだから現実的でいい目標だとは思うけど、ポイント欲しいね
[360.721] コサンジです: みんなやってたね
[362.612] ちけちけ: くそりあるなやつ？
[362.783] グラル87: インターバルめんどくさいな
[366.502] ふれくしん: 1試合目どうでしたか？
[368.349] りぼん03: いいね
[370.858] o_jun1217_o: ！？
[370.972] junreed2211: ボドの見たい
[371.073] 96_nineteensix: いやあんなに厳しい状況から3位2キルなら全然美味しい
[372.392] morichan029: リアルなやつか
[373.550] (S)venven8: やってほしい
[373.613] キューブってる: ほぼいじめのウォチパ
[375.212] eyasluna39: どんなゲーム？
[375.397] (S)suuute: ぼでぃ
[375.600] ~MISSING_COMMENTER_INFO~: NOEZFOXを倒せ！
[376.620] smoena: 思ったよりちゃんと動いてて凄かった
[377.953] littleriver_0723: おもろそう
[378.597] かねちょー: 思ったよりバカゲーっぽい
[379.381] ぱんぷきんへっど: よろしくお願いしまーす
[379.587] らむぽっぷ: もう誰でもできる？
[380.741] 96nowa: け、んきがやってる奴か
[382.196] portgas_d_rouge: 台パン！？
[382.223] spavee: クッソ重そう
[384.168] オカっち: 音でっか
[384.506] ~MISSING_COMMENTER_INFO~: わあ
[390.144] しーぶん: ポルノハブのタグにありそう 
[390.570] sonnanikowaikanew_era: こんぼどー
[394.451] o_jun1217_o: よろしくおねがいしまーす
[397.162] ryota_akg: しんじの配信にご当地みっちーいたよ
[397.255] walker_anarchy: 銃声？
[400.710] kisirin: 何時頃までこの配信やってますか？
[402.718] mendy11111: めちゃリアル視点のやつ？？
[406.095] テコンダー: あ
[406.512] carefreed: ほな
[406.898] genocidekis: 開発者2人
[407.466] りぼん03: wwww
[411.324] kanpouwa: 酔いそう
[412.889] otakara00: みる分にはおもろそう
[413.935] (S)venven8: さっき電車でみてたけどくそ酔った
[414.606] narufuuuuu__: KingWorldCup
[417.154] (S)kaputinon777: 待ってたぞ
[417.485] v0lc1022: いまけんきさんやってました
[419.008] obanzaistudio: さっき普通のチームだったら詰んでたしそこから3位なんだから十分
[425.768] (S)仲村屋: RIDWIN 
[432.969] おぐり_: ボドありがと
[443.376] minaminami3735: アンチ読みたいね
[446.898] rizuttv: フナあれで4キルしてんのか
[462.152] 96_nineteensix: シンプルにフック東が渋すぎる
[468.706] たっとおおお: おっす
[468.783] yomog1mochi043: やぁ、ボドド 
[470.941] ketsudapurio: 中入りらしくね
[473.672] o_jun1217_o: リドルらしく...
