[67.992] pyonpyon96: ヴァロ4444444
[68.000] しおめりぜ: きtらああああああああ
[68.115] (S)見るやつ: 声出てんね
[68.166] ll_cc_002: 小僧ウキウキ
[68.166] ソナタ: 44444
[68.211] (S)soralira: デュフデュフしとる
[68.213] (S)しめち: batoraValo
[68.584] ynwnnbf: ニチャニチャでワロタ
[68.588] (S)shimohal: batoraValo
[68.792] afcthchtctydty: バトラ緊張中！
[69.007] todo_19: BloodTrail
[69.227] fv_1144: ウキウキでｸｶ
[69.746] ~MISSING_COMMENTER_INFO~: パワポケ8パワポケ8パワポケ8パワポケ8パワポケ8パワポケ8パワポケ8パワポケ8パワポケ8
[69.794] (S)村紗あざらし: じゅんとコラポ^_^び！？！？
[69.857] egg_onsen: 英雄団加入おめでとう
[70.008] kazmol: 仕事大丈夫か？？
[70.101] (S)sai11000: BloodTrail
[70.331] (S)kanaya_k: おい、ヴァロやめろ
[70.869] tyror01: メスなんよw
[71.317] shoot3r_1: かっさん44444444444444
[71.523] (S)ワンダー明日やります: ま？
[72.294] apple_pie0827: うきうきでｸｶなんよ
[72.327] 大作先生: ニート時間やめてね
[72.487] (S)meme_andac: batoraValo
[72.520] (S)black_0921: batoraValo
[72.704] bonyuchupasuk: ファンボじゃねえか
[72.716] ustreamer_668: キモファンボやめてね
[73.276] _いちか: 嬉しそうでめっちゃ可愛いw
[73.386] makoo103: ヴァロ4
[73.584] ~MISSING_COMMENTER_INFO~: バトラ、メスの顔になってるぞ
[73.708] (S)なぁマリパしないか: 興奮してますか？
[74.089] (S)minatoyssy: でゅふふ
[74.292] groovy_gozila: ファンボバトラ再誕
[74.303] パパイレ: マータ緊張してら
[74.384] akibo312: yoshimiClap
[74.436] (S)pon_pon_bomb_: マップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せ
[74.462] ひぽ_: え、仕事は？
[74.838] nezar777777: かっさん4
[74.985] (S)はるまくん: BloodTrail
[74.998] runrunxan: バトラニヤニヤでｸｶなんよ
[75.177] (S)aburi_saamon: batoraHaguki
[75.388] adhdyade: 小僧ウキウキで草なんにょ
[76.571] kazuuso: 二へ二へでわろた 
