[262.460] (S)ヘルシー鳥皮: リドル毎回そんなんや
[263.531] こーせい3: Riddle嫌われてる？
[265.455] fear3324: ジョジョのときみたいになりそう
[265.913] slmlts: sakuヴァロ行けるから呼び出そう
[266.157] lilychoco: 人数多すぎるから延期くさい
[267.835] pppppopy: じゃあ無理そうか
[268.102] spinet12345: リドルこういうの多いな
[268.902] A1ice19: 出禁、ですか
[269.418] corner3999: 視野
[270.863] yata_17: sgで強すぎたからボルズはBAN
[271.611] lionelmessi4545: おい！！リオンとタイマンしろ！！！
[271.718] りーばぁみん: ｗｗｗ
[272.108] tawotowa: ｗｗｗｗｗ
[272.678] ただのともや: この状態で出来たとしても試合中落ちるとかありそう
[274.288] (S)Crown_chan: wwwwww
[274.560] gtyan89: www
[275.445] ホイ卒官僚: wwwww
[275.621] (S)令和のペレ: 配信してくれたからいけるか？と思ったけどあかんか
[277.181] こったさん: w
[277.991] m_nao0419: wwwwww
[278.035] mitauka: これで無理やりやっても感
[278.097] torea1024: そりゃあ、片手でモニター見ずにキル取れるボルズは出禁よな
[278.832] maru__2127: ｗｗｗｗｗｗｗｗ
[281.075] Simousago: 問題起きてるのリドル側だけじゃないんだ
[281.340] uooo4080: トロールすぎてＢＡＮ
[281.555] blaotnkzz: それただのトロール
[282.609] たま54: 早いほうがいい
[282.787] sas4m_: おにやはプレイがクソすぎたんやろ、しらんけど
[284.575] まよなかの: afk?
[284.779] takuto135: 大会だけの不具合なの？
[285.042] corner3999: おにや🟰aace
[286.573] (S)Quu_o: 入れてもまたぐたりそう
[289.101] lionelmessi4545: おい！リオンとタイマンしろ！
[301.163] bacoyashi: 運営にリドルアンチおる？
[301.946] pontanu87: まー延期やろなあ
[305.806] manimani0418: 大会だとバージョンが違うからな
[306.107] キャンタマ: がお
[307.330] しばこう: 自分のアカウントにしよう
[310.152] (S)steph0030a: さっきの試合は行けてリドルがダメなのはなんの違いなんだろうね
[313.324] りーばぁみん: へー
[325.409] aka_pencil: VCJだけなんかな
[325.966] じょける: もう個人アカウントでええんちゃう
[332.718] corner3999: な
[334.807] godsudo: 次のムラゲ対リドル戦負けた方のオーナー坊主にしないか？
[334.825] ojiji57: 今きたけど何があったんや
