[3070.600] bereto_666: ツノガキカスタム
[3076.767] (S)akahige9280: かっこいいな
[3085.392] (S)あとたろ: また刃生えた！
[3094.077] (S)あとたろ: かっこよ！
[3095.615] hakuma1sama: やばーーーーーーｗｗｗ
[3101.154] lililllln: PopNemo
[3101.724] teruboy4: 厨二心くすぐるなwww
[3113.725] (S)はおちゃ: tonaka2Faito
[3131.356] (S)あとたろ: tonaka2Oko
[3136.885] (S)akahige9280: tonaka2Ganabare
[3149.724] lililllln: やってみよやってみよ
[3150.583] (S)あずきです: akyuz1Penlight
[3154.811] lililllln: ？？？
[3157.704] (S)akahige9280: なんで言ったんやw
[3172.142] tattu_kun: ultでならく落そう
[3172.434] (S)はおちゃ: りおんレイナキターー
[3180.026] lililllln: り、おん レ、イナ
[3188.672] lililllln: すげー！本物やー！
[3190.467] (S)akahige9280: www
[3191.784] (S)はおちゃ: ｗｗｗｗｗｗｗｗｗ
[3194.025] lililllln: やめろやめろｗｗｗ
[3194.382] (S)あとたろ: wwwww
[3199.967] (S)k1ng10646: 反省なしw
[3201.060] さくぅ_: www
[3201.131] (S)akahige9280: 反省してないwww
[3204.962] (S)あとたろ: 反省の色なしですか！ｗｗｗ
[3209.671] (S)えりち_: tonaka2Faito
[3286.025] lililllln: ｗｗｗ
[3289.450] (S)akahige9280: 見えんw
[3304.936] (S)akahige9280: あwww
[3305.997] Nagoya_taro: www
[3310.227] (S)k1ng10646: w
[3315.795] lililllln: NotLikeThis
[3341.031] (S)はおちゃ: ｗｗｗ
[3345.591] (S)akahige9280: www
[3347.727] (S)k1ng10646: w
[3347.784] lililllln: www
[3366.142] lililllln: キャッキャしてたら
[3401.195] lililllln: はぁん
[3431.807] lililllln: ぷるるがんばえ〜！
[3436.900] lililllln: ntnt
[3560.732] (S)えりち_: tonaka2NICETRY
[3561.703] lililllln: んtー
[3607.807] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[3669.865] lililllln: ｗｗｗ
[3680.312] lililllln: あれｗｗｗ
[3768.239] lililllln: がんばえ〜〜
[3877.021] (S)akahige9280: www
[3880.242] lililllln: nt
[3899.292] lililllln: さて、と
[3932.238] (S)junn_0212: uma
[3934.184] Nagoya_taro: ナイスすぎ
[3964.064] (S)k1ng10646: つよ
[3969.161] lililllln: いいぞ
[3969.370] Nagoya_taro: いけーー！
[3989.702] lililllln: ないすーーー！
[3991.758] (S)junn_0212: うおおおおおお
[3992.793] lililllln: えーーーすーーーー
[3992.799] (S)akahige9280: tonaka2Nice2
[3993.808] Nagoya_taro: うおおお
[3994.320] tattu_kun: うおおおおおおおおおお
[3995.886] pwgkpmtjwm: えーすまーー
[3996.761] (S)k1ng10646: ないすー！
[3997.917] (S)あずきです: つよすぎ
[4007.372] (S)yamada9712: tonaka2Nice2
[4007.426] さくぅ_: tonaka2Nice2
