[1952.791] (S)rootlic: 無なのだ
[1957.046] (S)おばらら: 無なのだ
[1967.835] kagagozen: だれが童貞やねん
[1972.471] 清水です: DT!?
[1975.311] krsw61: どどど童貞ちゃうわ！
[1978.133] (S)akahige9280: 聞こえた
[1984.122] (S)りすてぃー: BloodTrail
[2008.699] (S)どら_どら_: どら_どら_ subscribed with Prime. 
[2010.777] (S)ibeex_8: ibeex_8 subscribed with Prime. 
[2015.355] (S)max_coffee_uma: max_coffee_uma subscribed with Prime. They've subscribed for 3 months! 
[2038.675] (S)chiikoma: テクノめ
[2038.692] (S)らずきち: むぅ
[2050.885] (S)おばらら: ３
[2052.248] ういあ: ３
[2053.151] turtle37: ３
[2053.157] karutanpt: 3
[2053.725] tsukasarough: ３
[2055.015] nwurm: ３
[2057.988] (S)バンクマ: 3
[2062.124] alphas_white: クリタワ自体が3やからね
[2073.910] ultimateinudog: １４はパラレルだからなあ
[2081.235] (S)おばらら: アラグ帝国がかつて戦っていた軍勢？
[2088.812] (S)ainniain: ちゃう
[2092.841] (S)弾丸: ほえ～
[2098.041] tsukasarough: １４のアラグ帝国時代
[2099.106] (S)弾丸: ｗｗｗ
[2099.625] (S)りすてぃー: ｗｗｗｗｗｗｗｗｗ
[2100.062] (S)ふここ: ｗｗｗｗ
[2100.480] (S)akahige9280: www
[2100.548] alphas_white: ff3のアラグとはパラレルだと思う
[2100.711] ナターレの2019: ｗｗｗｗ
[2101.470] (S)らずきち: ｗｗｗ
[2101.954] (S)えりち_: www
[2103.515] nwurm: ｗｗｗｗ
[2104.645] (S)今来たクラウド: そうかもしれないでええやん
[2105.447] zakiyoka: あっさりww
[2105.587] (S)ainniain: 14で昔起きた大戦の話
[2108.257] alphas_white: たしかにね
[2109.141] sizumuhi: スターシステム
[2110.556] みら姉ぇ: ちゃうんか
[2110.664] (S)にうるす: まぁそれでいいんちゃうかなｗ
[2110.676] soralis99: あくまで14の世界の歴史の中やね
[2113.444] kyu_zou: そういう解釈があったっていい
[2115.533] (S)chiikoma: 5000年前のアラグ帝国の話かな
[2116.173] あまえびしゃす: 色々解釈はありますね
[2117.286] yulian_122: 3じゃなくて１４の世界の第三星歴時代やね
[2118.364] yyyrokeyyy: 考え方はおおむねそんな感じ
[2121.750] alphas_white: そういう解釈もできるね
[2122.520] ナターレの2019: 当時の光の戦士が来たかもしれないし
[2124.096] (S)rootlic: そういうのもありだと思う
[2125.580] よっっっこ: まぁそう解釈してもいいってことやね
[2125.604] (S)かなるな: そういう世界線
[2132.697] yyyrokeyyy: ロマンやな
[2135.026] (S)akahige9280: 全然あり
[2140.479] nwurm: そういう流れだっていい
[2150.046] (S)ManaM0de: ManaM0de subscribed with Prime. 
[2158.829] oimotimoti38: そう思ったっていい😁☝️
[2163.601] (S)弾丸: 熱いね
