[1037.979] goldendendendenden: asurai VS zetaや
[1038.059] ounansoccer5: 今のマップローテごみ。普通にパールフラクチャーやりたいっす
[1042.928] eve_p_q: アイボはおもんない 
[1045.214] rion222222: アセントないだけましか
[1045.916] しーぶん: アイボはかなりやってる
[1047.329] guam315315: ヘイブンとフラクチャーみたいーー
[1047.638] てとぽおおおおん: ワンチャン２−０あるで
[1047.754] gori9804: やめてね
[1048.794] deepsleep_0: zetaのアイボは...
[1052.670] coleman_log: coleman_log subscribed at Tier 1. They've subscribed for 14 months, currently on a 14 month streak! ZETAWIN!!
[1055.315] eve_p_q: それな
[1056.201] angry_hungry19: わかる
[1058.030] xos_83: フラクチャー帰ってきて
[1059.359] (M)tennkoh: !editcom !result [ZETA vs T1 0-0] BIND 0-0, LOTUS 0-0, SUNSET 0-0 // 20:00~ [TS vs TLN 0-0]
[1059.514] (M)Nightbot: @tennkoh -> The command "!result" has been updated successfully.
[1061.473] sas4m_: ヘイヴンは帰ってきてくれ
[1062.020] khyan225: ヘイヴン返して
[1063.496] trust_me_baka: ヘイヴン早く帰ってこい
[1063.799] teshigana: 控えめに言ってgm
[1064.585] namacobushi: アイボ変わったのにすぐ消えるのな
[1065.080] k0rnefrake: フラクチャーかむばっく！
[1066.818] yuyuoo5: 久しぶりにフラクチャーとかやりたい
[1067.604] muvluv_7: ヘイブン頼む
[1068.676] 立直一発ツモい: チャー返せえええ
[1069.094] 遠心分離機: パールとチャ〜はよ
[1069.277] しーぶん: ヘイヴンかえせ
[1069.415] SseinRJ: アイボ消えるらしいよ
[1069.478] おやつおやつ: フラクチャーみたいよお
[1069.583] (S)hihi1719: hihi1719 subscribed with Prime. 
[1069.785] anjye666: パールPRXが見たい
[1070.012] rion222222: 明らかにブリーズとかピックされてないし消えるやろな
[1070.080] ~MISSING_COMMENTER_INFO~: ヘイヴンｸｶさい 
[1071.576] ベロのブラシ: パールフラクチャーヘイブンないの病気やろ
[1072.338] hiiina1: アイボブリーズアセントさよなら
[1072.620] sas4m_: フラクチャーは競技見るのはいいけど野良コンペでやりたくない
[1074.401] ounansoccer5: 過去一面白くないローテーション
[1077.579] 5hqw: ロータスは勝てる。絶対
[1077.905] afessx: パールもまたヴァイパー必須だからおもんない
[1078.540] yakamochix: ブリーズ二度と来なくていい
[1081.993] ヘルシー鳥皮: ヘイブン帰ってこい
[1083.053] orarann: 次のマスターズで新マップ発表だよ
[1083.873] ~MISSING_COMMENTER_INFO~: Lazヨル来いやー
[1087.671] schwarzekatzzz: ヘイヴン チャーはよ
[1094.507] rion222222: フラクチャー、ヘイブン来たら神
[1095.340] (S)桜鏡月: 桜鏡月 subscribed at Tier 1. They've subscribed for 11 months! 
[1096.744] panitagon: 今のローテ見るのもやるのもおもんないゴミ
[1097.397] sas4m_: パールはアストラです
[1097.879] khyan225: ちゃーおもろいよな
[1098.223] sutorea09: ヘイブンまじで返してくれ
[1098.425] goldendendendenden: 普通にロータス嫌い
[1098.583] anjye666: パールPRXが1番おもろい
[1101.086] sas4m_: アストラ星5個にしてほしい
[1102.505] ounansoccer5: アセントまじでいらん
[1117.883] khyan225: オフメタで自滅するのだけはやめてほしい
[1121.608] 遠心分離機: 基本7MAPやでBANとかもあるから
[1123.622] kirima00: 今どのマップにもヴァイパーいるのどうにかならないのかな
[1131.000] namacobushi: 今日暑くてわろた
[1137.415] SseinRJ: バインドってGEでしか出してないっけ
[1151.358] ベロのブラシ: パール全然全エージェントでるからみててもやってても学びがある
[1151.682] ヘルシー鳥皮: 2-1でもチャンスはある
[1154.037] khyan225: ２－１だとTSがストレートで勝ってくれないといけなくなる
[1154.772] masirokk: コーチがオフメタ好きじゃなかったっけ？
[1156.443] namacobushi: とりま勝ち
[1158.333] (S)steph0030a: 2-1でも可能性はある
[1159.923] orarann: 2-0かつTSがTLNに2-0でおけ
[1161.126] ヘルシー鳥皮: 勝つのが絶対条件だ
[1161.168] k0rnefrake: ハーバーならチェンバー厳しそう
[1161.888] a8mahman: TSが２－０やってくれたらいける
[1164.928] rion222222: 2-0やと希望が広がる
[1166.875] ounansoccer5: 今のマップローテはBANが面白くない。みんなおなじBAN
[1169.112] リーン: はーーい
[1169.388] soysoy7777: 競技シーンのクローヴみてえ
[1171.094] hiiina1: とりあえず勝ってくれ
[1172.560] asapyukun: がんばれ！！！！zeta
[1172.655] ssooooss: 2-0のほうが可能性はもちろん上がる
[1173.253] 5hqw: バンピック変えてきてないし選ばれたマップの勝率T1低いしワンちゃんあるな
[1175.726] unrei_rei: はーい
[1176.900] khyan225: はいー
[1179.177] tary0112: ✊
[1182.287] ねくすとたいむ: 頼むZETA
[1186.727] mitarashidesu: ✊
[1188.067] てとぽおおおおん: zetaが奇跡的に２−０で勝った後にTSが負ける展開だけは勘弁ｗ
[1190.853] orarann: TS負けなそうだから今日勝てばプレイオフや
[1192.095] ~MISSING_COMMENTER_INFO~: がんばれーい
[1193.041] gori9804: 👊
[1197.681] (S)steph0030a: ある
[1197.693] ssooooss: うん
[1199.264] eve_p_q: ある
[1199.511] namacobushi: T1ってなんでこんなに不調なんやろな
[1200.250] pinooooo623: izu可愛いな
[1201.076] khyan225: これ勝ったら普通にプレイオフ
[1201.375] SseinRJ: ある
[1202.121] LafiPresident: ZETAに勝てば
[1202.542] orarann: 余裕である
[1205.531] おいらふんふん: T1もこの試合大事です
[1205.819] めっつびたー: 御託はいいから勝ちゃええねん、頼むわZETA
[1206.256] おやつおやつ: だいぶある
[1209.270] スパッツフェチマスター: でぃびぢょん
[1210.448] unrei_rei: ぜーたでぃびじょん
[1212.149] (S)steph0030a: DFM以外全チームまだワンチャンある
[1213.084] wintr_77: zetaと同じくらいある
[1217.435] khyan225: １－４なのにな
[1218.767] 52133648: お互い命かかってる
[1220.314] eve_p_q: b
[1220.866] namacobushi: b
[1221.074] ゆっきー0714: 2-0で勝ち抜け
[1221.519] ssooooss: 余裕持ってT1ga
[1222.324] ベロのブラシ: アルファが負けすぎてワンチャンあるんかな
[1224.130] rtrt73: t1は2-0必須だっけ
[1224.185] vellggg: グループによって差がありすぎるよな
[1224.232] zerrrrr00: 頼むどー
[1226.971] miya_0828: お互い負けれないはず
[1227.311] unrei_rei: XG不評！？
[1227.459] 早慶近: t1のグループ弱いからなぁ
[1227.627] めんでこ: b
[1229.105] しーぶん: DFM以外とか言うのやめてね
[1230.183] gori9804: 戦う顔してるわ
[1232.294] sebasu000: がんばれ〜
[1232.316] SseinRJ: XGバンされてるやん
[1234.304] ゆっきー0714: T1は2-0で勝ち抜け
[1238.244] namacobushi: hiroron復活しててくれ
[1241.089] tethydle: ZETAってなんかT1と相性悪いイメージある
