[158.365] ~MISSING_COMMENTER_INFO~: 888888888888
[159.228] tiger_x_chicken: 太い
[159.291] haramisaki2145: 勝ちたがりなかったしふーども久しぶり
[159.612] domontyan: きたああああああああああああ
[159.683] shin4567890: おまえり おかえり
[160.289] ぱらだいす12345: らーでぶ！
[160.852] (S)kyouji22: 88888888
[161.147] marumaru6: ブブッ
[161.656] morisaki1996: こんばんは
[162.093] toshioj: ウメちゃあああああああああああん
[162.262] stainless304: うおおおおおおおお
[162.511] 5555454n: ウメちゃんおかえりー
[163.186] junya0430: 半ズボンｗ
[163.261] すぐるん: 音が荒れすぎる
[163.282] lookeezy: eyyyy
[163.470] Le_Dezanusseur: yo
[163.564] tuiteru: きたか
[164.359] rp234: デブ！
[164.963] Papapadad: おかえり
[164.965] crispymkmk: むっちり
[165.351] 5555454n: こんばんはー
[166.407] beehive3: むちむち
[166.790] (S)ororoin: umeSad
[166.882] talytaly2: きたあああ
[166.956] psionicpsi: むっちり
[166.967] touruko: おつかれええええええええええええええええ
[167.332] swayfgc: LETS GO
[167.405] (S)balthazar000: 髪切ったかw
[167.477] leere1017: E
[167.578] mcmonjaa: こんばんは
[167.615] asakura3dayo: アンドリューおる？！
[168.555] bene1201: でぶ2人
[168.621] opbmklo: おおおおおおおお
[168.633] shin4567890: ほんと おかえり
[168.829] crusade893: ですねｗｗｗ
[168.839] TUBE_MAN: きたああああああああ
[168.962] げろげろまる: 今日は小奇麗
[168.970] lecanon: おい ジムちゃうしｗｗｗ
[169.147] helloselektah: KonCha
[169.215] おかりゅう: お疲れ様ー
[169.411] (S)cafe_gondo: 痩せよおおおおおおお
[169.685] 5555454n: ウメハラですね？
[169.706] ぷっち: うめはらぁ・・・ですね
[170.136] kinpren: ウメハラですね
[170.157] okamasa456: 久しぶりやな
[170.834] rakio: ですねｗ
[170.941] suwatei: ぷよぷよ
[171.295] Kentaro44: 太ったか？
[171.554] Aatyu: ウメハラ・・・ですね・・・
[171.724] checker_od: fuudo!
[172.081] ﾃﾄﾗﾝ: リュウ触った？
[172.200] that_japanese_dude: ・・・ですね
[172.472] umeguile: ウメちゃんーーーーーー
[172.535] (B)(S)DaigoTheBeasTV: @Farpenoodle give me sound check
[173.046] no_potechi: 凄く久しぶりな気がする
[173.148] tristana525: 痩せろ～い！
[173.430] sarah_0519: こんばんわ
[173.453] ~MISSING_COMMENTER_INFO~: おつでした
[173.775] zweihandor: 後ろのウメちゃんシュッとしてるな
[173.994] 7yashiki: むちむち
[174.141] yamanekojiro: やせてる？
[174.205] AtomPeter: ウメちゃん痩せて
[174.363] すぐるん: きたー
[174.414] ~MISSING_COMMENTER_INFO~: ビーストプリント汗みたいだなｗ
[174.450] ~MISSING_COMMENTER_INFO~: 痩せた？
[174.592] domontyan: ウメガイル帰還うれしいいいいいいいいいいいいい
[174.955] lookeezy: Kappa
[175.215] koimen: 太ったな
[175.715] junya0430: あんどりゅーｗ
[176.000] ~MISSING_COMMENTER_INFO~: ｗ
[176.665] talytaly2: おひさああああああ
[177.235] 5555454n: 久しぶりすぎだよ
[177.289] 超アンディー: まいど
[177.448] TUBE_MAN: ブヨブヨだなー
[177.583] jipippi: 髪そめた？
[177.753] leere1017: Eリーグ、レッドブル組手お疲れ様でした
[178.128] that_rr: まずは今の腹見せろ デブども
[178.883] black12345: でぶとでぶ
[179.777] 0ship: Squid1
[181.999] kakiseed: RBアピール
[182.101] sugarsato_: レッドブルを飲むな、でぶるぞ
[182.504] koma2007: 痩せる配信開始！！！
[182.726] naoyoshi73: むちむちふーどｗｗｗ
[182.758] umbasaFGC: oroHey
[183.374] tristana525: bull飲むな！
[184.175] lookeezy: ofc redbull lol
[184.356] gos0810: むちむちになってる気がする
[184.788] Pistachius: good morning Daigo and Fuudo
[184.832] rgame_jus: 禁酒してぇ・・・
[184.967] umeguile: ウメ茶ああああああ暗ンンンン
[186.453] bobumakihara1212: ウメちゃんちょっと痩せた？
[186.777] tiger_x_chicken: レッドブルやめれば痩せるぞ
[186.845] 5555454n: え？
[187.096] owa4gamer: 太ってるな―
[187.183] fujikof3: ウメちゃん腕が…
[187.743] omochi_3: まさ飲んでrう
[188.565] (M)Farpenoodle: sounds alright
[189.715] ~MISSING_COMMENTER_INFO~: こんばんわ
[190.142] (S)Daigororo: umeZen
[191.072] crusade893: 反省会しましょう
[191.880] maguru: 太ってるw
[192.387] (S)Daigororo: umeSnooze
[192.599] AtomPeter: 後ろのウメちゃんみたいになって
[193.968] 鷹爪三角脚: ガイルの歩きについて話して～
[194.575] amazon3821: 後ろにウメちゃんおるな
[194.934] UP2Games: ウメ太くなってない？
[195.153] hosp1990: レオタードで来るぞ
[195.642] ~MISSING_COMMENTER_INFO~: 鬼金棒食べてたね
[195.857] sgt1234567: レッドブルがいけないまである
[196.048] すだちー: ブルは太るってｗｗ
[196.125] eoru55: むっちり＆むっちり
[196.296] lipcre: ウメフィギュア
[197.046] hituji_: 短パンの季節
[197.984] げろげろまる: 一瞬長いな
[198.495] 5555454n: ふ～ど痩せた？
[200.087] nacciman: もしかしてジム帰り？
[200.694] Sorachan1144: レッドブル砂糖めっちゃ入ってる？
[201.302] TUBE_MAN: デブANDデブ
[202.051] satoukazuma777: ダイエットするからの～ブルッ
[202.817] タイラーダーデン: フィギュアw
[202.879] supipi123: 一瞬酒飲んだ？
[203.158] じゃむじゃむお: 桜見に行くって言っていらい
