[975.561] 無心に: 野田だけミュートできる？
[976.254] (S)sugi_tree3: アールさんミンサガはガチ勢やぞ
[979.033] johndoe6523rp: サルーインってそんなに強いんですか？
[998.908] tarako330: ウメさんが挑戦するのって極？
[999.743] Rinnegan_666: Owned
[1002.617] bec118_japan: 曲だけは知ってて好きだから聴きたい
[1006.164] une3333: 火力111％ってどれくらい違うんだろう
[1012.754] latenight000: ウメ「ごめん、アール黙ってることって可能？」
[1015.331] (S)ymd1222: 今の防具だと結構大変かもね
[1046.002] prisira: 企画化したし苦戦した方が面白いからおｋじゃない？
[1053.499] (M)gameinntwitch: 今ってノイキャンオフなんかな。ストリームデックのど真ん中のボタンでオンオフ出来るから、オフ状態にしなねー
[1055.478] ジャンクばっち: アールさんちょいちょいサルーインの話してたけどまさかこんな事になるとは
[1064.271] つきよ2223: ウメハラさん、帽子可愛い
[1077.428] bec118_japan: ストリームデックの真ん中了解
[1143.222] つきよ2223: ザンギエフから、ケンをやると楽しそう やっぱり別キャラは気分転換にもなるよね
[1160.527] ribu____: 質問なのですが昇竜コマンドとかを打つ時に最後の↘︎とPを同時に押すのか、↘︎を押した後にPを押しているのかどっちでしょうか。
[1160.737] une3333: すごーい
[1164.617] Rinnegan_666: Ownedd!!!
[1165.112] hack_1993: つっよ
[1168.048] 96473785: あ、
[1169.412] sskfbsts: oof!
[1169.578] sugata128: 松五郎さんつよよ
[1169.783] 滝川投ゲステル: えっ？サルーインとオフライン対戦ですか？楽しみです！
[1187.484] TheDevilsReverse: @rinnegan_666 🤡
[1187.618] Jam10505: サルーインとは何先？
[1187.635] Rinnegan_666: Yametee
[1191.679] hack_1993: ウメさんのニット帽かわゆす
[1194.971] pompom393: ハラ一族
[1206.321] うすおっと: 最近思ったんだが、outfitの購入数を増やすためにデフォコスをわざとださくしたのでは？
[1220.658] つきよ2223: エビハラ VS ウメハラ
[1225.908] Rinnegan_666: @thedevilsreverse fanboy much?
[1230.655] tarako330: デフォコス、ダサいかい？
[1233.358] 96473785: さすがに考えすぎじゃない？
[1239.918] Rinnegan_666: Suck his dick while you at it
[1249.357] aranami0: リリーはちょっと疑ってる
[1252.249] gondawaragon: 考えすぎだしデフォ好きだけどな
[1256.400] tabibitox: 全体的にデフォが当たりだと思うけどな
[1275.001] poposuke: 本体売れなきゃ話にならん
[1285.509] tarako330: リリーってミホークの娘って本当の話なんだっけ？
[1285.795] つきよ2223: この辺のレベルになるて、みんな名の知れたプレイヤーばかりなんかなー？
[1289.131] hack_1993: デフォ好きやけどoutfitかなり凝ったのが多い
[1289.268] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1300.930] (S)箸くれ: ミホークの娘は草
[1302.705] 96473785: 昔からカプコンはかっこいい系をワザと外してくるのはある
[1302.859] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1302.909] ryuken_future: ワールドツアーやればみんなoutfit2手に入るしダサくする意味なさそう
[1322.260] kusomegane123: そういう中足ってもう単発なんやな
[1323.805] tarako330: すまぬ、ワンピースと混ざったw
[1344.277] bec118_japan: デフォコスでキャラの特徴付けをちゃんとしといて、みんなが喜ぶコスを後から出したんだと思うよ
[1346.068] たかんこ: outfit発売前からデザインされてて実装まで半年掛かってるから良くて当然っちゃ当然
[1351.206] つきよ2223: タカシの私服はどうした！？と、思ったけど、まあ嫌いじゃないかな
[1351.912] (S)箸くれ: 同じ一族だけど娘ではないらしいよ
[1357.337] pikachu2_0: DinoDance
[1384.008] hack_1993: OhMyDog
[1384.011] つきよ2223: ワンピース、まさかリメイクが来るとはな
[1389.352] ryuken_future: ブランカのoutfit3はもう一生擦られるものなのかなw？
[1397.825] une3333: Outfitのデザイン凝ってるしすごく良いんだけど、何で色が全部一緒なんだろう...
[1413.536] Rinnegan_666: 💀☠️
[1413.728] hack_1993: ワンピースリメイクくるし、スピンオフ？のリューマの話がアニメ化する
[1417.265] (S)イエール: ウメちゃんこんにちは！
[1432.376] つきよ2223: ルーク強いなー
[1440.075] esutark: 年末のウメちゃんの相手
[1451.023] tarako330: 自分は曲がキャラによってはそこまで好きになれんかな特にリュウ
[1523.689] 蝉時雨: その蹴り素で使う人いたんや
[1532.353] つきよ2223: レッドブル、翼を授ける
[1541.055] shochann: サルーイン終わった？
[1548.384] つきよ2223: ウメちゃんも、今はさすがに寒いのかな
[1552.794] suupu: 今夜
[1553.694] bec118_japan: 確か1930から
[1567.188] ryuken_future: リュウの曲はむしろトレモで毎回リュウ選ぶぐらい好きだな
[1573.279] (S)箸くれ: 実況って意味わからんよな
[1611.412] bec118_japan: うぉおおwww
[1615.466] 超ゲジゲジ: あちい
[1618.487] hack_1993: これは緊張する
[1619.816] sskfbsts: Close one!
[1632.621] esutark: いまのよく勝てたな
[1648.607] つきよ2223: ジャストパリィ！
[1667.420] かるぱちた: うまあ
[1670.809] hack_1993: つぇえ
[1672.843] tarako330: そう言えばプレイヤーがキャラのコス案出せるのって何かの大会に勝つと出来るん？
[1673.317] prisira: 魔法の中パン
[1679.683] つきよ2223: 長期戦になるほど、ウメハラ有利な気がしている
[1683.910] prisira: ＣＣ
[1697.882] (S)箸くれ: 亀ゆえに
[1712.472] jagajaga1943: ルーク道着系じゃ一番強くね
[1714.011] (S)箸くれ: 🐢
[1736.415] poposuke: 6でもやるのかは不明じゃないか。覇者コス
[1737.202] 96473785: 最近はルーク強いってよく聞くねー
[1740.026] bec118_japan: 耐えたー
[1760.390] latenight000: 大会の結果だけで見ればルークは一番勝ってるね。最強キャラかはわからんが。
[1762.713] prisira: ルークは稼働初期から強かったしな
[1780.644] つきよ2223: 6って、これまでの全部乗せって感じだから、いつかやりそう
[1797.610] bec118_japan: まだよね？
[1830.866] Rinnegan_666: @thedevilsreverse your got raped anything else you want to say?
[1836.028] つきよ2223: 未だに、弱かった時期がないルーク
[1838.840] ミジンコ隊長: つよー
[1846.008] SAVAGE_AZZAZZIN: @Rinnegan_666 ?
[1849.973] tarako330: 豪鬼強いといいねー
[1861.638] Rinnegan_666: Ggs
[1864.821] shin_akito: ルークは追加入力技も割と強くしてあるわよね
[1869.309] prisira: ルークはジャスト問題さえクリアできればいいけどラグあったらきついよな
[1891.164] つきよ2223: 豪鬼が弱いって、イヤよな
[1899.202] bec118_japan: マジで人いるね
[1913.945] prisira: 豪鬼はかなり調整むずいと思う強いと胴着全部死ぬし
[1914.076] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1926.873] tarako330: シリーズでいけば体力低くて他の性能が高いとかなのかね
[1927.561] ryuken_future: ケンの白胴着まじでかっこいいよなぁ
[1933.950] une3333: DFM、FAVからスパー頼まれたりとかないかしら
[1942.701] ニューキングハナハナ: 過去シリーズで豪鬼が弱キャラだったことってあったっけ？
[1954.823] shin_akito: このゲームで体力低いキャラがどれだけパワー発揮出来るかって感じになりそうよね
[1956.440] bec118_japan: かと言って新キャラがずっと弱いのは販促の意味でも微妙だと思うんよなー
[1972.346] つきよ2223: JP作っておいて、今さら追加キャラにひよらないで欲しいな、少し壊れ性能なくらいが良い～1年は
[1979.503] shin_akito: スト5の後半〜終盤は中堅
[1981.239] (S)ましゅダヨ: おはよううめちゃん〜！
[1990.295] (S)オシュ: 豪鬼って最初壊れで年々弱くなっていくイメージがある
[2008.176] prisira: 壊れは流石にいらんが強いといいな
[2040.564] (S)おいしいごはん_: うおお
[2041.887] donachan: うっま
[2048.272] tarako330: SA1が滅殺豪波動、SA2が禊、SA3が瞬獄かね。
[2057.073] つきよ2223: ときど豪鬼 見たいね やっぱ
[2070.671] shin_akito: リュウは最強じゃなくて良いからねスパ2Xぐらいには強くあってほしい
[2071.362] (S)keel_116: さっきからすごい差し合い
[2079.717] prisira: 豪鬼出てケンがどうなるか
[2082.677] latenight000: 瞬獄殺は発生1Fのままなのか、ザンギのSA3と同じ感じで遅くなるのか
[2086.274] suupu: caが瞬獄殺とか
[2103.577] bec118_japan: ある
[2108.983] shin_akito: 瞬獄殺SA2の可能性もあるし
[2117.034] tarako330: そうからcaは天ってでるかもね
[2135.124] donachan: あぁぁ
[2137.588] Rinnegan_666: NotLikeThis
[2139.113] suupu: ジェイミーのおわげきみたいな演出
[2144.205] tarako330: 隕石破壊したのって禊だっけ
[2158.475] balthazar000: 瞬獄は演出もあるからSA3かなぁ
[2165.333] つきよ2223: ウメハラに白ケンで挑むとは！
[2176.604] shin_akito: 下から突き上げる技だから禊じゃないんじゃないかな
[2196.578] ~MISSING_COMMENTER_INFO~: balrog is still vega anoyin
[2206.273] tarako330: あれ真上からチョップで攻撃じゃなかったっけ？禊
[2215.383] prisira: スト６だと百鬼と斬空の性能どうなるかね
[2219.253] tsukikage_saga: ウメちゃんこんにちは！19：30頃から野田実況によるサルーイン楽しみにしてます！
[2253.983] shin_akito: 普通の斬空はともかくOD斬空よね…
[2254.082] tabibitox: もっけ
[2255.251] maya_g01: 史上
[2258.474] tarako330: もけ
[2259.949] balthazar000: 隕石破壊は大赤焉って技らしい
[2261.461] (S)artri4: 最高
[2266.508] prisira: 最強のもけきた
[2274.098] つきよ2223: お、もけさん？
[2285.094] une3333: もけさんこのコスなのね
[2297.875] balthazar000: 魚群カラーか
[2312.407] tabibitox: 春麗使い結局皆中足差し込むスタイルじゃなく下がるスタイルになったな
[2312.531] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[2331.663] (S)artri4: なかなか割れないな
[2339.661] (S)frodo0922: Hi Daigo
[2343.891] shin_akito: 足が異様に速いガイル
[2350.831] (S)ましゅダヨ: サルーイン19:30からか！
[2351.584] akira_s_: タイムオーバーか
[2359.527] une3333: すごいｗ
[2368.387] akira_s_: umeBlocking
[2377.902] esutark: そういうのもあるのか
[2399.492] godiva_matsui: ♰もけ♰
[2400.024] bec118_japan: Tのロゴかっけぇー
[2407.575] akira_s_: 手なっが
[2411.437] つきよ2223: タイムオーバー、自分は全然ならん
[2426.581] (S)ましゅダヨ: 虎視眈々と狙ってますねぇⅡもけⅡさんw
[2432.241] akira_s_: リーサルありそう
[2435.141] (S)ましゅダヨ: ちかっw
[2449.457] takahashiseigi: スト5再来
[2453.627] tabibitox: いった
[2454.760] (S)vaio_95: アイイイイイイイ
[2456.777] akira_s_: 我慢できんかった
[2457.802] shin_akito: 我慢した〜
[2462.988] Very_Bad_Fish: lmao
[2465.479] Chris_Tatarian: perfect display of patience
[2466.632] rebando: 読み勝ち
[2472.839] つきよ2223: １試合1試合、相当疲れるだろうなー
[2475.497] bec118_japan: MRうめぇー
[2479.160] Chris_Tatarian: that last round was something worth studying for sure
[2486.180] Rinnegan_666: Turtle match is the bedt to watch
[2496.740] tabibitox: 下がりつつちょっと前でてコパン強すぎ
[2526.661] shin_akito: やっぱ弾ジャスパは中間距離戦必須やなあ
[2526.783] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[2551.683] bec118_japan: よく見たらping8msって同棲してない？？
[2566.958] tabibitox: 溜まらんぞもけｗ
[2571.129] (S)frodo0922: socind timeout dang
[2572.407] chicken_dumpling: SF6 is finally slowing down. early days every round finishes in 20 seconds.
[2572.603] jagajaga1943: スト5ですかこれは
[2576.220] flashbacks18: w
[2580.134] (S)オシュ: 空振りでゲージたまらないのに昇龍素振りあるある
[2581.053] bec118_japan: 当てないとねww
[2587.551] takahashiseigi: スト5にようこそ
[2593.497] esutark: 意地の戦い
[2594.215] (S)vaio_95: 俺はいいよ？と
