[526.138] kumatedd: ねこの種類
[526.902] rin_p15: 料理ツイートの話して
[527.672] surokun777: 彼女出来たの？
[527.893] (S)varoshi: おうちの猫の話
[532.383] 1300kkw: ３方の音量ちょいあげてほしい
[535.817] Mitarashi0406: 彼女できたの？w
[536.353] ~MISSING_COMMENTER_INFO~: Amazonプライムも1億人超えたんだっけ？
[537.109] vaaaans0614: ゲーム画面より配信の画面大きくして
[537.797] インドラー: ふ～どいつ？
[539.292] emrld_s: 一日に摂取している糖質の量は？
[539.599] 3sn7im: 家は持ち家？
[541.155] (S)もけたわけ: 左の人だれですか？
[541.248] canon_203: アンドリューケーキ配信
[543.649] (S)ohnumakunio: アンドリューとは配信
[553.818] nup1965: 猫はどこで拾ったの？
[559.007] sasasf5: 吉ケンさんｗ
[564.423] vaaaans0614: ゲーム画面より配信画面大きくして
[566.026] build1204: ワイプもうちょっと大きくできますね
[574.270] zyagamon: 喋る度に一々翻訳してたね
[575.131] domontyan: キチパ昨日はこのメナトに苦戦したたのにやるな
[582.000] oleo0227: 行動力あるなあ
[584.129] stylesxd3: ResidentSleeper
[586.120] emrld_s: アンドリューはどこで日本語習ったの？
[586.392] zyagamon: へぇー
[589.165] Mitarashi0406: 最初の翻訳してた人は全然英語できない人だったね
[593.451] sagecomand: それで仕事来るんだからすげーな
[594.973] juukinrou: マネージャー有能
[595.465] canon_203: アンドリュー自分でやってたんだ
[599.610] cafe_gondo: お店作るとかの話は？
[599.927] hadogamosenpai: ウメちゃん 生で ねぶた祭り見たことある？
[603.404] roytaly: なるほどー
[605.483] bacchuskou: 元々レッドブルかツイッチの人かとおもってた
[605.927] rt340: へー
[608.224] (S)MadEggMania: そのせいで仕事やめてこんなことに・・・
[611.561] domontyan: アールさんきたあああ
[611.752] satoukazuma777: みんな左側の音声強めなのが気になる
[612.209] burisuke: 是空さん
[612.726] (S)ohnumakunio: アンドリューあまりにも有能
[613.138] zyagamon: ケンジさん、面白いから好きよ
[616.563] clear_asahi: あーるさんｗ
[621.719] MAMEDEtuPOU: 非公式でもともとやってたのかー
[621.924] Ceciltaisa: いってみましょー
[622.049] kumatedd: おっ
[622.588] imurilove: 是空じゃないんか〜い
[624.200] tissuepaper857: うるさいやつきた
[624.266] Imaise: アールさーん
[624.764] cafe_gondo: 是空さんや！
[626.639] juukinrou: 海外大会の実況をつとめるまでに
[627.011] canon_203: アンドリュー行動力あるなー
[628.046] makibisi8787: アールとウメちゃんの絡み久しぶりに見るな
[628.579] kousen17: 龍
[629.420] masakiti42: 是空配信か
[630.693] (S)maruku0: umeFail
[631.031] domontyan: 応援配信にしては豪華
[632.738] Kanquez05: アンドリューもこの2年でかなり日本語上手になったね
[634.340] 山田たろう太郎: けものみせ
[634.523] Mitarashi0406: ウルダイに昇格した是空さんやん
[634.776] Heracles_12: アンドリューどうやって日本語を勉強したの？
[635.541] rin_p15: 龍 龍
[635.777] csfiyingv: アールさんダァ
[637.033] burisuke: コスプレ大会も期待していいの？
[637.235] dwbh0220: 龍
[637.657] akiaki0612: ゲーム画面小さくていいんじゃない？
[638.789] kyouji22: 今日豪華ですな
[639.807] inugoya777: ベトナムの絵が汚いなｗ
[640.033] kiku1133: まじかー
[641.115] (S)ma6_uv: おっさんづいてきたね
[641.592] prefabcat: 自衛隊学校の英語教師だった
[643.220] build1204: 実況のためだけに呼んでだのかなw
[644.235] kumatedd: 不動産屋は配信おっけーなのか
[645.408] bacchuskou: 当然配信もあるんですよね？
[646.043] scottiever06: 是空さんとの絡み
[648.258] fine287: アールさんこんにちは
[653.085] canon_203: 最近アンドリュー海外でも司会してるし
[653.421] Ceciltaisa: 雑談で良いのよ
[655.087] zyagamon: 始まる気配ないらしい
[657.749] kgtgttjggttjjjjttt: ほんま行動力の化け物やな
[660.365] emrld_s: アンドリューはどこで日本語学んだの？
[662.831] vovovoooooo: アンドリューが住んでるところが自分の実家から近くて驚いたわ
[664.042] oleo0227: 是空が疾駆けしてきたか
[667.089] imurilove: 始まるまでナウマンのFEでも見る？
[667.393] kumatedd: めっちゃ押しそうやな
[670.975] tazyramza: ジュース買ってきてもよさそう？
[672.305] 乱火隊長: おアールさん来たー
[673.255] scottiever06: 果たして終わるのかｗ
[675.155] otogibanashi: 行動力見習いたい
[675.318] zyagamon: 昔話すれば？
