[801.773] nonnon1990: ヌキローはマジで覇権だからみんな見た方がいい
[805.381] (S)名倉やないかい: オウガバトルは神ゲーだった
[818.756] Ramuneco: 前評判では和風ダクソ、発売してみたらダクソ系じゃなかったけど開発が同じ
[819.077] (S)kurataro: ヌキロー音量注意ね
[827.054] ~MISSING_COMMENTER_INFO~: 鉄拳はじめよう
[831.304] (S)売れないバンドマン41: ウメちゃんヒゲ似合うね
[836.490] okitakai: ヌキローは笑いっぱなしだったわ
[837.169] NAOjpp: シュミレーションゲームで良いと思うが。
[847.103] ~MISSING_COMMENTER_INFO~: 今期のエルフどうですか？
[848.930] ~MISSING_COMMENTER_INFO~: あごひげって剃るのめんどくさいから伸ばしてるの？
[859.846] balthazar000: 配信部屋こさえたから、猫おらんのか。
[862.894] ヘルプさん: インフィルはデビルメイクライしてる
[874.964] (S)shopynis: うちの父がジレット使ってたよｗ
[892.515] ヘルプさん: うおおおｗ
[896.162] roytaly: アグロはやる気なくなるよねー
[896.304] balthazar000: ウメさんのアクションゲーは何か見てみたいな
[896.517] ヘルプさん: なんや勇者ｗ
[913.086] 平本: 今のエルフはマシンランス二回攻撃が熱いですよ
[921.372] ~MISSING_COMMENTER_INFO~: いたざんはロックマンよくやってるわ
[934.894] あばたあ: 最近翠嵐軸とは別で強デッキあるみたいだけど。20連勝記録したものもある
[1001.118] (S)eremin_39: umeFail
[1023.694] (S)nabenights: 見れないんだけど俺だけ？
[1031.948] ヘルプさん: わいも調子わるい
[1032.541] ~MISSING_COMMENTER_INFO~: 自分も見れない
[1032.752] (S)i_am_spartan300: なんか止まってた
[1035.513] (S)kurataro: 配信が止まってるね
[1037.731] (S)eremin_39: 動いたよ
[1038.305] toshioj: 俺もぶっつんぶっつんなってたから更新した
[1040.789] 平本: 戻りましたね
[1042.190] あばたあ: オフラインなったね
[1043.805] さきがみ: 再接続してる
[1044.265] (S)みっかぼうず: 自分も
[1044.566] (S)kurataro: うちだけかと思った
[1046.595] owaiwaiwai: もどった
[1049.120] ~MISSING_COMMENTER_INFO~: マシンランスって発言した瞬間止まった
[1057.083] あばたあ: 復活！
[1065.515] (S)shopynis: プーンコウル４やってる
[1072.345] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1098.738] toshioj: ウメちゃん配線切った？
