[293.344] (S)わたあめワゴン: かわいい
[293.406] (S)ジョニー中本: スタッフが！
[293.407] inui06310: かわいい
[293.423] yudedako: また可愛い子
[293.705] aiueo03: ガールいるじゃねえか
[295.218] ほねこっぷ: 誰？？
[295.978] テンカワ: かわいい
[296.180] tata0123456: むむむむむ
[296.210] (S)banana877308: くっそかわいいやん
[296.864] fen6te: なるガール
[296.890] たかゆきくんさん: かわいい
[297.492] ksn0127: かわいい
[297.536] (S)nononono_uhoho: くそーーー
[297.993] takashiintothevoid: 綺麗なたぬかな
[298.150] popo_golira: 顔ひきすぎろ
[298.798] (S)オルコッ党員: こらスタッフ！！（羨ましい
[298.990] (S)otera_8989: 美人だ
[299.059] doublepush_da: きゃわわ
[299.650] (S)たけお926: 可愛い
[300.427] たかゆきくんさん: 声までかわいい
[300.672] umechin7: スタッフの人？
[300.845] 破天荒田中: なるお テンアゲ
[300.951] (S)a9toad: かわいい
[301.136] (S)Bron61: まーじかよ
[301.360] nakamurahima: なるガール
[302.901] TUBE_MAN: いいなぁ！
[303.146] (S)teitei0343: やってないのに！？
[303.213] レベルゼロ: やってないけど見てる人やっぱ多いんだなぁ
[303.433] あすか002: 浮気か？
[303.898] X_March_X: なんかむかつく
[304.097] okoge2: かわいい
[304.182] 山もっちゃん: かわよ
[304.382] 水増し: えd
[304.514] 7qojisan: なるお俺悔しいよ
[305.145] (S)オルコッ党員: かわよー
[305.772] おかあさんいつも: まじで美人
[306.685] (S)lovepeace369: ありがとおおおお
[306.686] pacifico35: 1番可愛いやん
[306.714] ほねこっぷ: 綺麗なたぬかなwwww
[306.715] (S)asukabunka_atakku: かわゆい
[307.486] (S)もんもんもん: ニヤニヤしやがって
[307.758] テンカワ: ペペさんの配信も見ろ！
[307.764] お友達2世: デレデレやないかい
[308.394] tata0123456: 肩組め
[308.447] みや1021: でれでれやんけ
[308.500] spellbound0401: アイドルだろこれ
[309.325] (S)asayake_cider: かわいいスタッフさん
[309.346] (S)10jqka: おお
[309.380] (S)めしをくえ: この汚いチャットも観てるのか？
[309.555] (S)nononono_uhoho: ごーちゃん
[309.563] (S)naosu7: ナルガール
[309.915] (S)MasudaTheMenace: GO1
[310.087] (S)neonkzsyou: ありがてー
[310.162] tarouhonmono: やってないのに見てるは本物
[310.270] saibabasan: 動画勢
[311.191] ライム_: うめ
[311.245] guest324438: 岸田
[311.430] tukiusagi96: ナンパか？
[312.641] (S)ジョニー中本: ごーちゃん！！
[312.643] daisya1919: ごーちゃん
[312.682] (S)~MISSING_COMMENTER_INFO~: 横やってないのにこれはすごい時代や
[313.554] (S)roval789: 岸田
[314.208] Deaxxaed: あ
[314.578] (S)雑食: GO1
[314.750] ハゲエギル: GO1さんだ
[315.245] (S)Lambda_Delta_: かわいい
[315.479] roziumu: ごーちゃんや
[316.014] (S)TNTNBRN: GOちゃん！
[316.646] (S)みなぷ080821_: (たぶん見てない)
[316.889] (S)asayake_cider: あ～
[317.063] (S)teitei0343: GOちゃん！
[317.282] (S)Kuromaru24: ごーちゃん！
[318.120] アメフト: どこで配信知るんだよ笑
[318.212] (S)neonkzsyou: ごーわん
[318.409] (S)hiroumi_sea: 声かわよ
[318.525] (S)gettyozi: 次から次へと
[318.936] (S)naosu7: GO1！！
[319.235] popo_golira: GOちゃん
[321.472] kaworuko19: 西のウメ
[326.298] (S)takumaru23: しゃーなし
[327.016] (S)emptyeyes666: みんな負けちまった
[328.216] (S)nen_100: ターンエーだ
[328.289] (S)雑食: ごーちゃんも散った？
[329.402] (S)teitei0343: GOちゃんですらか
[334.415] puyo2007: まじかー
[337.833] X_March_X: 企業ブースまわってもよさそう
[346.950] おかあさんいつも: ひぐちはどうなんだろうか
[349.208] 7qojisan: 誰が残ってんだよもう
[349.889] カロカロ君: 6人しか残らないんだもんな
[350.374] ほねこっぷ: なんかgo1ふっくらしたな
[350.755] number29yona: GOちゃんはあきらだから
[354.607] yamy_r: ひぐちもまけ
[354.697] number29yona: ひぐちは敗退
[358.543] (S)ジョニー中本: お
[359.791] (S)asayake_cider: ネームドが負けてくんだな
[359.908] おかあさんいつも: まじか
[364.520] あすか002: ルーザーズがえぐいんよ
[364.577] (S)たんや王: 格ゲー界のウメハラも負けたって聞いたわ
[365.829] ほねこっぷ: えひぐちも
[366.104] (S)simetu_no_maeba: ザンギさん！！
[366.669] kenshi0331: ごーちゃんでかくなってたな
[368.594] haguremetal777: ひろみき
[370.606] うーたんんんっ: メナパンクまだとかいるの？
[370.978] まるる8800: ひろみき？
[372.247] (S)雑食: タチ気になってるけど映ってるとこ見れない
[372.732] テンカワ: 大谷板z
