[113.800] (S)ふぁっふぁ: hiirag17Boss
[113.873] (S)るぁ__: こん！
[113.923] (S)qoo6649: やった～！！
[113.989] (S)pariri622: おめでとー！！
[114.029] (S)udonprin: (งД)งｳｵｰ
[114.094] (S)キモータ: BloodTrail
[114.099] (S)れあちゃー: ふぁいとー！
[114.249] ろた_0417: コーチ気になる
[114.452] (S)あるぼい: うおおおおおおおおおおお
[114.552] (S)misanga22: 8888888888
[114.584] (S)yuyu_s: うおおおおおおおお！
[114.750] (S)きのころ: よいしょ～～～～～～
[115.244] (S)うみゅねむ: ８８８８８８８８８８８
[115.550] (S)08ryyyyy: hiirag17Fight
[115.701] tookuyaa6: 88888
[115.818] (S)beemelyum: 👏👏👏👏👏👏
[115.818] (S)琥太郎です: おめでとー！
[116.008] (S)うどん太郎: ふぁいとー
[116.222] れもねーどです: ぱふぱふ
[116.225] (S)tommyykknn: hiirag17Fight
[116.235] natsuk126: 88888
[116.614] banananokobun: 888888
[116.660] loot446: ８８８８８８８８８
[116.846] (S)わいへいち: 888888
[116.938] sakuraisatorujp: うおおおおおおお
[117.152] (S)manowa_1: おめでとう！
[117.300] (S)yamu_ymym: hiirag17Fight
[117.378] yanicom: 8888
[117.795] (S)くまマリー: 88888
[117.914] (S)zuu_mg: おめでとー888888
[117.985] (S)tetedayo_: おめでとう！！
[118.057] nico__256: 888888
[118.108] (S)yapland: hiirag17Nice
[118.115] (S)Haru_Hanami: おめでとうー！！！
[118.300] (S)yukimaru0609: hiirag17Boss
[118.318] tairu167: いえー
[118.554] (S)motiizu: 8888888
[118.869] (S)左久良深琴: おめでとうございます🎉
[118.931] (S)ニャンニャンこ: 88888888
[119.005] (S)mint_chipss: がんばれ
[119.018] (S)ツルツルギ: 88888888888
[119.086] (S)omarukun_96: 88888888
[119.187] (S)the_goku_sf: 8888888
[119.220] (S)ぷくてん: やったーー！
[119.239] (S)gomayuri: がんばれー
[119.406] ~MISSING_COMMENTER_INFO~: TwitchConHYPE
[119.427] (S)marui_ao: おめ！
[119.640] (S)yuyu_s: hiirag17Fight
[119.913] (S)ryo_8697: ナイスー
[120.226] hitu_non: 88888888
[120.634] (S)uradeximiru2sei: hiirag17Nice
[120.651] (S)ゆずレモン3: おめでとうー！
[120.849] (S)moteamotea: おめでとうー
[120.856] (S)hotatechang55: きたな
[120.892] (S)みじんコ: 888888
[121.057] (S)hayatekawayu: クラシックですか！？
[121.236] (S)kame2983: うおおおおおおおお！
