[8.571] フﾄ: umetya-nn!
[590.558] foxnao: チェストぉー
[590.865] tibusa8: お前も敵か？は擦っていきたいね
[592.735] チョコミんト: 63！？
[605.241] ホナウド: ウメさんにもNG出される人って何をやったんだろう
[613.045] (S)kwsk3: あと、話作ったろ？は使っていきたい
[621.304] shiro_risu01: そうそうkskアールこく3人のゲームよかったね
[622.610] adachikujin: 詐欺
[623.279] mrhams1: umera your 40 year?👊👺
[625.147] meganesandesuyo: ウメちゃんのNGは気になった
[629.466] しぶやひろし: く、くろ、、
[631.267] (S)blackcoffee0821: 擦らなくてもいい
[631.387] kaigaizei: 絶対そんな擦れる発言じゃないのにKSKなら許される感がある
[637.145] 将門ゴルゴロ: 39
[637.150] ﾃﾄﾗﾝ: ゲーセン仲間に色んな商法吹き込んで金をとったとかじゃないですかね（適当）
[644.134] une3333: え、ウメちゃんってNGいるんだｗ
[650.957] kbjn10mg: そりゃニュースでちゃったらNGだろう
[651.805] (S)itoooo_o: こんにちは 
[656.144] (S)kwsk3: 一定数いるよなぁ…そういううんこみたいなやつ
[659.074] mrhams1: is baby figther 
[659.646] takuyatakuyatakuya: ダイヤのリュウつよ
[660.604] Leifgoeslive: PogChamp
[661.921] tabibitox: 固いたかしや
[669.149] umeguile: つよい
[672.207] shiro_risu01: こくにいは話を盛る傾向あるらしいから後は本人同士話し合うんじゃね？
[681.550] kaigaizei: 都市伝説よりウェイのほうがタチ悪そう
[696.478] hato_pizza: うっわこわ
[698.737] (S)zappnn: こわい
[706.488] (S)kwsk3: 電気ビリビリ
[709.333] girotin89: 俺より強いやつに会いに行き続けた成れの果てのたかし
[709.650] 将門ゴルゴロ: こくにいカタンでは話作ってたｗ
[710.760] 平和太郎: こんにちは
[711.201] une3333: あぶねえｗ
[715.338] omochi09: こんちわー
[717.332] psycho_yuki: lol 63 wins
[718.426] mrhams1: im Real arcade gameur no ranked👺
[731.444] mrhams1: Nevers
[732.023] une3333: しつれーーーい
[735.214] niemalsaufgeben: うま
[735.994] mmiiacha: ゲンコツよ
[740.313] (S)kwsk3: しつれいけん！
[745.368] さんとり: ああこういうやつね、って感じが伝わってくるｗ
[745.457] しぶやひろし: ちなみにネカリはビリビリくらっても骨見えません、骨無しですあいつは
[749.708] chaperone6: 観てるこっちが連勝止まりそうでヒヤヒヤしてるのに、当の本人は無関心なの笑えてくる
[751.359] だわさワサワサ: かなりぐるぐるなるな。ウチだけだろうか
[754.819] mohumonn120: じじたかし可愛そう
[760.820] たあぼ0126: うま
[778.886] (S)Bakobako1234: 衰えて入り身しかできなくなったたかし
[780.919] 新福菜館マン: 絶対NGって金銭とかマルチ商法しかないわな
[781.157] (S)kwsk3: 骨なしネカリとかこわすぎんよ〜
[782.026] mrhams1: ranked all baby 
[783.642] makiwari_: リアルでDIOになったって人がどんな人で何をしたのかとても気になる
[785.335] (S)zappnn: いまのところうちは問題ないな
[786.615] (S)blackcoffee0821: 今日は60から？
[786.791] かささぎ: カタンとかのボドゲは自宅の暇な時間にはサイコー
[799.043] tibusa8: 今のところ通常通りよ
[800.107] 緑ぺこ: UR 無の境地ウメ
[801.142] だいこん_: 63WINS草
[802.483] InstantRiot: 64! 
[803.409] 不渡哲也: 61から
[805.346] une3333: リュウの人ってランク帯より一回りくらい強く見えるのなんでなんだろう
[806.218] hato_pizza: いやー怖くてガードしちゃうけどな
