[81.465] 쿠마꾸마: わこさかー
[81.525] mafumafu08: こえかっこよい
[81.570] (S)chi1ibo: はーい
[81.573] nnm0718: めっちゃ良い感じ！
[81.604] しょげネコ: わこさか〜
[81.675] (S)b_chizu: いつも通り
[81.961] (S)でざお: わこさか～
[82.078] (S)hiiragi_side: 良い感じです
[82.172] ankoromotixx: ちょうど良き
[82.186] mini_tomato_: いい感じ
[82.401] (S)sapasa: おけー
[82.494] yuriuuu2: 大丈夫ー！
[82.703] (S)akiponpon_k: 今日も良い声してます！
[82.890] choco_chan1031: 音量もよき
[82.890] (S)NaoMiiii_3: 大丈夫です！
[83.064] morning_tea828: 丁度いい！！
[83.070] kaaaaa1024: いい感じ
[83.176] (S)nnk_pop: cheer500
[83.179] (S)07FZK: いい感じです
[83.273] いくみんみん: ちょうどいい
[83.929] (S)ruto1225: いい声
[84.029] (S)L__0u0: 了解です！
[84.223] (S)sudachim: 了解
[84.254] (S)ayu_tmm: 今はちょうどいいです
[84.275] (S)満月: ちょっと小さい
[84.318] (S)okome_taberu: はーい
[84.445] むーちん: 問題ない〜
[84.481] てるたです: ぬとぬとだよ相変わらず
[84.800] (S)亜弥ノエル: はいよ
[84.918] papico_2419: 良い感じ
[84.926] (S)kazunoko016: ちょうどいい〜
[85.356] (S)じゅれ_: いい感じ
[85.575] (S)yuttan_m: いい感じです！
[85.578] (S)荒木なぎさ: 了解です！
[85.622] amagurinatto: わこさかー
[85.984] (S)はちねこ: いい感じです
[86.688] sirokuro_713: 了解です(*`･ω･)ゞ
[86.689] (S)kohki_s: おけです！
[86.689] o__m__i: はい
[86.732] no_ramen_no_life: いい感じ
[86.927] (S)ゆてぃ_: はーい
[86.953] koby620: 今はいい感じです♪
[87.174] neco_888: いい感じです
[87.187] daruma0665: いつも通り低くていい声です
[87.543] no2ko: 問題ないよ？よい感じ
[87.700] (S)くろりか: いい感じー
[87.996] (S)sazanami28: わこさか〜
[88.076] (S)matsuhe2022: こまめに了解
[88.379] takosan_deko: こんばんは、聞こえますよ！
[88.654] gemarurampage: いい感じです
[88.748] kaaaaa1024: ok
[88.812] ユマユマ: わこさか
[89.065] ジダ: わこさか〜！
[89.239] kamiki02: 相変わらずいい声してますよ
[89.492] nnmiio: いい感じです！
[89.714] f___non: すごく良い声
[90.096] (S)nugget3150: おけ！
[90.291] non_i: いい感じです！
[90.507] (S)maga_1897: ちょうどいいよー
[90.516] junsei610: 大丈夫ですよ〜
[90.517] lliiiillliiiilll: いい感じです
[91.038] kani_nee: ええ感じ
[91.074] (S)キレる17秒前: チームの方が喋ったときかな
[91.114] お_か_ら: 今のところ大丈夫
[91.198] _はづき: ちょうどいいです！
[91.231] nikonikosannn: わこさか！
[91.362] hihachiyo1290: わこさか～
[91.420] (S)ak6141126: 了解です
[91.502] ariworip: いい感じです
[91.549] (S)ur0co: いい感じです
[91.697] oppapaio: ぬとぬと
[91.824] (S)くりーみーじぇのべーぜ: いい感じ！
[91.831] (S)ゆてぃ_: 今はいい感じ
[91.987] あぃりす: 前はもっと大きく聞こえてた！
[92.188] michippe: 大丈夫よ〜
[92.212] (S)まっきまっき: わこさか～
[92.421] いくみんみん: 今日もええこえやで
[92.567] (S)96wuroncha: わこさかですー
[93.471] pyukokko: こまめ了解
[93.809] (S)hiiiiro_o: ビタでばっちりです
[94.090] chat__noir08: 今のところいい感じよ！
[94.303] はっっっちゃん: 了解
[94.585] hamati__: なんならいつもよりクリアな気する
[95.298] (S)ゆうひ__: わこさかー
[95.982] soudaaayo: わこさか〜
[96.128] gemarurampage: 声ちょっと低いです
[96.785] (S)moracle101205: 音量系ね！
[96.967] o3o_l_: いつも通りな気がする
[97.048] るなたそ: 相変わらずのいい声です。
[97.911] tym_namacchi: 良い感じよ
[98.313] gahaha222: わこさか
[98.721] (S)okome_taberu: ええ声やね
[99.585] (S)tak0811: ちょっと小さい
[99.893] makao_joma: 了解！
[99.998] hnkjntm: いい感じ！
[102.184] (S)hiiiiro_o: Cheer100
[102.199] (S)ゆうひ__: Cheer100
[102.459] hachi_j8: 今日もイケボですな
[102.679] ~MISSING_COMMENTER_INFO~: わこさかです
[103.419] (S)michikaaa_: わこさか～
[104.008] (S)らうぃ: 確かに音質いいけど音小さい
[104.314] (S)たなか_たろう: Cheer500 New PCだ〜〜！音いまのとこ大丈夫！
[105.239] suziki_: 今の所いつも通り落ち着く感じしてます
[105.494] kaaaaa1024: 何かあったら言います！
[105.673] (S)sido_aka: 画質いい
[106.697] mayumayuuuu: 小さくも大きくもなくちょうど良し👍
[107.111] (S)maga_1897: Windows11ですね
[107.331] さとみ_1014: 声の音量ちょうどよいです！
[107.967] ringring_rin: 音量指示厨するわ笑笑笑
[108.039] sirokuro_713: うるさくないです！
[108.200] sakumasaku029: いい感じ
[109.048] (S)おるた_: 全然いい感じじゃん
[110.091] (S)kuro_nekotan: 大丈夫よー！
[110.262] komarata: 全然大丈夫
[111.044] chaden86: わこさか
[111.270] mss_1120: 声が重低音
[111.476] pote_r: 気持ち小さいか？
[112.775] (S)matsuhe2022: 問題なしよー
[112.891] (S)kohki_s: 問題ねっす！！
[113.043] (S)hachannNn3: いい感じにイケボだよ
[113.772] (S)かるぼなーら: 全体的に小さいかな
[114.061] (S)ayu_tmm: いい感じです
[114.131] (S)sudachim: 大丈夫やで
[114.992] (S)ゆてぃ_: 大丈夫！
[115.228] hnkjntm: 大丈夫だよ～
[115.636] (S)アントサン: 良
[115.695] kaaaaa1024: 全然大丈夫！
[116.115] お_か_ら: 大丈夫
[116.515] (S)sapasa: ありさんがちょっと小さい？
[116.783] kimitan7: 良いバランス
[117.299] (S)nugget3150: 大丈夫
[117.334] (S)ニックネム: いい感じ
[117.512] (S)満月: バランスはいい
[117.586] choco_chan1031: 大丈夫
[117.745] 激辛麻婆プディング: いつも通りかな
[118.194] ariworip: いいですよー
[118.271] (S)にゃるろーる: 大丈夫！
[118.389] (S)07FZK: 気持ち小さい？
[118.481] rodiura: ちょうどいい
[119.224] nasuuu_c: 大丈夫！
[120.101] (S)サナ93: いい感じ
[120.104] arkeydia0619: 声が低い
[120.759] のれーん: Windows11になったの？
[120.841] (S)荒木なぎさ: 大丈夫！
[120.880] matiashigorou: わこさかです。こんばんは！配信ありがとねー
[120.982] (S)cider_18: 大丈夫！
[121.475] __紬: 大丈夫です！
[121.915] (S)himamarin: 大丈夫
[122.371] いくみんみん: ありさんが小さめかも
[122.515] (S)fu4im1: 大丈夫
