[5.270] (S)RFKage: umeCossack
[957.987] warotyphoon: 坂ちゃんはスマメイト1700タッチしてる
[961.393] latenight000: 完全に盛り
[963.183] (S)かみさま_: 年末年始は足立区に帰ってきましたか！？
[966.928] 1108044k: 海賊版含まれてそう
[968.980] (S)グレンシア: 持ってる人多かったよ 俺の周りはマジで多かった
[969.993] (S)軽く捻るか: 中古で投げ売りされてましたからね
[975.794] レベルゼロ: レ...レインボー
[980.664] maddy2623: 無印ダッシュターボスーパー あとなんだ？
[983.992] heijitusan: レインボーって言う海賊版が色々あってだな
[995.940] あさつき教: Xハイパーウルトラ
[997.914] (S)グレンシア: 都会と違って田舎は遊ぶものないからみんなやる
[998.762] てべす1103: お年玉渡した人とかいます？
[999.497] shinobuchan4649: スト2のぱくりげーなら数え切れんほど出てた
[1020.547] (S)tonyudx2025: お年玉上げたことなし
[1021.886] tarako330: 自分の時は格ゲーじゃなくてスマブラがはやってたからなぁ
[1030.954] latenight000: アプデっていう概念知らなかったから、なんで俺のスーファミのスト2はバーチカルローリング出せないんだろとか思ってた
[1045.396] takahashiseigi: 83年生まれのRickyが2歳下らしいです
[1052.122] Bureaucrats: 今のスト6の盛り上がりはストリートファイターの歴史で言うと何番目くらいに熱い感じになってますか？
[1055.603] usugesaan: お年玉総額17万あげたなぁ・・・
[1061.848] (S)まとご: 当時、一応スーファミで豪鬼コマンド試してたなぁｗ
[1061.914] seirosu: ジェイミー後ろ歩きとかにしたらもっと遊べるのでは
[1072.379] Devil_Reapers: Daigo-San please qualify for Capcom cup we need you there 
[1093.060] kc_tc0006: 姪っ子にお年玉あげて、今度は両親に家電買ってあげます
[1093.711] prisira: えぐい
[1098.014] seirosu: 17万ってどういう内訳なんだろｗ
[1106.101] (S)gularain: 大変だなあ
[1109.856] だいこん_: 17万！？誇っていい
[1122.046] 1108044k: スト2超えはないもんなぁ
[1123.445] moricocoa: リアルな数字
[1130.257] balthazar000: 一回かなり沈んだからインパクトかなりでかくない？
[1133.239] (S)hoshi_boshi_0: 4なんだ
[1133.713] tarako330: 今はネットが発達しすぎてわかりにくいよね
[1134.096] lun__01: ストシリーズの偶数は盛り上がる法則
[1136.258] メタルぱんだ: 上に3つもある！？
[1139.090] melon_pan14: 今ゲーセンにアーケードがあるんだって？
[1143.467] latenight000: スト2を分割しちゃうとほとんど上位スト2シリーズになっちゃうしな
[1144.719] kern_tucker: 上３つはなに？
[1145.727] (S)まとご: ３が最下位として
[1149.068] hirokiaaa: スト2カプエスヴァンパイアやろ
[1152.045] Hikaru_256: この娯楽だらけの時代なのにスト６はよくやってるよな
[1153.273] メタルぱんだ: ｗ
[1157.857] kuniyoshi8: スト2強すぎるｗｗ
[1159.645] (S)hoshi_boshi_0: なるほどw
[1162.750] maddy2623: スト２でまとめようｗ
[1162.971] maya_g01: 内訳ｗ
[1165.142] myako_toshi: トパンガチャリティーカップ楽しみです。
[1167.419] (S)np2np: スト４も大概すごかったけどね
[1168.218] 1108044k: 4も凄かったけど
[1168.429] transynd: these shoryukens tho
[1173.234] greekrambog21: Hello from Canada Legend hello to the amazing Japanese ppl
[1174.514] (S)グレンシア: スト2シリーズをひとまとめにするなら2番目やなぁ
[1175.228] (S)gularain: タイトルわけするのってそんなに内容がちがうの？
[1176.720] latenight000: スト3なんて流行らなさすぎて家庭用出てなかったし
[1177.296] piyopiyomaru555: スパ2Xのときってもう人気なかったの？
[1177.489] tarako330: へー
[1180.286] transynd: two english speakers 
[1181.299] tabibitox: せやね
[1183.306] seirosu: 無料で遊べる娯楽が多い中でスト6はフルプライスでよーやってる
[1185.264] なかしょう: 最近スト4もやっぱすごかったねって評価出てるよね
[1185.551] (S)yukikaze083: だね
[1188.775] kern_tucker: ４もすごくなかった？
[1189.791] てべす1103: スト4より上なのか
[1190.764] 157655: ビッグバンに迫るのはすごい
[1191.537] Moyashi300: 4も結構すごくなかった？
[1191.849] メタルぱんだ: スト２は、俺のおばちゃんもやってたからなぁ
[1194.110] kuniyoshi8: 4越えきたあああ
[1194.713] tyusonmit: 4もすごかった
[1200.543] maddy2623: 諸説あるけど４の頃の人気は超えてると思うよ
[1204.387] (S)グレンシア: 4より全然上でしょ
[1204.627] moricocoa: スパ4無印でウメちゃんが配信に出た時すごかったよ
[1207.258] yamanoberui: 4盛り上がった？
[1208.684] tarako330: ウメさん途中参加だっけ４
[1209.041] bec118_japan: 盛り上げた本人なの草
[1211.982] tabibitox: アプデ情報きた。修正はザンギのみ
[1212.492] (S)まとご: ４はゲーセンが盛り上がってた
[1213.053] hirokiaaa: スト4は動画勢人気がすごい
