[281.955] higashisssan: 始まってしまうのか
[283.269] (S)一1990: 折笠さんは？
[285.117] kebiisi: えいた1.1倍
[285.213] (S)uwamonq: 見事歩ききった人には報酬あるの？
[287.162] fuan4444: 鎧がかえって良くないパターンもある
[287.949] prototypeie: おお
[290.389] ememeume: 引くww
[290.426] meganesandesuyo: たしかにワークマンに防水の安い靴あったね
[290.802] mogai555: いやいやちゃんと準備しろよｗ
[290.881] hukohuko: これサバイバル企画だったのか
[291.986] ノア1844: ハンサムさん逃げました？
[292.921] ラリぶべぼ: ウメちゃんがギブアップしたら終了？
[293.139] ima_son: 都内ブラブラと目的地まで一直線じゃ速度違うからヤバそうだけど
[294.061] 弾き一閃: 地球vsダイゴ
[296.275] momochan6: 今日からなのか
[296.322] queuhcs: 脱落者何人になるかな
[296.449] amaterasdesign: 始まってしまった？
[300.860] もきち555: 経験者は知っている
[302.577] tora6666: 脱落者はダサい認定ですか？
[303.264] mogai555: それが普通なんだよなあ
[307.862] lg99632: 股ズレ対策しました?
[308.124] いぬ太郎: しっかり仕事も調整して
[308.153] ctn0912: それが普通です
[309.159] 000105: ハンサムは仙台で合流じゃ？
[311.392] sikusi: 仙台一応二十度あるのね、大丈夫なのかな
[311.763] v_harumi_v: アールさんは、しっかりしてる
[313.253] アヘ丸: 賭場開く？
[313.577] akasanz3x: シュートはあとから合流ですか？
[314.147] (S)bec118_japan: 股ズレには気をつけて下さい、、、
[318.232] justinfun74185269: リュウに近づいている
[319.392] mogai555: 最後に立ってるのはアールかもしれない
[320.160] light_hight: アールさんが普通の感覚っす
[320.912] meganesandesuyo: 最初の脱落者は誰か
[320.963] (S)泣き虫サクラ: 皆この後の地獄を思い気を溜めている
[323.365] taroumaruh: はじまっちまうのか…アレが
[324.674] (S)食用ばるさみこす: アールはしっかりしてるしネットリしてる
[325.135] BeGOD: BeGOD subscribed with Prime. 
[325.816] ロンロ: シュートもおるよ
[327.463] izumi_ryu: 何したら勝ちなのか
[330.211] 笛ラムネ: 何人で歩くの？
[330.935] wahaha7788: レギンス履けばいいよ
[333.103] gannaranna: 原始人ｗ
