[111.572] (S)澄ミレ3スミレ: えら
[112.064] えんえんトンネル: ニヤニヤすなww
[113.511] オオゼキ: ヘンディー♡
[113.617] momo_dada: はいぃ
[118.179] nisebakasan: ちゃんこークーワンかい！
[119.404] (S)okome_tabetai: また久保さんや！
[120.048] (S)キャキャロット0911: 親方
[121.326] (S)べべ3: ク、ボ
[121.604] (S)ツカサ10: こんばんどすこい！！
[121.731] (S)シルニカ: 久保さん！？
[123.060] koudai4484: 楽しみー
[124.357] (S)澄ミレ3スミレ: あ
[126.181] 勇者ヒンメルならそうした: 親方！
[126.713] (S)makomako1007: おーハイタニいる
[127.169] (S)takowasa_0607: こんばんは
[127.283] (S)飛びます飛びます: 久保さん！？
[128.362] rocomoco18: どすこい
[128.399] sensunawa: 久保さん！
[128.476] nana43: 久保さん！？
[129.217] (S)mira_koko: 親方！
[129.328] (S)未知数みちお: ヘンディーマジうまい
[130.888] まぐ12: wwwwwwwwww
[131.776] オオゼキ: 親方ぁ！
[131.902] daas1j: 親方
[132.101] (S)mintia_1232: 久保さんきちゃあ
[132.881] (S)to9ton: 親方！？
[133.053] しふぁん: おお
[133.649] ran73110: 親方！！！！！！！！
[133.907] (S)patrick1000koo: きたあああああ
[133.944] (S)mettea55: 親方いる！
[134.287] (S)makomako1007: 久保もおるー
[135.189] kyouji_10: 親方ァ
[136.919] (S)いうた: 親方！
[137.162] まぐ12: fantas22Kusa
[137.318] rocomoco18: 親方助かる
[138.052] (S)adglan: ふぁん太さん、がんばえーーー
[139.172] kayagu3: if
[139.717] (S)alohapon: ｗｗｗｗｗｗｗｗｗｗｗ
[140.387] (S)きゅむぉ: ｗｗｗｗｗｗｗ
[140.893] (S)mira_koko: wwww
[140.945] (S)takenoko45: wwwwwww
[140.995] (S)ムーンバナナ: 久保さんや！！！
[142.406] (S)シルニカ: ｗｗｗｗｗｗｗ
[143.475] (S)ピン汰: wwwwwwwww
[144.189] (S)きゅむぉ: fantas22Dani
[144.221] (S)蛙田いぶき: wwwwww
[144.231] (S)Jewel_meat: fantas22Kusa
[144.625] (S)ryuku0531wt: 親方きたーー！！
[145.514] (S)いうた: wwww
[146.401] Olilin35: wwww
[146.412] (S)つちのこ83: 久保さんやw
[146.628] 鯖缶だよ: wwwwww
[147.428] (S)ishibashikun: ｗｗｗｗｗ
[147.507] kayagu3: UG
[149.629] rocomoco18: 純度
[150.729] (S)alohapon: 良いクオリティですよ
[152.385] (S)akihiroaku: そっち笑
[155.655] (S)ama0526: 20％ベジータw
[156.079] ビショビショ美少女: うまいなw
[162.252] nana43: UG！
[162.367] (S)ムーンバナナ: UGさんや！
[164.315] (S)c_world_: ｵﾊﾖｵﾊﾖ
[166.046] kayagu3: Ug
[166.141] hikarinxxxx: ゆうじ
[168.141] Envy53: ミラー権もらえなかったUG
[170.611] (S)シルニカ: マゴさん来るの！？
[179.622] tomoomot1231: おぼ！？
[180.337] (S)ピン汰: わくわく
[181.080] (S)karock1524: UGすこ
[183.558] ビショビショ美少女: あれ？w
[183.580] nana43: この中に放り込まれるあかりんよ
[184.486] kisiro02ky: 配信待ってました！
[185.161] (S)ムーンバナナ: オボさんコーチ？w
[187.400] rocomoco18: お、ぼ
[188.076] (S)ccc020202: ｗｗｗｗｗｗ
[188.446] (S)to9ton: あれ？w
[189.472] (S)alohapon: ｗｗｗｗｗｗｗｗｗｗ
[189.560] (S)qpchan: ｗｗ
[189.987] (S)シルニカ: ｗｗｗｗｗｗｗｗ
[190.775] _ふーせん: 案件かな
[190.974] 鯖缶だよ: wwwwww
[191.395] えんえんトンネル: あ、んけん
[191.741] (S)_なこ_: こんばんは
[191.945] (S)地縛神ポンタリウス: ｗｗｗｗｗ
[192.100] (S)OniGorilla: 絶賛案件中
[192.823] (S)Jewel_meat: wwwwwwww
[193.679] (S)つちのこ83: wwwwwww
[194.307] (S)るびぃくん: wwwwwww
[195.109] (S)きゅむぉ: やってるわｗ
[196.648] (S)いうた: wwww
[197.001] (S)to9ton: www
[197.452] (S)patrick1000koo: www
[197.701] (S)蛙田いぶき: wwwww
[197.876] (S)アィスクリーム: 案件中や
[198.965] fuyake22: 案件ｗ
[200.735] chaririririri: 案件やねｗ
[201.258] fj_psun07: 案件中はしゃあない
[202.874] (S)gotoski: 案、件
[211.203] (S)ゆき142: あ、んけん
[220.319] (S)patrick1000koo: 親方きたあああ
[227.828] (S)_なこ_: 今日は久保親方なんだ！
[232.642] (S)qpchan: wwww
[233.375] (S)れすポン: ほうｗｗｗｗｗ
[233.440] (S)kafuka15: ｗｗｗｗｗｗ
[233.829] (S)alohapon: ｗｗｗ
[234.219] (S)蛙田いぶき: wwwwwww
[235.264] (S)きゅむぉ: ええてｗ
[235.480] (S)たつぴーまん: www
[235.606] (S)its_MuNya: ｗｗ
[235.901] (S)シルニカ: ｗｗｗｗｗｗｗ
[236.082] (S)いうた: wwwww
[236.159] (S)しゅぺたろ: うぃー
[236.543] (S)Jewel_meat: wwwwwwww
[237.841] (S)patrick1000koo: wwwww
[238.649] (S)c_world_: ww
[238.856] second_peanu2: ういー
[239.717] (S)rebecca_76star: ばんわー🖐️
[239.862] nisebakasan: www
[240.619] ビショビショ美少女: やってほしいのかな？
[241.940] (S)ムーンバナナ: カカロットって言ってたしなw
[247.509] nonnkundayon: やってほしいってことよ
[249.254] (S)jinta135: こん
[250.884] (S)るびぃくん: やって欲しいのにやらないんだよね
[251.308] (S)チャールズオリベイ田: 久保さんいる嬉しい
[251.325] (S)alohapon: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[251.342] (S)dakr5123: やって欲しいのかなw
[252.162] tomoomot1231: wwwww
[252.750] オオゼキ: ｗｗｗｗｗｗｗｗｗｗ
[253.354] (S)きゅむぉ: ｗｗｗｗ
[253.724] (S)しゅりな: a
[253.805] nana43: アレｗｗｗ
[253.865] (S)its_MuNya: LUL
[254.177] (S)mira_koko: wwwww
[254.588] mokkennn: まずい
[255.060] (S)_なこ_: ｗｗｗｗ
[256.283] second_peanu2: wwwwww
[256.320] (S)いうた: wwww
[256.459] (S)xyz_3931: wwwwwwwwwwww
[256.540] (S)rebecca_76star: wwwwwww
[256.808] (S)アジ7864: あw
[257.068] (S)takenoko45: ぱんぱんぱんぱん
[257.118] (S)ryuku0531wt: まずいｗｗ
[257.297] (S)ハルハル3: みせなきゃ
[257.842] ~MISSING_COMMENTER_INFO~: まっずいw
[258.610] (S)べねでぃくと: www
[259.147] (S)ごはんよりパンがスキ: www
[259.269] (S)なすかわ__: まっずw
[259.590] dyism27: まずいwwww
[260.199] なき760411: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[260.212] mokkennn: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[260.409] (S)バロン67: ｗｗｗｗｗｗｗ
[260.665] (S)_なこ_: ｗｗｗｗｗｗｗｗ
[260.869] (S)いうた: おわってるやつかw
[261.805] hro012: 年齢層高いな笑
[262.357] (S)おいどん111: ｗｗ
[262.438] (S)れぶりみ: あｗ
[262.512] (S)potorated: fantas22Osimai
[262.963] (S)蛙田いぶき: wwwwww
[263.755] nana43: あぶなｗ
[263.986] (S)未知数みちお: ｗｗｗｗｗ
[264.603] (S)シナシナな梨: あぶなw
[265.412] (S)バロン67: あぶねえｗｗｗ
[265.884] (S)きゅむぉ: あぶ
[266.137] (S)takenoko45: あぶw
[266.335] (S)Jewel_meat: あぶねw
[266.398] オオゼキ: あぶね
[266.488] (S)地縛神ポンタリウス: あぶね！
[266.690] えんえんトンネル: ベジ×カカ
[266.764] (S)nvyf6flup11ffpbyzy3k: あっぶなｗ
[266.921] (S)辛麻婆豆腐: ww
[267.458] (S)ccc020202: あぶな
[267.487] (S)xyz_3931: あ
[267.539] (S)シルニカ: sekiNike
[267.810] (S)蛙田いぶき: あぶねww
[267.836] イーダコ: あぶw
[268.265] dyism27: せーーーふ
[268.396] (S)ama0526: wwwwwwwwwwww
[268.396] zannennako: あぶね
[268.598] ~MISSING_COMMENTER_INFO~: あぶなwww
[268.811] (S)つちのこ83: あぶなw
[269.056] (S)horizonkkfr: あかりーんw
[269.490] (S)しゅぺたろ: あ
[269.937] (S)なすかわ__: あかりーん！
[270.021] 鯖缶だよ: せーふ
[270.417] (S)alohapon: あかりん♡
[270.589] koudai4484: あぶね
[270.844] (S)patrick1000koo: あぶな
[271.222] (S)4sh_47: fantas22Nice
[272.087] (S)たつぴーまん: あ
[272.564] noln114: あぶなw
[272.590] (S)potorated: LUL
[272.652] えんえんトンネル: あっぶね
[272.725] tomoomot1231: いなくなったw
[272.961] (S)るびぃくん: あ
[273.172] ようちエンジン: wwwww
[273.295] (S)雪玉オニギリ: せーーふ
[273.482] (S)未知数みちお: あっぶ
[274.073] (S)mitsuki5252: あっぶねw
[274.328] (S)steeee_oki: wwww
[275.617] (S)jgdpwpopmpwpw2: LUL
[276.862] (S)生のイモ: こん塩
[276.977] (S)makomako1007: あかりん来た
[277.137] tamitaya: せーふ
[278.555] (S)xyz_3931: あーあw
[280.542] (S)roi_hi: www
[280.642] zannennako: あっかりーん
[281.136] (S)rebecca_76star: wwww
[283.247] Bluefin727: うい
[286.127] (S)生のイモ: あかり！
