[720.676] ただのともや: 2勝して余裕あるから次以降楽に試合出来そう
[721.375] らむぽっぷ: アセンションまじでいってくれ
[724.133] pasta_hormon: おは
[727.759] imokorori: まだ1年目なのにすごすぎるな
[729.587] (S)yoshg7y: チーム感が最高すぎる
[731.164] hakata_mayonnaise: リドルすげえよ
[731.740] chofu_2: 今年バロがいいとこまで行けば来年はリドルもオフィス作るのか？
[731.896] ghsjjfbi: まじで楽しみだ
[731.943] bonheihe: 朝Xみてビビったわ
[733.728] なおき3: 誰の視点見てても撃ち合い負ける気しない
[736.822] pokepokepopopo: ソルダムは韓国帰るの？
[737.642] カナ口ア: みたいねー
[740.778] ice7se: オフラインボド現地いく？
[750.245] すずぺこ: ぼどおはよー！しごおわです
[761.047] rasukaruuuuuu: みんな次から勝てると思って見るから、負けた時怖い
[767.602] coral_leaf24: 酒飲んで起きてたおはよう
[767.691] (S)arumon_JP: 最高のチャンスよねいま
[780.813] 電気マツモト: オフラインでRIDvsMRG見てえな
[781.029] カナ口ア: やつかがマジでバケモノすぎる。頭良くて打ち合い強いのヤバい
[781.877] 無限0024: 次勝ったらマジでオフ直通ある
[785.749] imokorori: 1,2位は確定だっけ？
[788.484] siochan_jp: riddleアセンションで見たいわ
[792.013] らむぽっぷ: 総当りで1.2位になったらほぼオフ確定って思っていい？
[792.657] (S)雨水ぺとる: 1回でも負けたら終わり？
[792.899] オタク社会人アルト: 1.2位は確定
[798.350] カナ口ア: ジンブンガンブンねww
[798.390] (S)homuhomuqb: へー
[806.806] rosary_r: ようムラゲ勝ったわ
[809.083] hamumelon43: がんぶんじんぶん強さおかしい
[810.812] カナ口ア: あれバケモノすぎる
[815.761] 臭めのこかりん: RC,FLに勝っても他に負けるとか全然ある
[820.438] pokepokepopopo: 自信持っていって欲しいね
[823.191] chofu_2: KR組はSG戦韓国からだもんなー
[823.888] カナ口ア: やつかマジで今日本で1番強いと思う
[828.922] ice7se: あの兄弟怖すぎるw
[829.363] imokorori: なるほどー、プレイオフ前にオフライン行き決めたいねー
[831.940] miyuki3830: 次のSGは3位だったんでしたっけ
[834.439] qadoro: かわいい
[839.263] 無限0024: ジンブーガンブーもやばいけどのび太も相当やってる
[840.829] kaazu1112: 今回どこも団子じゃない？
[846.709] (S)k_brot: ムラゲに負けたチーム強くなるよ
[851.088] iru_pika: まじでNTHソルダムみたいで最高
[870.742] カナ口ア: 言いたいことわかる
[876.379] udonsobasuki: ムラゲ相手でも？
[880.856] ただのともや: 上手く勝ってる感じがあるのか
[884.076] (S)雨水ぺとる: でも調子いいから勝てそう
[885.747] tomoars: valo詳しくないから正直、カエデ・ソルダムがキャリーしなきゃいけないチームだと思ってた。
[892.624] らむぽっぷ: 個人的にはVLが１回勝ってるからこそ怖い
[893.093] カナ口ア: MRG普通に強いよな
[894.593] 電気マツモト: FLは毎回sp2苦戦するな
[896.955] coral_leaf24: これからねるの？
[898.958] あおのり___: まじでどこもわからんな
[905.174] 無限0024: ムラゲ普通にめっちゃ仕上がってるんよな
[912.234] hamumelon43: MRGに勝ったNTHに勝ったSZに勝ったSGに勝ったMRG
[917.971] zeroa3939: 全員強い
[919.505] カナ口ア: いやぁ？riddle全員強くね？
[922.954] d4mbell: どこのチームの僅差て感じする
[924.721] (S)雨水ぺとる: 全員がクラッチできるもんな
[931.531] ikageso_6: 誰が残ってもワンチャンス？
[932.176] rasukaruuuuuu: ここからカエデも調子上がったらヤバそう
[933.103] 無限0024: リドルはほんまに全員キャリーしてると思う
[933.457] カナ口ア: やつかもかえでもaaceもソルダムも
[938.576] ruandayo: 爆発力すごい
[941.707] (S)あたせ: あたせ subscribed with Prime. They've subscribed for 3 months! 
[943.599] うすやつぬる: aaceが圧倒的にうまい
[944.177] tomoars: 試合みたら全員やばすぎる
[951.065] imokorori: 配信試合前まではスタッツ一番上だったからね
[960.195] rosary_r: やっぱ若者ほど勢いを感じる
[962.235] (S)yoshg7y: みんな爆発するタイミング揃ったらやばいんだろうな
[965.043] カナ口ア: aaceとyatsukaがマジでヤバすぎる
[965.096] 無限0024: 数字だけで見てもACSとかかなり均等な感じするし
[966.802] hamumelon43: やつかが残ったときの何とかしてくれるだろって気持ちすごい
[985.790] カナ口ア: クラッチプレイヤーすぎる
[988.230] (S)雨水ぺとる: かえでって緊張で調子出てない感じなの？
[992.673] イッパツイキ太郎: アイボのjoxjoのコールは痺れた
[994.105] rasukaruuuuuu: 3vs5でも可能性を感じる
[1017.024] らむぽっぷ: タンクやからな
[1017.753] カナ口ア: Caedy今日普通に強かったしな
[1020.346] ookubo_tosimi: 正味Aaceが一番ヤバイ
[1021.328] qadoro: 数的不利を覆しまくってる
[1031.805] chofu_2: 本当にいい選手揃えたね、ここまでシナジーえぐいと思わなかった
[1034.346] coral_leaf24: 他のチームも仕上げてくると思うけどがんばってほしい
[1036.415] (S)雨水ぺとる: てか全員最強じゃね？
[1036.936] udonsobasuki: まじで今のリドル ええの獲ったわ！状態やな
[1040.079] カナ口ア: JoxJo偉いね。不憫役だけど心折れないのいいと思う
[1040.188] imokorori: 3-9勝てたのjoxjoのおかげやろ
[1061.083] 無限0024: マジでjoxjoピッタリハマってるよな今んとこ
