[1231.351] (S)kumatedd: まらおとハメコが並んでたら草はえそう
[1237.781] uhauhap: ショウヘイくる？
[1240.982] Purplehamster: lulRushdown
[1243.368] (S)~MISSING_COMMENTER_INFO~: まらおとハメコw
[1247.814] quququ12345: しょうへいへーい
[1256.946] (S)user0511: しょへいはプロだからでれない
[1264.476] ~MISSING_COMMENTER_INFO~: TOP8って何時からなん…？
[1266.934] (S)あと1983: コサクは…？
[1278.083] tv_twitch01: is jyobin going to play?
[1281.877] shibaponz: コサクはさすがにね
[1282.738] (S)beastbeast: この声かげっち？
[1283.736] じゅうざ: オンラインか
[1284.861] (S)~MISSING_COMMENTER_INFO~: トラボは…？
[1285.114] (S)obo_006: まじか
[1285.842] ~MISSING_COMMENTER_INFO~: WWW
[1289.003] (S)kumatedd: 来るのかー！
[1289.810] oisiisio: おほー
[1290.685] benizakuratosaken: こさくは青トラで行くよ
[1291.497] quququ12345: no play
[1293.724] (S)ta3z_: top8までシャワーか
[1295.025] (S)maryjazz: umeWhat
[1296.041] (S)kumatedd: 筋トレが長引いて遅れそう
[1296.122] (S)hosp1990: ジョビンテンション上げて
[1297.688] ~MISSING_COMMENTER_INFO~: かなり後だな
[1298.112] (S)siroboro: くるのかｗ
[1299.257] (S)rdstus: umeYay
[1302.856] (S)domontyan: 了解っす
[1303.902] (S)パチーノ: 今来た、りゅうきち以外に有名勢いる？
[1306.605] oisiisio: top8までシャワーはさすがにシワシワになる
[1307.875] omedetroit: まじかウメちゃん来るんかww
[1309.395] (S)流川棚: umeLaugh
[1309.736] (S)user0511: ウメちゃんEリーグから寝てる説
[1309.760] ~MISSING_COMMENTER_INFO~: ジョビンいいわ、コメ拾ってくれた
[1311.971] (S)Hoandj: umeYay
[1312.882] bob_fosse: What's your opinion on doing meth to enhance practice sessions?
[1312.983] quququ12345: 参加者そんなおるんか
[1313.736] m_tw: オンラインは替え玉を防止出来ないのがなんとも、本人がプレイしてるとは限らん
[1314.871] carlosarguetta: Hola
[1318.540] uhauhap: ココドコｗ
[1321.240] (S)~MISSING_COMMENTER_INFO~: ありがとー
[1321.931] umechin7: トップ８からウメちゃんまーーじか
[1323.013] k_ao_twitch: パンプアップしてるうめちゃんw
[1324.623] (S)nonnon1990: トップ8になるまでジョンくん放送
[1330.367] (S)obo_006: ジョビン、スリーパーで絞め落としてウメちゃん連れてきて
[1342.427] tentough: ハァァァァァァ
[1344.317] Purplehamster: hey guys, do you like old Godzilla movies? I do. I don't like the ones where he's the bad guy though
[1352.191] (S)domontyan: さっそくリュウキチ豪鬼か
[1353.112] (S)thefrozensun_: ジョビン、ウメちゃんを痩せさせて
[1355.415] ~MISSING_COMMENTER_INFO~: WWWW
[1357.071] (S)domontyan: ｗｗ
[1357.364] (S)letata1: ３人による前半も楽しみにしてるで、頑張って
[1359.717] umechin7: ジョビン頼むで
[1359.967] Purplehamster: like the one where he loses to Mothra
[1360.407] (S)obo_006: そうしようかなってあかんでしょｗｗｗ
[1362.012] m_tw: 首はあかん
[1362.269] Predatowned: atpRtsd4
[1364.649] soy315: ｗｗｗｗ
[1365.811] (S)domontyan: やめて～～ｗ
[1367.902] komi_art: atpRtsd2
[1369.163] (S)kumatedd: 首おわるｗ
[1369.930] (S)komine58: クビにトドメを指すなｗ
[1370.856] (S)user0511: 今ウメちゃん首やってるから一発やで
[1371.970] ひとちゃん: ステージはランダム？
[1373.799] taos06: ナリ君、イニシャル教祖、根カリーノ、gunyanとか
[1376.734] daichan1200: 首終わりそう
[1378.675] sasakumadrops: それが手っ取り早いなｗｗ
[1383.025] tv_twitch01: gunyan KEN
[1383.074] omedetroit: ウメちゃん首死ぬww
[1383.421] Purplehamster: a godzilla fighting game would be cool
[1390.259] k_ao_twitch: え、みんなライザップ済みうめちゃんいるやん真ん中にwww
[1395.246] (S)domontyan: 結構強豪おるな
[1397.550] tv_twitch01: @taos06 gunyan KEN
[1400.010] komi_art: I think that happened brew
[1400.482] (S)maryjazz: 芸人なの？
[1402.236] (S)ta3z_: ！トナメ
[1416.593] Chiago_: capcomChan
[1418.100] benizakuratosaken: aw／ねカリーの
[1419.007] (S)hosp1990: りゅうきちくん幾つになった
[1420.974] (S)thefrozensun_: ***
[1429.818] (S)maryjazz: テレビ見ないからわからん
[1432.707] ~MISSING_COMMENTER_INFO~: ラグチェック大事だな
[1432.989] tentough: かげっち
[1438.402] tentough: かげっち…
[1441.102] k_ao_twitch: ムッキムキメカリはやっぱり使う人とキャラは同一説
[1441.511] hosuhosu: Billycat懐かしい名前
[1441.902] (S)user0511: りゅうきちくんまだ23とかじゃなかった
[1442.174] devilishblack: かげっちってこくじんの2Pカラーみたいな人だっけ？
[1449.841] m_tw: 貧乏人にチャンスをあげたい
[1452.791] まっきー赤色: そんなにやってたんか
[1453.068] omedetroit: りゅうきちくんも若手よな
[1453.196] (S)kumatedd: へえー
[1455.567] (S)ta3z_: 吉本さんありがとー
[1456.982] oisiisio: りゅうきちくんは豪鬼になったんか
[1462.120] daipansyokunin: 年齢制限を加えなかったらもっと修羅だった
[1465.527] (S)thefrozensun_: ありがたいことだよね
[1465.812] k_ao_twitch: そいう繋がりあるのか吉本
[1469.388] (S)Lazzberry: すごいやん、吉本ありがとー
