[4513.745] srytynt: 抜きすぎると出なくなるよね
[4542.705] gorori9797: !sens
[4542.802] (M)Nightbot: Valo: dpi800, 0.25 // Apex pad: 4-1 linear, no deadzone // Apex mouse: dpi800, 1.26
[4667.913] らむぽっぷ: またです、か
[4678.155] nobuto1106: 今日ニチャニチャやねあかりん
[4680.999] ssssssssszx: あう
[4687.795] キューブってる: 学ばないなぁ
[4750.719] 96nowa: RaccAttack
[4793.036] deejaypj123: やる
[4809.813] taoka16: 一番最初ケージのスキル使わなかった偉すぎ
[4904.012] ssssssssszx: 9ー3
[4928.381] 96nowa: また9-3 
[4938.292] tasashin: キャー！クラッチさんのクラッチー♡///
[4943.157] sashiming_497: まっずい
[4945.252] 投げやり大往生: ま、まずい
[4957.550] 味噌ダレ: 歯茎すぎ
[5014.797] 虎徹茶々丸: は？
[5015.749] Skyhi_20: wwww
[5020.855] Skyhi_20: 🦜
[5027.066] kusastu: ？？？
[5029.933] Skyhi_20: インコしらないま？
[5032.825] 虎徹茶々丸: いんこだな
[5042.090] 味噌ダレ: やばいって
[5053.610] haarubb: 🦜
[5053.785] Skyhi_20: 色々まずい
[5085.016] おらじ: https://clips.twitch.tv/RelievedCredulousWoodcockPermaSmug-3Gku9ZN9K4sB8hAB
[5179.465] mozunya: あ
[5205.504] Skyhi_20: wwww
[5207.920] boon062424: こく！？
[5208.490] mglwarrior: どうやって刺された？ｗ
[5209.465] olive2ti: えどい
[5216.614] ssssssssszx: こく！？
[5244.895] Skyhi_20: こいたか
[5325.219] Aug_Leaf: WutFace
[5327.162] みりみりみりみり: うお
[5328.746] 96nowa: ナイフwwwwwwwww
[5342.107] お疲れ五反田: 英に大ダメージ
[5357.614] radoro4533: !menber
[5421.976] 味噌ダレ: 5本落としても大丈夫だぞ
[5482.167] 96nowa: おしい
[5482.978] らむぽっぷ: おし
[5535.436] 96nowa: ｇｇ
[5536.788] 味噌ダレ: もうちょい遊んでもよかったな
[5540.531] Aug_Leaf: vodkav2GG
[5545.289] ryugeru: カティカク
[5562.976] tasashin: gg
[5570.698] ただのともや: vodkav2GG
[5591.183] ssssssssszx: あ
[5599.838] take_11: インコがよ
[5611.130] sakana_sakana09: ww
[5631.858] (S)so_Fc_07: クズやんw
[5655.408] sayoung66: まぁ出たほうがいい
