[111.181] kndrb: 今日さちや良かったな
[111.777] マンソウ: ついに緊急配信きましたか
[113.241] skg1101: パワポケ3やー
[113.983] ~MISSING_COMMENTER_INFO~: やっときたああああああああああああ
[114.001] raftan122: あまりにも緊急
[115.109] bartologolon: パワポケ１４にしよう
[119.009] (S)ドフラ41: 阪神ファンです
[119.040] cityhunter3298: これは緊急
[119.286] sein105: 緊急と聞いて
[119.814] koumedayu6725: 本日も上質な配信ありがとう
[122.240] a1_oh46: わくわく
[122.733] hiyodori09: これはまだレトロゲーに入らないよ
[122.964] warra0620: おい！酔っ払って何がなにかわからんぞ！
[123.203] takaynnn: こんばんは
[124.108] pjhailmary: 奇しくもレトロフリーク
[124.614] horigucha: パワポケ14までやってもいいぞ
[126.136] takonosky: おいおい、伝説来たか
[126.195] hashikan893: フィットネス
[126.450] (S)trsrhrhy: なあ頼むからスタンプ増やしてくれないか？
[126.562] monouliszt1: どんも～
[127.262] (S)ドフラ41: 阪神ファンです、許せないです
[128.620] とらねすこ: 今日の福也良かったな
[129.932] ynwnnbf: 山﨑福也とかいう神からの緊急レトロたすかる
[130.095] luka232433: 20年前ならまだレトロじゃねえだろ！
[130.134] 0mangana7: 緊急
[130.310] mokou755: よぉ
[133.250] ohshibatoshihiro: レトさん
[134.806] otamaSo: 奇しくも
[135.783] おおえにょたかうし: パワポケ13は王道すぎてやって欲しい
[135.932] asyura000: パワポケ３は流石に初見
[136.382] (S)manmu04: この前の筋トレと飯配信見逃したわ；；
[137.650] catiskamisama: これ全シリーズやってくれるって認識でよろしいか？
[138.938] (S)パイモンすこ: こんちゃーす
[142.878] 蛤ラーメン: じゃあothersでええか
[143.108] ynwnnbf: こんちゃーす
[143.705] bavaku: こんちゃーす
[144.829] nuko_nu: こんちゃーす
[145.477] wichan1516: かもすまん、今日の巨人最高やったわ
[146.900] mokou755: こんちゃーす
[148.020] (S)ラッコ先生: レトさんかもさん
[148.233] warra0620: スカトロゲイ
[149.663] マンソウ: 筋トレは「フィットネス」カテゴリがあるにょ
[154.958] (S)ドフラ41: 阪神ファンです、日ハムを許せないです
[155.176] misosoup5296: パワプロの1番新しいのでいいんじゃね？
[155.929] ~MISSING_COMMENTER_INFO~: 送ったよ
[157.146] raruraru315: レト444
[157.978] monouliszt1: 待てと！スタンプ頼む！
[158.923] kngw_spygea: つよいです
[159.720] takonosky: ホントに存在してるゲームか？
[161.579] ~MISSING_COMMENTER_INFO~: アイレムのゲーム実況はじめまーーっす
[162.130] takaynnn: www
[162.674] hiyodori09: レトロゲーはテトリスとかモノポリーとかのレベルだからまだこのゲームは違う
[163.074] mokou755: うん
[163.484] takotako510: かもさんは3初見ですかい？
[164.366] (S)yoneta_ro: turuokORIGINAL
[164.623] kuduuuuuu: バント？gm
[165.629] sonoh_m: 阿部野球ほんまおもんない
[166.078] Pottin0212: 阿部ちんのすけに感謝して下さい
[166.283] raruraru315: 🌴
[166.299] ynwnnbf: バント👈いらなかったんや
[166.812] bavaku: セリーグよええわ
[168.511] kngw_spygea: ソフトバンクwwwwwwwwwwwwwww
[169.076] ghyunimkai: 阪神ゴミすぎたわ岡田終わってる
[169.295] warra0620: 阪神打線を救いたい
[169.630] いにがちゃんちゃんこ: ヘルナンデス
[169.848] arararuuu: 阪神弱すぎ
[170.221] horigucha: アヘ単はgm
[170.398] molimun: ヒルナンデス
[171.553] たくミ: 配信弱すぎて無理
[171.623] luka232433: ヘルナンデス
[171.631] misosoup5296: あべちん
[172.896] hashikan893: 巨人ありがとうゲーム差縮まりました
[173.092] (S)manmu04: 視聴者のわくわくさん募
[175.136] hiyodori09: なしでいい
[176.929] monouliszt1: その他
[177.510] mokou755: いいよ
[178.697] ~MISSING_COMMENTER_INFO~: 大谷ホームラン売ったね
[178.916] (S)ふらぐさ: プール配信
[179.473] takotako510: パワプロ
[180.252] mokou755: その他
[181.795] raruraru315: 雑談みたいなもんだろ
[183.681] misosoup5296: パワプロ
[184.104] kuduuuuuu: Othersあるんか
[184.431] ~MISSING_COMMENTER_INFO~: スタンプ送ったので審査してくれませんか？
[186.056] peacegundam: ノーサイン戦術が1番強い
[186.806] 1escalade1: unkochanKingdom
[188.271] hashikan893: 今日の髭男楽しみ
[188.686] シュガー0225: 立岡がスタメンという悪夢は残ってるけどな
[190.115] 9タロウ: うお
[190.675] タキニスタ: レトロないのか
[192.791] マンソウ: 筋トレは「フィットネス」カテゴリにするといいぞ
[192.848] はんぜうす: 奇しくも
[193.019] おつかひ: レトロゲームってタグ無いっけ？
[194.591] (S)ふらぐさ: スポーツ
[194.654] monouliszt1: ごめんプンレクかも
[197.090] kngw_spygea: パリーグのみんなやったよ
[198.744] 9タロウ: パワプロ君でいいんじゃね
[200.568] (S)ドフラ41: ない場合はpoolにしとけ
[201.212] (S)manmu04: 用意してないツイッチが悪いよ
[202.761] (S)0_mare: turuokKinkyu
[205.284] kndrb: 日ハムの6番ピッチャーについて
[207.194] (S)ドフラ41: poolにしよう
[207.266] shag4aefa2: 俺の初めてのパワポケだ
[207.907] さいとーーーー: ヘルナンデス大当たりや！
[208.949] (S)パイモンすこ: パワプロでごまかそう
[210.387] pjhailmary: ご飯大好きで良い
[211.016] wichan1516: カテゴリってつくれないの？
[214.928] おつかひ: アンノーン
[216.222] ym0654: きたー
[218.145] 内野安打王: おおおおおおお
[220.051] raftan122: otherってない？
[223.524] (S)seeking_the_dope: これサイボーグのやつ？
[223.570] ynwnnbf: 圧倒的スポーツ
[224.995] ポンチ侍: やあ
[226.538] yonpe_: 無所属
[226.897] (S)けいちゃんん: オープンレックならなあ
[227.878] 蛤ラーメン: wwwwww
[228.833] sonoh_m: 筋トレは筋トレや
[232.191] (S)ふらぐさ: ツイッチの運営に連絡しよう
[232.211] (S)trsrhrhy: そうじゃん
[232.624] (S)jaden397: 人類初
[233.930] JD_takutaku: お前の筋トレはスポーツじゃなくて人生カテゴリだろ
[235.177] warra0620: セックス配信してスポーツにしろ
[235.182] (S)0_mare: 創造神
[236.387] マンソウ: 筋トレは「フィットネス」カテゴリにするといいにょ
[236.449] (S)manmu04: 開拓者になれ
[236.805] (S)ドフラ41: 9人が視聴中なってるけどな
[237.995] kuduuuuuu: パワポケ３の起源
[238.924] (S)パイモンすこ: 起源主張
[239.470] ~MISSING_COMMENTER_INFO~: そういえば雑談してた？
[240.461] (S)osarutaicho: 開拓してこ
[240.667] hiyodori09: レトロゲーはガチのレトロゲーファンが切れるから気を付けたほうがいいよ
[243.150] choconyan2: フィットネスじゃね？
[245.571] rmzm3: 申請すればタグ作れるらしいね
[248.152] sonoh_m: なってるよ
[250.118] (S)ドフラ41: パワプロR視聴数9人なってるけどな
[250.751] マンソウ: フィットネスがあるにょ！！！
[251.634] mizkiryu: パワポケってスポーツなのか？
[251.690] おつかひ: フィットネスは？
[251.723] sonoh_m: いまなってるよ
[251.846] tanatana6gh6: フィットネスじゃないかる
[253.618] misosoup5296: フィットネス
[256.611] (S)パイモンすこ: いいね
[259.871] monouliszt1: いいね
[261.484] gorira3031: アザーズ
[261.995] pjhailmary: ほぼいきかけました
[266.311] 9タロウ: others
[266.769] detteiu_: あざ〜ずw
[267.099] (S)パイモンすこ: あざーすっ
[267.199] yonpe_: 今なってない？
[267.328] wichan1516: ｱｻﾞｰｰｰｰｰｰｰｰｰｰｽ
[267.372] (S)ドフラ41: パワポケ3か
[269.646] mini_3232: retroない？
[270.428] kuduuuuuu: はざーす
[272.661] ru893: 神ゲーやんけ
