[8.305] (S)gogopimimi: ウメちゃん
[1190.582] (S)toshioj: まーーーーーーじか、アドレス変えとこ
[1204.247] (S)yanai0213: メールアドレス一緒じゃないんだけどダメなのかな？
[1205.227] (S)~MISSING_COMMENTER_INFO~: あったけぇ
[1212.614] (S)ぽんいち: まさの動画きてるのか
[1217.708] tamaow: ありがてぇ
[1228.289] friedebi: he said Mr.Matsuura is kemonomichis movie creator
[1250.698] (S)shupii097: メールアドレス一緒じゃないときはどうしたらいいんだろ
[1254.154] balthazar000: ゆっくり待つさ〜
[1276.360] (S)twtchid: 一緒じゃなくても届いてるけど届かない人もいるのか
[1282.603] (S)ruku16: ホメロスは追撃必殺マンだから軽い魔法の方がオススメ
[1292.438] (S)pikachupikac: oh thanks
[1319.430] ぱーーまん: 癒しマップ
[1321.260] (S)zakkn: いままできつかったもんねーｗ
[1322.122] gyahhaa: ボーナスステージだね
[1329.547] ~MISSING_COMMENTER_INFO~: フラグにしか聞こえないが実際難易度低い
[1329.865] (S)varoshi: そう、補給ステージ
[1330.491] (S)papami_typhoon: 前回が嘘のようなぬるさ
[1331.370] (S)zakkn: 稼いでいこう
[1340.444] (S)~MISSING_COMMENTER_INFO~: 折笠さんがボンちゃんの待ちをサインでうめちゃんに知らせて、ボンちゃんを破産に追い込むんですか？
[1359.811] balthazar000: オヒキの至
[1362.937] ~MISSING_COMMENTER_INFO~: 弓届いてない？
[1378.673] (S)ruku16: こわ
[1400.607] (S)zakkn: わらわらくるねー
[1404.785] ~MISSING_COMMENTER_INFO~: ギリセーフか
[1409.784] X_3400: One Piece is the greatest fictional story ever written
[1410.178] tamaow: ５、6ターン目で左の村がつぶれる
[1416.168] (S)ポンポン: ラルフがんばれ
[1426.479] ~MISSING_COMMENTER_INFO~: 左の方の民家気づいてる？
[1430.534] balthazar000: ウメさんは左右どっちに抜けます？
[1432.821] hamachi1996: ラルフ握手会
[1432.981] (S)ruku16: 左あかんのじゃ
[1446.659] (S)varoshi: 民家わすれてるぞ。
[1448.196] (S)zakkn: ウメを信じろ・・
[1450.843] (S)toshioj: あとで気づくから黙ってない？
[1455.109] tamaow: もしかして
[1459.305] kaeru100: そのとおりｗ
[1462.947] fepro0: うん
[1472.112] (S)pikachupikac: i am going to stream anime on my chenal afther this stream ends 
[1476.944] fepro0: ディーンのピロンでなかったから、壊されるの確定したな
[1478.631] (S)ポンポン: もしかしてるな
[1484.254] (S)pikachupikac: lats watch togather
[1513.968] (S)momomo00123: そんなまさかね…
[1524.394] (S)ruku16: まさかまさか
[1526.297] (S)harubou1123: まぁ普通わらわら来てる真ん中から行くよね
[1529.173] tamaow: まさかね
[1532.759] gyahhaa: いいわけないｗ
[1533.751] musouzankouka: 協会はまずい
[1536.723] fepro0: レストの杖がもらえる教会
[1539.642] Noel_Cacique: what system is this for?
[1541.586] (S)papipopon: よくないよ
[1544.200] (S)zakkn: 天罰くらうぞ！
[1552.921] (S)apapa1031: 絶対レストの杖必要
[1552.962] tamaow: ガオン
[1554.634] imojisan: w
[1555.988] (S)zakkn: 気づいたね
[1557.964] (S)momomo00123: いいわけあらず
[1558.638] ぱーーまん: 家が壊されちゃうのか
[1558.886] ~MISSING_COMMENTER_INFO~: リセットに垣間見える反応速度
[1561.131] ~MISSING_COMMENTER_INFO~: やっぱり簡単にはいかなかったか
[1562.685] (S)ぐぐっす: 破壊確認最速リセット
[1569.638] fepro0: 中央に飛行ユニットでキャラおくろう
[1570.845] (S)toshioj: リセット上手くなったね
[1575.820] (S)Kanquez05: 1R目は様子見
[1576.226] amadori3: こんな簡単にリセットするのね
[1578.242] imojisan: かつぐべし
[1587.396] balthazar000: あー空中運送なんて出来るのね
[1588.290] (S)zakkn: タクシーつかいなー？
[1590.611] ~MISSING_COMMENTER_INFO~: あの杖Aの名前なんだっけ
[1590.685] ~MISSING_COMMENTER_INFO~: 章のタイトルも「二つの道」だしね
[1605.801] (S)元気な変態おすぎ: フラグｗ
[1606.073] (S)ぽんいち: 雄飛読んでるんだけど、峻堂がにゃん師に見える
[1609.077] (S)papami_typhoon: フラグに聞こえてきた・・・
[1609.777] kohsalasolanii: 本当に簡単ならリセットしないよなｗ
[1612.814] tamaow: 「まあ簡単だな、この面は」
[1613.890] (S)komine58: と、油断するビーストであった
[1616.662] sora_neko09: 飛んでる奴で輸送すればいいのでは？
[1622.105] dawasystem: ファイアーエンブレムですか
[1625.291] ~MISSING_COMMENTER_INFO~: 1ゲーム遊
[1627.331] rudorasosu: ３０分後に発狂してそうｗ
[1629.503] Ceciltaisa: ウメちゃんもまた、安直
[1629.804] hurtling_shinonome: あっ…
[1631.058] (S)toshioj: 癒やされてけ
[1640.898] ryuka1983: まあ情報見ない以上リセットは前提だし…
[1641.072] balthazar000: まず侮りから入るのが基本
[1647.122] (S)tukioni: 低レベルで育てたいやつ中央に送ればええ気がする
[1652.476] (S)zakkn: 土方やってれば山賊ハザコだぞ！
[1655.959] X_3400: One Piece is the greatest fictional story ever written
[1667.130] AllMonday: うめはらさんはじめまして！最近動画ですごい人だと知りました！よろしくお願いします！
[1668.218] rudorasosu: とりあえずＬｖ上げしたいよね
[1670.468] ~MISSING_COMMENTER_INFO~: ここは飛兵の使い方次第なんだよな
[1694.333] 先日助けてもらった鶴です: うめはらさんってすごい人なの？
[1695.784] (S)zakkn: 光まほーは貴重
[1697.570] (S)ケンザキ_ザック: FE芸人素材増えるの少しだけ楽しみにしてるｗ
[1705.456] (S)ポンポン: トラキアのプロの人
[1706.165] balthazar000: 凄いなんてもんじゃ無い人
[1717.494] ~MISSING_COMMENTER_INFO~: プロFE芸人
[1727.525] friedebi: 格ゲーの上手いFE芸人
[1733.816] kaeru100: トラキアの昇天芸とか一級品だよね
[1763.701] ~MISSING_COMMENTER_INFO~: 14章で世界一のスペックを見せつけた
[1765.527] (S)yanai0213: 動画届かない場合の再配信ってありますか？
[1775.029] Ceciltaisa: 任天堂も喜んでいる
[1775.098] (S)pikachupikac: 私のチャンネルでアニメを流します
[1779.385] rudorasosu: トラキアプロとかいう日本で唯一の職業やぞ！ｗ
[1783.874] (S)toshioj: 言えば送ってくれるんじゃないかな
[1787.900] sora_neko09: サブスクどんどん増える
[1797.861] pogupo: ウメキア始まってた
[1799.076] (S)zakkn: リーダーよんできてー
[1801.589] tamaow: まだ救われてねぇｗ
[1801.765] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[1811.426] (S)~MISSING_COMMENTER_INFO~: 彼の人生を通して「道」を教えてくれる人だよ
[1811.473] ~MISSING_COMMENTER_INFO~: 教会はリーフじゃないとだめなのか
[1812.465] Ceciltaisa: ウメの葉っぱを
[1817.608] (S)pikachupikac: あなたが私と一緒に見たい場合はチャンネルを購読してください 
[1818.136] rudorasosu: ｗｗ
[1823.423] (S)zakkn: パーン！
[1826.262] (S)toshioj: 頭がパーン
[1828.551] (S)papipopon: アンパンマンいたぁ
[1830.469] rudorasosu: エア本さんｗ
[1830.680] ジンクス: まちゃみ！？
[1831.193] (S)punitaman: 頭がパーンって久本のやつかｗ
[1835.925] (S)ポンポン: すごいね
[1835.951] ~MISSING_COMMENTER_INFO~: 頭がトルード
[1839.530] fepro0: エア本かな？頭がパーん
[1841.089] (S)momomo00123: アンパンマン？
[1845.163] 山犬: やったぁ！！
[1847.660] (S)toshioj: シーフファイターっしょ俺達にとっては
[1873.707] (S)zakkn: 気づきをまつしかないね・・
[1876.073] rudorasosu: エグイ
[1882.093] (S)エリ_10: いつも時間差で2回メールくれてる気がする
[1882.332] tamaow: 簡・・・単？
[1884.728] (S)ケンザキ_ザック: そこに気がつくとは
[1887.758] (S)toshioj: 癒やされてけ！！！！
[1888.349] (S)pikachupikac: ストリームデイゴの後にアニメをストリーミングします 
[1893.635] (S)komine58: 10分前、この面簡単じゃね？
[1900.060] rudorasosu: そろそろ１いてぇよ・・・来るなｗ
[1902.502] ~MISSING_COMMENTER_INFO~: 慢心だったか・・・
[1908.173] (S)zakkn: うめちゃんどうして・・
[1918.025] friedebi: 癒やし（簡単ではない）
[1920.997] (S)ポンポン: あれっ、むずい
[1921.307] ~MISSING_COMMENTER_INFO~: まあいるよな
[1928.302] ~MISSING_COMMENTER_INFO~: 真ん中に誰か運ばないとダメなやつ？
[1928.965] uncle_yam: 教会は飛行ユニットいないとかなりきついね
[1942.082] 鉢植: DEEN
[1960.539] ジンクス: ホメロス神
[1960.786] (S)komine58: もしくは強キャラ輸送
[1961.307] rudorasosu: 飛べる奴ほしいよね
[1965.887] (S)toshioj: サフィ送ってけ
[1966.454] (S)nagilay1: 屋外は基本つえー飛行ユニット連れていくべき
[1981.704] (S)zakkn: 発想を逆転させて！
[1991.625] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1995.946] (S)ポンポン: マリーたそつえー
[1996.644] (S)ぐぐっす: 徒歩で来た
[1997.882] ジンクス: 梅ちゃん１年後にはFEのRTAやってそう
[2001.570] (S)toshioj: 多分サフィもバイバイみんなって言いながらリワープするハメになるよ
[2013.095] rudorasosu: ｗｗｗ
[2016.128] kohsalasolanii: かりんやばい
[2020.670] ~MISSING_COMMENTER_INFO~: アマルダに構ってもらえば耐えそう
