[868.269] v_harumi_v: チャットみてなかった、有料の話は私じゃないですよー。
[884.238] tomohirom: 実業団みたいなものだから、しょうがない
[893.536] korekitwitch: こんなにオープンな業界ないでしょｗ動画勢も大会出れるんだよ？
[925.617] 六角橋アキ: 興業だから企業ありきで不思議じゃないけどなあ
[926.174] niemalsaufgeben: 二次的な収入源になればとね
[932.575] tw_numa: 別に権利じゃないからなぁ
[938.546] debuneko55: 企業なりチーム側は、この人が強いとか活躍してくれるとか色々評価して選定してるわけだから、選ばれるように頑張る事は誰でも出来るので、不公平とは思わないな
[938.555] prisira: 逆に今参加チーム制になってるから大きくなってるってことでしょ
[954.298] terry_man630: SFLが全てじゃないしね
[958.467] saibabasan: チームがその人が欲しいかどうかだから
[961.027] mart_00_: 企業スポンサーだしねぇ
[962.331] xxzoids: 選手としての価値があれば出れるね。
[964.620] light_hight: 仮に実力があるけど知名度のない人だらけのリーグになったら誰が観るの？？って話
[965.785] cernilton: 普通にお金持ってるチームが最強軍団作って欲しい
[966.173] nikukuisugi333: だね
[967.061] クラクラ777: 宣伝だもんなぁ
[967.549] リク21: 得がある人じゃないと意味がないからね
[968.129] tomohirom: ソフトの販売促進のための興行だからね
[975.232] (S)セルベリア: 実績を出すしかないね
[980.651] ヤサイマシアブラカタマリ: 俺と獲れ
[988.470] west_dogs: スト6とかに新規参入とか考えてるやつ新参だろ？ 質問者も新参っぽいし、ミーハーは意見してほしくないですね。
[990.562] Neko_Zamas: Mリーグみたいなもんか
[994.311] kahaku91: 次３チーム増えるから選手不足心配だけどな
[1000.383] nikorinko: プロスポーツの世界だからなあ
[1002.834] masamumune: 日の目の見ない強い”だけ”やつなんて色んな業界でいる
[1010.604] jigojigo: むしろ全ドラフトの頃よりチームごとに色が出てきて楽しいと思うけど
[1015.404] mart_00_: 言うたらストリーマー枠も出来てもおかしくないわけだしね
[1015.871] BabyBaby7313: ドラフト制みたいなルールはおもしろくて良かった
[1022.567] もきち555: 誰でも出れる大会もあるわけだしね
[1025.878] 超スパーキングこうへい: 名前連呼ありがとうございます
[1030.634] sndkzfm1: まぁ理解出来てないから質問してきてるわけで
[1030.799] (M)(S)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1031.745] Sroyaltakutot: ランクマでレジェンド1位になればチャンスくらい貰えるのでは？つまり遠征費すら無くてもチャンスはある。
[1031.986] kalmantakagi: 強いけど知らない人間が出てるリーグ見ても玄人しか面白くないしね
[1034.916] Potto_Milk_: Hi, Are you going to play Street Fighter today?
[1043.842] (S)とも8はる: ミーハー弾きはまた格ゲー衰退するからしちゃダメだよ
[1044.114] (S)産まれてきてくれて: サッカーで俺の地元に最強いるのになんでプロリーグに出れないんだ！って言ってるようなもん
[1044.612] hikky722: それはあなたの感想ですよね？
[1046.861] curryko: ドラフトはまーじ面白かったね
[1057.550] gdap4327: メンバーがころころ入れ替わってたらチームを応援しづらい気はする
[1070.352] tabibitox: あ
[1071.119] maddy2623: 去年の選手だってみんな強かったよ
[1075.147] blueplanet96: あ
