[429.389] sei_6: ゆなっこどんだけくれるの
[430.950] (S)箸くれ: 昭和画質に…
[431.055] (S)ちぇんぷる: わー
[432.267] (S)日本語かな: a
[432.766] chin_56_: 怪電波
[432.906] (S)321o_pi10: がくがくや
[434.124] potocki1810: ｇるぐる
[435.542] ei1eN: umeYay
[435.571] raurakd: 電波電波ァ！
[435.816] (S)のぶとも: 異世界に迷い込んだ
[436.729] mimiprettybot: あ
[438.660] rias9121: 乙
[439.109] tora6666: 店にwifiないの？
[440.250] katsuo73: 建物内はね
[440.820] mm2351: Wi-Fi借りよう
[441.110] 憂う者の弟子: Daigoooooooooooo
[442.903] 超パンダ: シャケ配信と聞いて
[446.369] red_zombie123: あー
[447.769] (S)kirama1097: Wi-Fiきてくれ
[448.105] (S)kani7321: 電波…お前4ぬのか…？
[448.930] one596: おつおつ
[449.233] 斉川: ウメちゃん助けて・・・
[449.398] (S)イエール: umeKazushi
[449.567] nikukuisugi333: ゴンタ…
[450.048] kitori_17: 早速w
[450.256] (S)あらかき: 解散
[450.464] chin_bell_: BibleThump
[450.883] myodent21: 電波あかんか
[451.631] (S)軽く捻るか: 止まっちゃった・・・
[451.666] (S)sai927: アカン
[452.008] sahaha213: NotLikeThis
[452.110] あさつき教: あーあー
[453.209] (S)yoyo_443: 電波がんばれえ
[453.562] (S)ちぇんぷる: うめちゃ帰ってきてえええ
[454.009] wagon65: お店みたかった…
[454.946] (S)ベビちゃむ: Wi-Fi！！
[455.385] えだいこ: 終わったかー？
[455.417] (S)utsutsu_same: umeSad
[455.497] pondenring0930: ごんた…どうして…
[455.744] ドリアンくん: とまっちゃた
[457.095] raurakd: 解散か
[457.634] はちびっと: とまったか；；
[459.634] v_harumi_v: いいところで
[461.242] (S)ベビちゃむ: いやだ！いやだ！！
[462.955] sei_6: 鉄のかたまりか
[463.059] (S)箸くれ: あ
[463.180] (S)ponponguripon: お店見れないのか
[464.134] (S)こねこ__: がんばれぇぇぇ
[465.754] mame1800: ウメちゃん…どこ…
[466.982] (S)321o_pi10: あ
[467.940] (S)tsurioji_san: umeLuke
[468.113] wonderhit1: 顔洗わない人の近くは電波悪くなるらしい
[468.185] sahaha213: 店にWi-Fi無いのかな？
[468.218] acellay: 肝心のところでw
[468.336] (S)こねこ__: umeFail
[468.870] raurakd: 終わった
[469.080] (S)あらかき: また会おう
[470.622] kitori_17: 入口が見たいのよ
[472.062] echa_pi: あーん
[474.234] popo8322: NotLikeThis
[475.044] hukohuko: なんか他の人も配信諦めてたが電波悪いのか？
[475.132] raurakd: umeBlocking
[476.752] godiva_matsui: GG
[476.869] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[480.576] 四国エスハ: お店見えず
