[392.765] ShiroHojingu: ゼットさんとフードのコンビも珍しいね
[393.021] nikutoyasai: アッ
[393.343] aobara0208: ふ～どシャドバと聞いて
[393.346] (S)inoitami: あーーーーーーーーーーー
[394.424] (S)spring__thief: otu
[394.496] ~MISSING_COMMENTER_INFO~: is it just me or screen was black?
[394.576] NAOjpp: そういうとこだぞ
[394.613] (S)danny_love_danny: アンドリュー助けて
[394.908] ShiroHojingu: はい
[395.181] kenitama: 落ちたｗ
[395.575] manasvin13: ありゃ
[395.842] oden_tw: いかないで
[400.068] mamenoki: :(
[401.637] tw_numa: いかないで
[402.316] (S)inoitami: どうすりゃいい
[404.963] ~MISSING_COMMENTER_INFO~: 終わったw
[405.617] (S)sagatdeganbaru: くら
[405.706] rotonz: おやすみー
