[28.429] huroran_: こんどぐ〜
[896.083] (S)コムコムぽん: ジェイミーは毎日飲んでる
[902.266] ダリルちゃん: あれ、どぐらさん炭酸苦手なんすか?
[903.335] katanantoka: SFL最後のどぐにゃんの緊張の仕方を見せてあげたい
[905.438] ずんどこべろんちょ: コピルアクまだあるんやろ？
[911.222] unimel1x: ジュリ〜ん
[914.184] あすか002: 普通にリプレイ見れば良いのでは
[915.300] にゃんたー_121: ｽﾞﾘﾁｬ
[917.901] (S)LooseDash: それぞれのチームのオーダーって決まってるんやね
[921.417] dekamega: UNK 飲んどるか？
[921.663] risa_rice: コピルアク……
[927.456] unimel1x: うんコーヒーの話した？
[929.281] めめせー: れんくん本番ミラーするらしいね
[932.930] (S)iwap0n: れんくんいつとありがとー
[933.157] malboro5555: レンくんもマジに上手くなったな
[938.717] naryuhama: ビッとね
[943.775] ダリルちゃん: 気合入ってるね
[955.371] atamamiru: がんばれー
[970.139] hool2423: w
[972.138] こすもどりっぷ: いいぞー
[974.297] unimel1x: 確定反撃だ！！
[979.818] soh1375: いいね
[979.975] risa_rice: やるやん
[984.446] naryuhama: エドの良いところ
[984.516] atamamiru: おお
[986.907] nero_1125: ここCRの練習場？
[998.339] ryo6366: かじゅありがとー！
[1026.675] (S)オクラ02: オクラ02 subscribed with Prime. 
[1033.352] syuubuu: ひなーの頑張れー！
[1038.522] unimel1x: ラッシュしてくるんや
[1050.373] ダリルちゃん: 黄ばむ
[1051.911] あすか002: ラッシュ下段はプロでも反応できんしな
[1056.260] (M)墾田永年私財砲: @nero_1125 どぐらの配信場所は個人事務所兼作業場兼プレイスペースです
[1068.911] risa_rice: ジュリのラッシュ速いからな
[1078.020] nero_1125: @condensern
[1101.586] nero_1125: @condensern そうなんですね、ありがとうございます
[1117.324] unimel1x: これが良さそう
[1118.640] mugichoco03: 一回でも返せたら楽になりそう
[1122.913] boolean_opo: 流石にシミーはしてこないか
[1125.618] (S)wawawarururu: wawawarururu subscribed with Prime. 
[1154.816] unimel1x: 疾空とかしてくるんかなぁ
[1162.640] あすか002: 疾駆閃全くして来ないから安心よ
[1165.049] こすもどりっぷ: 人読みまで行くか
[1173.046] maneuver33: リプレイ必要か
[1173.390] (S)さとチャ: だれかがスカウティングしてんの？
[1174.850] かみむし: かずのこメモかw
[1177.351] katanantoka: 大会ならではの人読み好き
[1183.542] taks1911: リバサインパクトまだやってくるんかな
[1185.160] soh1375: でもあえての疾空あるかもなぁ
[1186.129] seven_bluewave: かずのこの人読み
[1188.333] shi_a__: メモあり？
[1188.821] Ippo360: じゅ
[1192.351] risa_rice: かじゅメモww
[1193.404] 3hashibirokou: 人読みのかじゅ
[1194.912] Rlain: 助けてどぐにゃん
