[649.844] 背脂_: 懸賞金エグ
[650.385] kei_age: ゆらん覚醒してね
[651.595] wkwkggrks: Yuran強すぎじゃね
[651.708] もんこみ2: まらん
[652.076] mamimami422: 覚醒まらん
[652.387] suoro75: よそみｗ
[653.312] yukorin_game: 覚醒してるわ
[653.334] 7ゆき7: ゆらんスマーフみたいになってる
[653.615] takuma153: 7ラウンド15キルまじか
[654.447] yamachaaaaa: 懸賞金えぐすぎる
[658.357] ダンブル: ゆらんやば
[659.586] lets_havoc: ゆらんcheat in
[660.788] kasyu_940: 懸賞金エグ
[661.890] rays_0121: 応援してね
[663.201] にゃんキャッツ: lazvellNice
[668.656] すのは_: ウォチパなのに見てないまじか 
[669.055] aki_6230: 配信音あげてほしい
[670.603] Yukky_0129: ゆらんになんか吹き込んだな
[670.675] 虚無ぷりん: ゆらん強すぎる案件
[671.452] かねこゆうた: 今日勝ったらZETAってT1に初勝利？
[674.725] gorilla515adgjmptw: チェンバー以外でもLazさんがop持つのあり？
[681.446] symorth: すっごい配信音小さいですね。。
[689.421] wkwkggrks: 本配信あとちょっと音あげてほしいです
[694.906] shino_nomee: ゆらんノリノリ
[696.209] imo_hoshi: ゆらん47キルいこう
[696.214] カラテ海: ゲーム音まじ小さい
[700.704] maharaja_osu: 四皇強いな
[706.036] かいり채널: ゆらんくん毎回3キル近くしてるけどエグいってww
[710.842] kasyu_940: 逆Lakia
[712.333] gorilla515adgjmptw: 本配信の音もう少し大きい方がいい
[716.815] nasikui: テンさん、グッズ買ったよー
[718.475] lemo_v55: !sens
[718.580] (M)Nightbot: 800 0.22
[723.348] ダンブル: もう2回ウルト切ってる？
[727.550] かいり채널: げっこーでキル取れるとウルト回るからなぁ
[730.572] tsukitoooooooo: つまりsmthは最強！？！？
[732.392] かん太: ~MISSING_MESSAGE_INFO~
[737.350] kasyu_940: いいかんじ
[739.394] Shinjomon_tnk4: てんたの声を小さくすればいい
[739.619] elkiyox: おけおけ！
[741.291] すのは_: ちょうどよくなった
[741.823] かいり채널: いい感じ
[742.187] fre_____d: 声もうちょい下げれたら
[742.195] mamimami422: いい感じ
[745.770] 1400dpi_riki02: ドンピシャ
[747.946] ダダスベリ社長: イイ感じ
[749.562] すべすまんがに: ちょうどいいかんじ
[758.197] (S)もあ_모아: いいかんじ
[758.883] rays_0121: いいね
[759.387] まりもくん: やぁ
[759.446] rion222222: アンチエコたのむで
[762.488] gorilla515adgjmptw: 声はそのままで良かった
[762.774] すのは_: SeemsGood
[764.399] にゃんキャッツ: いい感じ 
[767.768] まりもくん: tennnHi2
[768.455] symorth: てんた声さっきのでいいですよ
[770.932] ギムネマ茶: ゲーム音もっと小さくていいよ
