[242.365] lucita_lapita: 盛り上げ上手
[242.548] AtomPeter: うめがしまｗ
[243.222] kinpren: いいね
[243.343] Gordstorm: ここで止めて次がやばい
[244.283] suhr0917: ｗｗｗｗｗ
[244.294] こてさん: アマのためとはいえ弱いやつが上がる必要はないだろ
[245.194] g3179: ウメ頭ｗ
[245.347] fafa1125: いい盛り上げ方だね～
[245.447] mikomiko3: ｗｗｗ
[245.602] b_oka5: ハシビロンさん
[245.932] adawong123: ｗｗ
[246.404] spade0325: うおおおおおおおっ！
[247.918] littlestory4: 鬼太郎コス
[247.928] ~MISSING_COMMENTER_INFO~: 温度差ｗｗ
[248.218] Papapadad: 梅ケ島ｗ
[248.669] taroumaruh: 梅ヶ島の鬼
[248.861] chikotsu: がんばー
[248.921] h2hiroyuki: ぶっちゃけふ～どが最後の砦だよなｗ
[249.203] Planetrollcall: 面白すぎｗｗｗｗ
[249.247] 帝王大貫: 実質ラスボスかな？
[249.771] tigerchildren001: ラーメンいたぁ！
[250.258] nihonsyu_: ｗｗｗｗｗ
[250.309] gasgasga555: ｗｗｗｗ
[250.327] metoxys: he likes ramen but he likes winning even more lol
[250.406] 56ne5656: ハメコさん、すげぇよｗ
[250.521] DoogieCometh: LUL
[250.579] gmmcom: 実質ラスボス
[250.702] Linz2015: ら～ど
[251.029] keitora999: あ、はい
[251.218] ~MISSING_COMMENTER_INFO~: やせてる＿
[251.321] tk3333: 髪切ったね〜
[251.483] sirin_1206: 梅ヶ島ｗ
[251.662] sugarsato_: かっこいいぞ
[252.226] サメカツ1999: ふーど変わってないな
[252.240] thefrozensun_: 太った？
[252.801] tatiguu: 小足ペチペチ
[252.934] ~MISSING_COMMENTER_INFO~: ？
[254.095] rapid881000: ラーメン大好き
[254.457] AnneSh1rley: 困ってんじゃねーよw
[254.816] sublinear: 温度差ひどい
[255.479] callinchicken: かわゆー
[255.974] b_oka5: 若手へのチャンスとハイッタイ
[256.962] eoru55: ウメちゃんニヤつきすぎだろｗｗ
[257.638] ユンボ: ふうううううううううつううどおおおおおおおおおおおお
[257.871] Gordstorm: あいつすげーやつなんすよ
[258.343] gasgasga555: 温度差まじで笑う
[258.379] PpAaNnDdRrAa: 梅ヶ島
[259.264] taroumaruh: やせたねー
[260.630] まままままま: バーチャっぽいなw
[261.219] spade0325: 温度差やばない？w
[261.589] AtomPeter: しゅっとした？
[264.493] largsrn: シン…
[266.667] owa4gamer: 温度差やばいなｗ
[267.372] サメカツ1999: 号泣事件
[268.262] 帝王大貫: 号泣させろ
[271.312] ぱらだいす12345: ここ倒したら全額入手も夢じゃないでしょ
[272.167] fushimomo: 盛り上げていくぞ！
[273.210] conscell: ちょっと痩せた
[273.240] ombiezon: アールさんかな？
[273.256] King_Fuudo: ウメちゃん髪切った？
[275.384] gasgasga555: 灼熱 吹雪
[278.070] okamasa456: ちょっとやせた感ある
[278.358] lookeezy: so Daigo gonna weigh himself this stream?
[280.665] fafa1125: 会場うおおおおおおおおってなってないのか
[281.602] all_stupid: 号泣からはや６年
[282.691] Gordstorm: 決着をつけよう俺とお前の腐れ縁
[284.501] tk3333: 若手はチャンスあったけど、つかめなかった。
[289.217] saitama_da: かなりおもしろい企画
[289.325] ロディア8: 枠名 Teach Me, Machabo Sensei! #4 になってない？
[290.199] mutuizumi: 体重は？
[290.549] ジュンジュン: 題名がマチャボーになってるよ
[290.613] ~MISSING_COMMENTER_INFO~: タグホイヤーしてきてんのか
[291.299] ~MISSING_COMMENTER_INFO~: what is up my ninjas
[294.411] spade0325: ウメハラさんだいぶ痩せたな
[297.686] callinchicken: ウメちゃん中学生の頃の髪型に戻ったね
[298.338] Fujiwara0709: ウメちゃん役所広司みたい
[300.553] nhhhe: このルールの良さがやっとでそうなカード
[306.887] jaymic321: OhMyDog
[310.870] SUSANOWO_: @jiyuna when is daigo going to tekken 7?
[311.174] kinpren: サンダル
[311.491] lookeezy: 0-7 holy shit
[312.295] ロディア8: サンダル！＞
[312.410] サメカツ1999: 経つ
[315.905] rin_p15: これドネコロルール？
[320.907] all_stupid: ドネコロ
[324.147] ユンボ: 長期戦だねぇ
[325.987] bakedonion: DNGユニフォームじゃないのね
[326.076] ぱらだいす12345: イースクでやんのか
[328.849] PpAaNnDdRrAa: 体 仕上がってんな板Z
[328.980] callinchicken: そりゃドネコロですから
[329.034] conscell: 立った
[329.494] Liforen: how did Jiyuna scum this job?
[330.802] mutuizumi: ウメちゃん靴なに？
[332.899] hiraboru1: のじばん決定戦
[338.816] brocco999: 水球
[339.056] h2hiroyuki: マックス５０戦だからなあ
[340.408] 8sushialot: 板ザンがんばってー
[340.960] King_Fuudo: 身体を作ってきた
[341.136] ユンボ: 気軽さでね
[341.440] lucita_lapita: 輝いてる
[342.148] Linz2015: にやにやしてるな
[344.354] geinii: 板Zがたいすげえ
[344.561] tanahaka456: ツンドラ
[345.752] Liforen: i swear, i'm curious as hell
[347.012] 56ne5656: さっきもあっためてたもんね
[348.080] ユンボ: たのしみやあああ
[354.303] spade0325: 野試合で10万
[354.552] sublinear: ウメちゃん痩せたけど、ふーど痩せた感じしない
[355.427] Liforen: Jiyuna does not translate properly
[356.918] metoxys: ad 
[359.237] mutuizumi: んあー
[360.910] kinpren: フードには千ドルを守って欲しい
[364.242] ~MISSING_COMMENTER_INFO~: SO WHATS THE PLAN?
[364.860] fafa1125: このカードで盛り上がらないならこのルールはもうやめた方がいいレベルのカードだね
[365.803] koma2007: 888888888888
[366.603] Gordstorm: かげっち
[368.725] largsrn: 盛り上げが
[368.736] nocholien: 8888888
[371.280] rin_p15: ふーど勝て
[373.791] owa4gamer: ミカザンギってどっちがきついの？
[374.974] kinpren: ｗｗｗｗｗｗｗ
[375.274] all_stupid: ふーどは顔が痩せてないから変わってないように見える
[376.277] こてさん: 歴史的ｗ
[376.491] AtomPeter: ｗｗｗ
[377.654] Gordstorm: おお
[378.704] Planetrollcall: ｗｗｗｗ
[381.715] jaco8210: 歴史的ｗ
[381.785] Planetrollcall: ないんで
[381.949] tatiguu: ジム加入したふーど
[382.727] lucita_lapita: 21時の期限を守っていけ
[382.837] mutuizumi: 言うｗ
[383.120] bakuya8: は、また広告なんだけど、最近のツイッチまじゴミ
[384.786] omedetroit: ワロタ
[385.028] lookeezy: LUL
[385.798] callinchicken: fuudo 
[392.108] Liforen: jesus.
[394.026] tanahaka456: ミカがきつい
[394.243] syamanan: 歴史は繰り返す
[397.047] largsrn: イララ
[398.680] AtomPeter: 負ける要素はない！
[399.730] lookeezy: Pro wrestler fight !!!
[400.167] metoxys: fuudo gives birth on stream 
[404.381] Jangroove: 肝心の2人のコメント中ずっとCM・・・
[407.227] trumyolo: fit daigo 
[407.264] tk3333: 広告イヤならお金払いなよ。
[409.214] issyoneko: アドブロックいれなー
[409.647] こてさん: いい勝負なきがする
[411.098] h2hiroyuki: 体力差の分ミカ側がちょっときつそうな感じだけど、ふ～どは大会で板ザンにかなりかってるはず
[412.206] tatiguu: adblock入れよ
[412.499] Gordstorm: もうわからん
[416.251] King_Fuudo: ウメちゃんひげ剃った？
[416.271] all_stupid: ミカザンギはミカがきついはずなんだけど人相性がふーど超有利 板ザンもふーど以外のミカには全然負けない
[417.777] kahaku91: ふーど板ザンに関して人読み完了してる感あるからな
[432.972] bakuya8: お金払うは絶対ない
[438.804] ~MISSING_COMMENTER_INFO~: 広告とか言ってる情弱 ﾌﾌｯ
[439.269] ~MISSING_COMMENTER_INFO~: schoolgirl 
[442.298] kinpren: なげー
[445.103] koimen: えぇ・・
[446.167] (M)(S)ANIMEILLUMINATI: ok ad off
[446.229] allornothing4: ９５ｗｗｗ
[447.504] AtomPeter: 神ルール
[447.769] dai58: 地獄でしょｗ
[448.339] Papapadad: ルールは良いから毎回こういう場所できちんとやれば人気企画になると思うよ
[449.602] adawong123: ドネコロのルール毎回忘れるわ
[449.764] caloria777: 良いね！
[450.083] keitora999: まーーじか
[450.810] サメカツ1999: トパンガすまんな
[451.210] hoehoeR: 何時間かかんねんｗ
[453.416] lookeezy: Schoolgirl 
[455.216] callinchicken: 金払わんかいッッ
[455.421] Planetrollcall: ﾊﾊﾊ
[456.015] ユンボ: うおおおおおおおお
[457.156] ユンボ: うおおおおおおおおおおw
[457.415] spade0325: 95やってくぞ
[461.477] caloria777: 目指せ90試合やな
[464.609] suhr0917: 腕毛の圧
[465.881] 56ne5656: 毎回、このくらい力入れて盛り上げようよｗ
[467.781] skywalkerkun: R they out already I want 
[471.178] lookeezy: Ads off 
[471.252] ぐのたお: ２連勝２回か、３連勝で１セット
[473.420] saitama_da: 天才的ルール
[474.335] tk3333: 払わないなら文句言えんな……
[474.384] tatiguu: なんかウメちゃん真面目だぞ
[474.702] King_Fuudo: むしろ95試合やって壊れていく様を見たいね
[474.902] metoxys: NotLikeThis
[476.365] YzmatC2: haircut daigo 
[477.446] サメカツ1999: ももち相手だったらその半分以上がTになってたな
[478.974] kinpren: ｗｗｗｗ
[479.229] ~MISSING_COMMENTER_INFO~: the mixups 
[479.885] 帝王大貫: やばい
[481.595] maohotu: 格ゲー千日手
[482.852] taroumaruh: アドオフとかできんのかｗ
[483.363] Gordstorm: まじか
[483.768] callinchicken: TBTacoBag
[484.153] h2hiroyuki: ガン待ち対決ｗ
[484.184] サメカツ1999: ロシア
[484.667] brocco999: なげーやつだ
[485.344] keitora999: さむいいうなｗ
[485.836] nhhhe: 深夜コースか！？
[486.058] syamanan: あかん
[486.137] tanahaka456: 東京にいない人も割といるからしょうがないでしょ
[487.151] kahaku91: ６０秒にしよっか
[487.674] nihonsyu_: 寒いｗ
[488.744] metoxys: the no-mixup mixup @ANIMEILLUMINATI
[489.717] (S)vesitermbtl: 無駄な時間
[489.725] Planetrollcall: 最悪じゃねーかｗｗｗｗ
[491.516] masna49: Jebaited
[492.044] koimen: 豊田氏被るかもー、ごめーん
[492.704] lucita_lapita: ad offできたのか
[493.023] blue_rouge777: 先に削った方が有利w
[493.166] spade0325: 一生しゃがp
[493.684] Linz2015: シベリアだよ
[494.650] King_Fuudo: 待ちザンギVS待ちミカってまーーーーーじかｗｗｗｗｗｗｗ
[495.133] bobobrajil: ウメちゃんちょっと痩せたやん
[499.872] Gordstorm: 恐ろしい
[500.288] all_stupid: 日付変わりそう
[500.881] kinpren: 千ドルかかってるから
[500.887] nocholien: ももちVS板ザン戦再び？
[501.043] サメカツ1999: アンドリューが死ぬ
[501.094] sublinear: 氷河期くるぅ
[501.311] ユンボ: 伝説だね
[505.630] kazuki7777: 痩せたっていうよりげっそりしたなー
[507.447] kome_kon: 最後まで見るよ
[507.724] rin_p15: ハメコはミカ使いか
[508.726] nerezza0: ウェイヨー
[509.344] ombiezon: 逆に伝説でしょww
[511.323] onigiri21: 全力で冷やしていけ
[512.572] Drearri: hey
[513.004] DoogieCometh: streamlink is godlike
[514.179] littlestory4: ももち板ザンすごかったな
[517.379] all_stupid: おっ今日リリースのコスチューム
[519.652] tanahaka456: 学生服
[520.771] King_Fuudo: セーラーコスかわゆ～～～
[521.109] geinii: コス
[521.573] callinchicken: サンキューアンドリュー
[521.970] rin_p15: ｵﾅｼｬｰｽ
[522.279] tk3333: アンドリュー頑張れ〜
[522.530] con_tami: おなしゃーす
[523.230] lookeezy: the banner
[523.235] kinpren: アレコスいいね
[523.272] 56ne5656: お、新コス？
[523.622] taroumaruh: オナシャーーーース
[523.791] AtomPeter: おなしゃーーーーす
[523.854] brocco999: ｵﾅｼｬｰｽ
[523.953] nhhhe: 学生服か
[524.034] Papapadad: ｵﾅｼｬｱｱｽ
[524.461] koma2007: おなしゃーーーす
[524.618] kokemomomomo: アレコスだ
[524.765] kahaku91: ｵﾅｼｬｽ
[524.878] inu_33: 新ｺｽｗ
[525.156] サメカツ1999: ｵﾅｼｬｰｽ
[526.391] ロータス: ｵﾅｼｬｰｽ！！
[526.397] eoru55: 制服きたあ
[526.723] ombiezon: 学生服ww
[526.734] ef_cookie: PogChamp
[527.092] kome_kon: ｵﾅｼｬｰｽ
[527.095] takeiteasy55: 寒い試合やってみせい！
[527.445] littlestory4: いいねこのコス
[527.610] kbti: ふーどコスじゃん
[527.630] kaedekuno1: なにこのコス
[527.777] AnneSh1rley: 新コスか
