[378.666] お兄ちゃんお姉ちゃん: おーーー久々の梅ちゃんきたー
[381.561] une3333: そして大本命カゲさん
[386.721] akiaki0612: タメなしサマー楽しい
[386.844] brutal9998: 弾抜けのハードルを上げて欲しかった
[387.627] vorivoriman: ガイルさようならか？
[389.219] mmiiacha: BibleThump
[392.526] hoehoeR: 中足確認でサマー繋がるっぽいけど
[392.859] 1108044k: ルークばっかなのはつらい
[393.368] danny_love_danny: いやいやサブに持っておこう
[395.041] いぬみみ: チャリティ
[396.849] あかの: ありがとー 
[399.485] berurusuko: たち中k
[399.537] josefattoaru: ｗｗｗｗｗｗ
[401.474] (S)akira1011: akira1011 subscribed with Prime. 
[401.562] (M)Moobot: @AKIRA1011さんTwitch Prime登録ありがとうございます！
[406.728] chanmipoin: お帰りルーク
[406.865] (M)Moobot: HyperX 春の大セール開催中！ → https://hyperx.gg/30ZD6yZ
[410.117] sunsusun881107: またツイッチなんやね
[411.752] tabibitox: カゲはまじで骨延長してる
[413.813] だいこん_: カゲさん大勝利
[416.695] ねこざけ: スレスパで例えるねえ
[419.637] flsank: タメなしサマーはやばい
[422.664] (S)chin_56_: 最近の流行りで例えていく
[424.918] (S)sidlle: sidlle subscribed with Prime. 
[425.014] (M)Moobot: @SIDLLE with the Prime sub!
[427.255] vorivoriman: カゲの時代か？
[430.284] (S)tayaman2727: tayaman2727 subscribed at Tier 1. 
[430.372] (M)Moobot: TAYAMAN2727さん、サブスク登録ありがとうございます！_(. _ .)_
[433.892] une3333: いろいろ貰いましたねカゲさん
[437.475] たあぼ0126: umeCatHope
[438.201] qwer______: ももち 味玉ラーメン味玉追加
[442.027] bokaaan: まごさんかわいそ過ぎて笑った
[443.054] tabibitox: もう別キャラよ
[444.773] shiro_risu01: umeCatHope
[446.063] usizura: スキルカードは立ち回り？
[446.359] fez_geburand: ちゃんと見捨てられてなくてよかった
[451.671] ドヤ: うめちゃんミルダムやめたんか
[456.720] vorivoriman: これは期待あるな
[458.322] son_gokutsubushi: 本田の岩戸からの弱張り手EX百貫やばくて笑った
[459.120] 1108044k: ノーゲージ中足確認ももらえたのでかいよね
[459.407] Nao_iwt222: 逆に弱体きつそうなキャラはどうですか？
[461.198] vorivoriman: ガイル頼むで
[464.992] une3333: トリガー2を基本にした押せ押せガイルも生まれるのかしら
[468.258] hausumf: マゴさんが小亀エディションって言ってて笑った
[469.907] totomaru_chan: ルーク被せのキャラとかあるんか？
[471.087] ememeume: 使ってみてどうかと
[471.200] bokaaan: ガイルのトリガー２は？？
[472.867] feel2525: トリガー発動の波動は飛ぶ
[474.974] neon_d99: 強波動トリガー中じゃなくても飛んでええやろカゲ
[475.552] Akiosroom: 影使うもあり得るんですかね？
[478.849] archerenshima: Hello Daigo san
[479.437] une3333: 通常状態の波動は機能しないです
[480.977] vorivoriman: 波動な～
[482.747] archerenshima: how u doing
[483.495] shiro_risu01: マゴさんきついらしいもんね
[484.706] hausumf: 波動は期待しない方がいい気もする
[484.984] sei_6: まあルーク使えということか
[487.536] (S)kanjaneko: 小足長くなったらしい
[487.680] oinari6: あと1回くらい軽い調整されそうじゃない？
[490.439] firmamentord: Ryu! Ryu! Ryu! Ryu! Daigo is Back Lest Go Master
[491.042] tabibitox: 通常波動は弾というより押し込める必殺技になってる
[492.368] いぬみみ: 子亀エディションｗ
[502.154] (S)PipeGirotto: PipeGirotto subscribed with Prime. 
[502.239] (M)Moobot: @PIPEGIROTTO with the Prime sub!
[502.330] zukecham: ケンの神龍も怪しいってももち言ってたよ
[502.905] archerenshima: Are u consider get kage back?
[510.196] 1108044k: マゴはいままで良い思いしてたからなぁ
[512.214] vorivoriman: なるほどな
[512.447] ebismine47: ク◎デカウォーター
[514.178] ある_____: 空中波動ガードさせてダッシュで有利取れる
[516.010] sensai1000: sensai1000 subscribed at Tier 1. They've subscribed for 13 months! 
[516.115] (M)Moobot: @SENSAI1000 with the 13 months re-sub! 
[531.631] berurusuko: 入るね
[535.225] tabibitox: 立中ｋは骨延長してる
[536.251] だいこん_: できるね
[536.261] une3333: もうこれトリガー２しか選ばなくない？って思いました
[538.767] feel2525: 前大Pが発生8F
[539.156] vorivoriman: 立ち中Kはあり
[541.675] UptownGzz: Hi
[541.860] bokaaan: カゲつかってほしいなぁ
[542.691] fabregas123456789: ウメちゃんリュウちゃうの
[543.081] tujimen: 中Kはけっこう強化されてるぽかったよ
[543.379] mmiiacha: カゲ強化ほんま嬉しい
[543.622] danny_love_danny: おおお
[544.939] fez_geburand: おー
[544.962] nisshann1234: 立ち中Pから大竜巻入るのがありがたかった
[547.870] antoninovich: うおおおおおお
[549.140] curemikan: 夢が広がる
[549.606] (S)じゅうしまる: おおおおお
[550.246] おすかいと: たのしみ
[550.660] ﾃﾄﾗﾝ: 中中中竜巻昇竜入る
[550.817] brutal9998: ガイルダメかあー
[551.186] 1108044k: ルークはみたくない
[551.688] same_no_obake: うめかげ！
[551.774] ライム_: ガイルは？
[551.964] firmamentord: Ryu! Ryu! Ryu! Ryu! Daigo is Back Lest Go Master
[552.293] (S)Rodianis: umeYay
[554.280] ememeume: umeJam
[554.976] おすかいと: ルーク多そうだもんね
[555.057] ねこざけ: カゲの方がロマンある？
[555.296] foriqos: ええな
