[671.836] るーびんりき: スプラトゥーンみたいになってる
[673.420] だいこん_: BOウメハラ
[673.914] sai927: ｗ
[674.826] yudedako: 霊障
[675.503] (S)hoshi_boshi_0: メンおじさまかな
[679.895] 粉饅頭はいいぞ: 今日は何配信だ？ｗ
[681.439] ぐぐっす: ホラーウメハラ
[684.927] (S)kani7321: 逆にどうやったらこうなるんだw
[689.430] まるいとうふ: 過去に戻ってるんよ。羽根の力を使って
[694.965] (S)kakutora_no_o: ジョーン！
[695.144] だいこん_: あ
[696.580] Hitode_noko: 画面がエッチなカラーになってる
[702.776] (S)maya_g01: お
[704.145] だいこん_: 復活
[704.199] v_harumi_v: 色なおった
[704.587] momiji4431: なおった
[704.968] (S)kakutora_no_o: あ戻った
[706.626] v_harumi_v: ｗｗｗ
[709.877] izumih71128: ｗ
[709.920] j_zima: お、カメラ復活
[711.385] (S)軽く捻るか: 直った！
[713.499] (S)kakutora_no_o: 鮮やかな王
[714.591] (M)gameinntwitch: どうだ
[715.020] (S)akinoko2: 何？って戻ってくるの強すぎるｗ
[720.332] rdstus: wwwww
[721.471] gyu_nyuu_pann: ポロロン
[726.068] (S)hoshi_boshi_0: メンおじありがとーー
[727.655] maruino351: メンおじありがとー
[727.843] (S)maya_g01: メンおじさんありがとー！
[735.350] gyu_nyuu_pann: 映像いい感じです！ありがとーー！
[735.466] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[737.268] v_harumi_v: メンおじさま、ありがとー
[737.675] るーびんりき: ウメハラホットライン
[742.523] (S)kakutora_no_o: 出たオカルト
[742.933] gorogorogorn: またオカルトｗ
[745.960] tabibitox: 流れ信者
[765.076] maddy2623: 激サムｗ
[776.251] johndoe6523rp: ｗｗｗｗｗｗｗｗ
[815.773] (M)gameinntwitch: あとタイマーとカメラか。説明伝わればなんとか。でも最低限このままでー
[818.199] 粉饅頭はいいぞ: やっぱり公式ミラー映像ないんだね公式行きますお疲れさまでした
[820.022] (M)gameinntwitch: 天才
[824.034] (S)ponponguripon: こくにー
[824.340] のぞみくん: ワイプでけえw
[829.061] v_harumi_v: 天才だー
[834.638] johndoe6523rp: カツ
[836.852] sai927: ｗ
[837.307] gyu_nyuu_pann: 天才いたぁ！
[839.168] teruharu_: 天才
[843.741] gyu_nyuu_pann: www
[844.593] (S)gularain: ｗｗｗ
[851.307] HirocoT: ｗ
[851.783] tabibitox: そういう感じだぁ
[854.918] teruharu_: チクチクｗ
[873.639] kobetaf: こく口紅塗ってるみたいに真っ赤やん
[887.167] (S)ponponguripon: 左下動いてる
[887.878] (M)gameinntwitch: あとはタイマー位置がちゃんとくれば完璧か
